name_class,n,mean_cpm,mean_log2cpm,cv_median,cv_p10,cv_p90,frac_expressed_median
unnamed,1582,1.1804136868434107,0.9810546884907813,0.863582872732686,0.5685977346275033,1.348960703718888,0.42963885429638854
antisense,429,1.8694489562900574,1.3939534302889818,0.7065570364723104,0.47347629611819836,1.1115589673440525,0.7036114570361146
named,410,2.0621693589514116,1.436212909730538,0.7087722197967479,0.4909602147765206,1.1708611411097216,0.7141967621419676
LINC,234,2.426226964580869,1.5282555348035776,0.855396295730232,0.5609130264456491,1.328655795790981,0.702988792029888
MIR_host,31,2.607669483576293,1.3936240507615159,0.867672237633672,0.5781352563827129,1.430969415200151,0.6376089663760897
SNHG,23,9.096436544437692,2.9618551981599293,0.6643253637554017,0.47366915680873206,0.9289624898824778,1.0
