class,n_expressed,cv_p10,cv_p25,cv_median,cv_p75,cv_p90,mean_log2cpm_median
protein_coding,13127,0.3718702666419019,0.4612906248551658,0.5978885051981947,0.846890039507797,1.279779663229577,3.615684905407556
lncRNA,2709,0.5311398158528756,0.6392393887348541,0.807482437869319,1.0455345898795017,1.3071316484104292,1.1494427735877333
pseudogene,281,0.6129767305804888,0.7713903594993647,0.9303120235742961,1.2252156753318506,1.5860487339165945,0.8846949418848208
other,238,1.1776943580886547,1.4242075383905937,1.9654189820473498,2.5737259551061684,3.3817857694522444,1.1437969089871491
