K,n_buckets,null_mean_set_size,obs_mean_set_size,obs_median_set_size,obs_max_set_size_median_over_holdouts,obs_max_set_size_global,obs_n_multi_sets_median,fold_over_null
1,753.0,22.718459495351926,28.792518495872823,28.02097217976154,90.0,283,16355.0,1.2673622743550732
2,283128.0,1.0577618603599785,1.2029422195047386,1.1292571079180678,12.0,61,1587.5,1.1372524048989174
3,70876376.0,1.0002307397883887,1.0135346988688474,1.0009782940996637,2.0,44,16.0,1.0133008900359064
5,1990740210900.0,1.0000000082150347,1.0013280342402935,1.0,1.0,21,0.0,1.0013280260143491
7,2.64842389828962e+16,1.0000000000006175,1.0001565270559463,1.0,1.0,4,0.0,1.0001565270553288
10,1.5209783682841696e+22,1.0,1.0000709263222256,1.0,1.0,4,0.0,1.0000709263222256
