gene,mean_n_neighbors,mean_neighbor_popularity,median_neighbor_popularity,specificity
NRAP,149.3,4999.745527722172,4749.39,0.6942986531505857
KRT6A,138.36,5064.825404124713,4785.07,0.6903194494573701
SNAP25,164.74,5071.803532153872,4827.57,0.6898927831150186
IGFBP2,161.86,5079.060821127426,4818.7,0.6894490479286197
CLEC4G,252.28,5082.710712734295,4797.94,0.6892258812146563
LCN10,157.7,5090.468621395958,4812.93,0.6887515364478167
NPPA,178.18,5094.79281984263,4849.71,0.6884871403336821
TPM1,257.94,5102.316597286663,4839.21,0.6880271111411396
MB,104.32,5102.631077952333,4834.07,0.6880078827299093
P4HA2,261.36,5106.88196219205,4864.66,0.6877479692942801
MUC7,311.86,5107.187414216531,4822.62,0.6877292929247001
MYH2,142.2,5114.178913997048,4865.99,0.6873018089882575
TNNT2,175.6,5117.773734624829,4833.67,0.6870820095001633
HP,134.4,5119.945042154488,4850.5,0.6869492484161119
MAP1LC3B2,241.5,5120.532104664281,4865.69,0.6869133534292705
GP2,209.46,5122.999136721945,4825.0,0.6867625107476646
CPA1,172.3,5123.95136451906,4834.47,0.6867042883204488
VLDLR,165.5,5124.718185721127,4932.94,0.6866574022793563
TRDV2,187.48,5125.839655424959,4893.23,0.6865888318297182
RPS3AP18,308.76,5126.521699132832,4863.9,0.6865471293712729
SBSN,238.24,5126.97058916698,4838.36,0.6865196827167851
DYNLT5,175.42,5127.6941140136605,4872.55,0.6864754439612559
NT5M,174.66,5128.31486334788,4867.57,0.686437489248066
HSPB7,154.5,5132.366484160046,4855.23,0.6861897594521524
CPLX2,204.52,5136.313427171741,4871.52,0.6859484300108993
HDAC4-AS1,297.58,5136.3565163587,4850.67,0.6859457953923143
MYL7,196.26,5137.79998977744,4889.05,0.6858575365467784
MTND1P23,230.6,5138.698463108176,4885.33,0.6858026008493932
THNSL2,174.12,5141.04472302342,4883.85,0.685659142584933
REG1A,178.14,5143.2640391301975,4886.35,0.6855234460941487
MTCO2P12,251.24,5143.8764331895645,4911.71,0.6854860022507145
SFTPB,168.48,5145.036008756216,4861.71,0.6854151018797789
CLPS,229.06,5145.0818872568625,4852.78,0.6854122967131236
SFTPC,172.68,5145.343264597456,4911.31,0.6853963152187431
FLNC,140.22,5145.570014297905,4851.49,0.685382450975365
REG1B,236.9,5146.379827672772,4877.3,0.6853329362474612
PVALB,198.84,5146.486400575179,4884.94,0.6853264200198607
CRNN,184.56,5147.637613411171,4887.7,0.6852560309745539
CTRB1,232.96,5147.842311663346,4875.06,0.6852435150312843
TNNI3,217.54,5148.686528060982,4855.77,0.6851918967862438
PIGC,310.24,5149.495841989424,4857.69,0.6851424125961831
XIRP1,204.84,5149.632265581087,4913.01,0.6851340711965095
SFTPA2,196.1,5149.901478339819,4901.08,0.6851176106181707
CYP11B1,216.98,5150.531930625486,4905.33,0.6850790626337214
ENSG00000281383,266.84,5150.550124000898,4923.61,0.6850779502292328
DES,123.82,5151.011892760547,4914.63,0.6850497161259219
ACTC1,180.0,5151.298241400765,4852.76,0.6850322078018487
CPA2,234.36,5152.61100389667,4863.57,0.6849519410640985
MAPK8IP1P2,307.72,5153.158521045458,4895.84,0.6849184640143406
FLG2,206.32,5153.286414401653,4884.54,0.6849106441821062
SPACDR,262.4,5154.71240434657,4906.11,0.6848234543352754
RN7SL1,222.76,5155.767444230863,4892.92,0.6847589456294183
IGLV1-41,263.62,5155.821320640648,4872.97,0.6847556514435555
CTDSPL,202.68,5156.559691959226,4902.17,0.6847105049245352
PRM2,309.22,5157.3759762405125,4898.69,0.6846605945435333
SPACA6,250.08,5158.581024532218,4869.89,0.6845869138164342
MYL2,118.46,5158.693022481283,4886.57,0.6845800658831377
PDGFA-DT,245.68,5158.737144453079,4898.7,0.6845773681165956
GPS2P1,238.48,5159.145875410994,4891.22,0.6845523769238158
KRT4,136.22,5159.16315272953,4892.7,0.6845513205301419
PPP1R3B-DT,218.58,5159.448075343598,4899.22,0.6845338993981291
CPB1,166.14,5159.776240873497,4908.63,0.6845138342480284
PLP1,128.54,5160.187475231545,4918.2,0.6844886899888998
TNC,262.0,5160.475235740616,4883.97,0.684471095338391
BAMBI,270.58,5162.038916417354,4890.5,0.6843754866146528
TAGLN2P1,286.98,5162.32918448772,4879.63,0.6843577386433677
STAR,287.04,5162.661512290836,4864.91,0.6843374189978089
ENSG00000272950,309.12,5163.046558412799,4890.65,0.684313875975983
TNNI1,150.68,5163.6055712361685,4908.64,0.6842796960418118
AIG1,328.64,5163.793021245138,4867.42,0.684268234714452
CTTN,209.36,5163.906587524974,4869.11,0.6842612908881092
MIR124-1HG,237.68,5164.283070665753,4878.74,0.6842382714359063
H2BC11,212.82,5164.52292978942,4882.35,0.6842236056380666
ENSG00000288743,330.8,5164.738080248243,4843.2,0.6842104506115412
MAP2,253.02,5164.989176710777,4926.5,0.6841950977248072
SPDYC,215.58,5165.049718372919,4880.94,0.6841913960028787
MYH6,133.82,5166.060281532052,4879.63,0.6841296067543838
NFASC,339.32,5166.305657041587,4918.95,0.6841146036660601
ACTN2,147.3,5166.938968705609,4907.16,0.6840758808495501
PKP1,216.74,5167.000702875883,4888.37,0.6840721062136421
MUC5B,273.32,5167.180548756727,4899.82,0.6840611098283872
ANKRD1,199.44,5167.361353582074,4886.15,0.684050054810023
CAMSAP3,274.44,5167.602611165657,4895.08,0.6840353035056156
CABP5,189.64,5168.961439412293,4868.77,0.6839522201521069
RHCG,172.26,5169.035722309977,4933.09,0.6839476782445749
TRDN,215.14,5169.1850249854515,4924.25,0.6839385493741699
PDGFA,301.6,5169.21902037117,4898.9,0.6839364707813409
FAM3B,255.84,5169.266816803052,4899.91,0.6839335483458849
ENSG00000294153,204.86,5169.556703553931,4908.57,0.6839158236897627
SDCBP2,309.58,5169.67704179373,4886.3,0.6839084658028902
PDGFRA,302.66,5169.864076449601,4903.46,0.6838970298716233
KIF1A,196.9,5169.873919587979,4946.48,0.683896428028861
ICA1,265.16,5170.031561553465,4890.97,0.6838867892660676
SPRR3,145.86,5170.186736241967,4922.15,0.6838773013609314
SYNE3-AS1,308.48,5170.318639807076,4885.27,0.6838692363309644
CTRB2,229.7,5170.591433400294,4904.89,0.6838525568082976
ENSG00000226266,352.38,5170.712781106413,4929.31,0.6838451371992411
KRT13,107.26,5170.897669677035,4912.11,0.6838338324868827
CKM,96.52,5171.29761648553,4916.97,0.6838093783866994
H3C10,195.06,5171.306932505558,4946.75,0.6838088087737354
CEL,192.64,5171.6950013480955,4885.41,0.683785080932553
VEPH1,214.68,5172.025066013187,4910.01,0.6837648996629051
ACTG2,180.28,5172.4707860920535,4926.62,0.6837376468302016
IGHV2-70D,217.2,5172.655492432717,4902.43,0.6837263532599989
UQCRFS1P1,264.9,5173.746505871397,4918.23,0.6836596450093918
CARMN,253.1,5173.770963764717,4900.07,0.6836581495710965
PGC,167.5,5174.048244590045,4914.59,0.6836411956838859
VSTM1,165.16,5174.078021168184,4910.67,0.6836393750432171
GPRC5C,304.08,5174.555713511345,4892.35,0.683610167318169
CPE,216.32,5174.835496341785,4948.55,0.6835930604499061
PNLIP,218.32,5175.052280307254,4941.71,0.6835798055452611
ENSG00000285618,270.62,5175.14344935375,4893.73,0.683574231161495
CLEC2L,207.2,5175.750400919153,4902.43,0.683537120090544
ZNF385D,283.56,5175.833627063196,4909.14,0.6835320313626905
C1R,305.0,5176.36695748281,4896.86,0.6834994217375231
SRL,240.96,5177.391519718582,4907.12,0.6834367765381485
ITGA8,262.72,5177.395160333131,4916.88,0.6834365539386652
UCHL1,226.08,5177.695588707338,4927.56,0.6834181847320491
CELA3A,199.7,5178.917288552296,4917.34,0.6833434858726815
DRC7,218.12,5179.1014027924875,4897.08,0.6833322285055037
NEBL,193.46,5179.306969719663,4933.36,0.6833196594485074
MYOZ1,195.6,5179.413340333671,4962.23,0.6833131555895035
ATP1A4,216.68,5179.41437444799,4921.06,0.6833130923602575
MTURN,270.92,5179.557208731954,4893.55,0.6833043589891804
MAGI2-AS3,280.76,5179.740389040412,4929.4,0.6832931587257467
ABCG1,172.7,5179.793379255675,4913.92,0.6832899187248135
LINC03062,298.94,5180.059327908308,4893.33,0.6832736577249583
HEPH,258.82,5180.245819497995,4958.36,0.683262254998594
MAP1B,221.12,5180.684106491947,4944.57,0.6832354566498351
LDB3,199.46,5180.947288769919,4956.14,0.6832193647954803
CELA3B,236.1,5181.03392761863,4908.96,0.6832140674033245
BHLHA15,206.06,5181.199635752266,4860.35,0.6832039354477367
HLA-U,153.64,5181.499059923545,4950.24,0.6831856276414829
GJA4,258.84,5181.63326205474,4910.73,0.6831774220694136
FAIM2,240.2,5181.681877225647,4961.78,0.6831744495734853
ENSG00000295427,325.3,5181.895954522495,4935.94,0.6831613601637117
AOC1,109.1,5182.834585297142,4929.93,0.6831039691044242
SPHK1,258.56,5183.376930854303,4889.05,0.6830708082632648
COL4A1,236.94,5183.3995574654855,4928.23,0.6830694247957514
DRICH1,310.5,5183.642537515239,4902.78,0.6830545681739383
CYB5R2,222.02,5183.812414297729,4925.23,0.6830441813330645
PIGR,224.12,5183.894294308303,4964.25,0.683039174912363
GSTM5,244.62,5184.0583415939445,4921.74,0.6830291445066374
GLDC,246.42,5184.826052908427,4923.18,0.6829822040410622
VIL1,193.86,5184.887376547657,4914.24,0.6829784545064104
SERPINF2,298.26,5184.928189960746,4919.74,0.6829759590363347
H4C8,247.98,5184.948586675891,4887.43,0.6829747119122047
MRC1,140.02,5184.963436688723,4843.49,0.6829738039322089
ENSG00000304783,288.34,5185.240048026925,4914.82,0.682956890979705
CFAP45,167.74,5185.366799964734,4888.5,0.68294914093765
COL6A3,225.94,5185.6896750256365,4880.4,0.6829293992647119
FLG,225.66,5185.691963483458,4930.47,0.682929259340663
TTTY14,218.64,5186.1545128301,4907.53,0.682900977509624
RPS2P32,400.38,5186.232312751526,4912.78,0.6828962205593687
SLC22A18,222.52,5186.272080039806,4981.4,0.682893789052901
KANSL1-AS1,189.72,5186.293134659761,4915.14,0.6828925017022464
ELAPOR1,134.6,5186.377557311651,4887.27,0.6828873398158575
HIF3A,317.12,5186.9850866534225,4919.09,0.6828501934177058
ENSG00000289091,260.06,5187.304909763237,4903.83,0.6828306383513765
SEPTIN5,210.32,5187.393243475362,4896.26,0.6828252373295407
CEACAM21,213.74,5187.4059482169305,4934.86,0.6828244605186835
OSBPL6,265.62,5187.526626202572,4913.22,0.6828170818586016
TNNC2,196.14,5187.681785680725,4967.85,0.6828075948834775
TMEM191B,251.74,5187.72402534394,4919.15,0.6828050122076466
SLC38A4-AS1,303.06,5187.839059292715,4897.43,0.6827979786430624
MGLL,207.52,5188.359407736846,4986.19,0.682766162779771
PLA2G1B,259.68,5188.7772633086715,4938.6,0.6827406136772443
PHYHIP,233.92,5188.834501442518,4947.7,0.6827371139442056
TRIM29,223.22,5189.421208208339,4936.91,0.6827012407087534
S100A14,247.98,5189.606183172861,4951.09,0.6826899307139798
IGLV8-61,120.76,5189.647594606548,4962.21,0.6826873986789026
LIPF,247.96,5189.826292031507,4948.32,0.6826764725141237
ENSG00000302477,263.86,5189.847031869224,4895.08,0.6826752044103195
DNAH14,324.1,5189.856491993105,4905.79,0.6826746259863585
FZD5,258.94,5189.863492597582,4895.9,0.6826741979457303
MYH11,187.48,5189.971550135469,4925.34,0.6826675909424965
CAPN1-AS1,206.7,5189.991325128609,4957.79,0.6826663818325522
CASQ1,203.0,5190.245922590634,4954.87,0.6826508148828716
COL12A1,236.16,5190.336894322832,4934.05,0.6826452525635688
CYTOR,382.04,5190.374250727815,4905.97,0.6826429684666576
PDLIM3,194.38,5190.90464864461,4917.57,0.6826105381446279
CFAP161,238.82,5190.969059935558,4944.2,0.68260659982051
LAMC3,224.36,5191.189660283794,4937.04,0.6825931115693187
PLXNB3,262.24,5191.361904478543,4911.65,0.6825825799768546
SYTL4,301.1,5191.463982885661,4924.65,0.6825763385578929
HLA-S,165.6,5191.6251139089745,4935.42,0.6825664864623067
IGLV4-60,168.8,5191.742040647125,4943.63,0.6825593371661801
ENSG00000262539,313.26,5191.846695832438,4932.64,0.6825529381942869
GRIN3B,297.84,5192.302877783153,4922.56,0.6825250456873645
LINC01629,178.6,5192.316551157827,4966.75,0.6825242096510041
H2BC15,337.2,5192.39883533388,4936.39,0.6825191785182587
GPX1P1,132.02,5192.431882503928,4932.36,0.6825171579025419
ENSG00000305512,244.58,5193.01936969321,4908.01,0.6824812369493605
ENSG00000265907,225.32,5193.149366919322,4907.04,0.6824732884794056
POU2AF1,151.92,5193.217337128946,4876.82,0.6824691325509663
ENSG00000294531,317.84,5193.818781487619,4928.89,0.682432358209256
ENSG00000300370,261.44,5193.973889938039,4924.11,0.6824228743541401
PCBP3,235.02,5193.991211841801,4941.68,0.6824218152343748
LINC01554,200.08,5194.1953715170375,4929.26,0.6824093322215201
SIGLEC12,130.3,5194.351246616465,4907.76,0.6823998014908919
PFN1P1,284.86,5194.426400396452,4907.68,0.6823952063346712
MAPRE3,301.3,5194.504878287065,4914.71,0.6823904079310874
DTNA,292.56,5194.653038216222,4928.94,0.6823813489320562
RGL3,251.28,5194.836928154363,4915.26,0.6823701052794642
TPTEP1,174.38,5195.078766763257,4933.06,0.6823553184492047
ENSG00000264548,291.62,5195.394876358982,4910.62,0.6823359904396831
UMODL1-AS1,256.46,5195.5608302034125,4942.41,0.6823258434605067
ORM1,141.06,5195.600523672119,4919.65,0.6823234164676173
MMP19,178.16,5195.940123138449,4946.2,0.6823026522079823
PNMT,294.08,5196.37839967368,4932.01,0.682275854498705
TREM2,250.96,5196.69569899935,4889.39,0.6822564537450719
DDX11L16,148.88,5196.749915152084,4977.76,0.6822531387861764
SULT1A2,162.62,5197.082697238635,4947.56,0.6822327913641923
IFI27,99.32,5197.1703503121935,4958.99,0.6822274319588999
ENSG00000305420,262.24,5197.596951212594,4916.36,0.6822013481374141
CORIN,206.58,5197.803804387443,4956.91,0.6821887004348858
MYH7,96.12,5197.997186980126,4929.18,0.6821768763692984
C1QTNF12,349.78,5198.17842931019,4916.07,0.6821657946004164
LINC01353,350.74,5198.330919066682,4926.38,0.6821564708611016
GET4,442.3,5198.357457994437,4918.39,0.6821548481813245
TNNI2,265.82,5198.633675829565,4926.64,0.6821379592889292
ENSG00000250348,223.38,5198.866204932823,4931.24,0.6821237416733217
CRP,209.28,5198.971821862904,5009.98,0.6821172838971016
ADCY5,352.16,5199.059389182331,4929.48,0.6821119297351066
ENSG00000290057,389.42,5199.090455319752,4931.42,0.6821100302464229
TDRP,272.68,5199.170124801933,4955.32,0.6821051589849016
MEDAG,276.26,5199.309932529202,4941.24,0.6820966106677344
ENSG00000280241,257.06,5199.37510029849,4900.78,0.6820926260899731
LILRA4,179.2,5199.592322447162,4933.64,0.6820793443933255
ENSG00000229337,325.64,5199.655545753134,4926.01,0.6820754787066259
CEACAM1,155.02,5199.957758260468,4905.03,0.6820570004120778
CNN1,234.02,5199.978911796896,4924.15,0.6820557070133356
ENSG00000273855,243.26,5200.138918922059,4912.26,0.6820459236366825
HBE1,205.94,5200.168180761668,4933.2,0.6820441344688677
ENKUR,211.14,5200.337913361967,4940.02,0.6820337564437806
SFN,231.46,5200.4895401397725,4938.84,0.6820244854699008
TSPAN33,221.76,5200.5821853819225,4908.28,0.682018820826541
BEGAIN,157.48,5200.62214333743,4948.87,0.6820163776620343
PADI4,257.82,5200.896670509599,4907.89,0.6819995921424886
VWF,208.94,5201.206884590307,4901.24,0.6819806246046893
ENSG00000255422,190.72,5201.272349034543,4942.82,0.6819766218872183
MAP1A,203.0,5201.322163710466,4924.89,0.6819735760494976
ACTA2,281.5,5201.347789413085,4943.4,0.6819720092073931
MYBPC1,117.3,5201.366604688796,4972.82,0.6819708587778175
ENSG00000299389,227.3,5201.650512473192,4939.64,0.6819534996959222
PARD3,271.16,5201.718873599519,4934.11,0.681949319865514
COL27A1,310.52,5201.729246635474,4947.53,0.6819486856230221
MTARC2,322.56,5201.750395182014,4925.88,0.6819473925293786
ITGA9-AS1,319.98,5201.776506558843,4947.9,0.6819457959915107
ILRUN-AS1,329.16,5201.787982805408,4942.17,0.6819450942949918
IL10,189.62,5201.980318264687,4856.43,0.6819333342546813
KCNN3,292.14,5202.207026449869,4945.89,0.681919472549687
DLC1,277.14,5202.409084534054,4936.52,0.6819071180352152
ENSG00000254910,284.44,5202.619442867466,4906.4,0.6818942560154408
NOTCH3,222.7,5202.766308737846,4907.13,0.6818852761395386
BICDL2,157.82,5202.793705156659,4968.25,0.6818836010298588
IGKJ4,224.32,5202.878098512407,4996.58,0.6818784409347352
LINC00222,289.36,5202.913972874116,4947.8,0.6818762474549609
IGLV10-54,137.34,5202.973447479973,4987.51,0.6818726109764615
UQCRHL,360.04,5202.976377753276,4925.79,0.6818724318096437
MTCO1P40,314.44,5203.154138042752,4938.52,0.6818615629444971
ENSG00000236304,125.96,5203.225754254081,4917.86,0.6818571840871854
ABCC3,203.58,5203.626209736747,4914.13,0.6818326988849437
VSIG10L,312.08,5203.649682114826,4973.42,0.6818312637043824
PRSS1,154.8,5203.773203358836,4957.24,0.68182371119787
TPO,242.22,5203.961355186102,4913.55,0.6818122069589665
SEPSECS-AS1,329.02,5204.002802867706,4910.85,0.6818096727075692
TMEM92,166.4,5204.574156673367,4916.21,0.681774738204013
PITX1,223.0,5204.627944914425,4993.98,0.6817714494090844
MARCHF3,270.38,5204.9728793681315,4929.98,0.6817503589502825
ENSG00000289320,251.92,5205.279477340526,4960.7,0.6817316125135722
GPM6A,210.22,5205.514108692528,4976.87,0.6817172663593685
ADARB2,127.16,5205.560251278128,4988.63,0.6817144450456663
KRT15,230.94,5206.561977161669,4971.11,0.681653196138082
ENSG00000227512,249.56,5206.858541630374,4941.71,0.6816350631837129
MYL1,158.24,5207.047808931985,4965.38,0.6816234907409364
BTG2-DT,262.26,5207.0817551000155,4917.59,0.6816214151574432
RIN1,222.0,5207.1760154490585,4937.56,0.6816156517609869
TMSB4XP8,270.68,5207.540754621962,4932.91,0.6815933503746889
SLC7A8,212.48,5207.705396116124,4916.43,0.6815832836370453
ENSG00000288885,267.36,5207.829927429489,4959.32,0.6815756693714773
ENSG00000287195,300.3,5207.844009096025,4953.25,0.681574808370772
NTNG2,283.76,5207.900651159874,4917.65,0.6815713450834684
SFTPA1,202.68,5208.24964497562,4965.87,0.6815500064215457
RAB17,262.78,5208.5623784101535,4946.08,0.681530884841935
CMYA5,155.96,5208.658380063425,4926.67,0.6815250149762504
CALD1,212.86,5208.723947229508,4930.62,0.6815210059780185
SOD3,268.38,5208.993127573566,4966.58,0.6815045473816224
GPRC5D,266.08,5209.063914928775,4892.61,0.6815002192033766
FSTL1,204.74,5209.301688796837,4982.69,0.6814856809051155
ISCU,412.18,5209.349670547995,4921.07,0.6814827471386123
MOBP,198.38,5209.533729179566,4977.29,0.6814714931715338
TBC1D3D,370.54,5209.5961217619715,4958.51,0.6814676782780819
KRT2,178.8,5209.612879528958,4935.39,0.6814666536515465
ENSG00000261840,375.44,5210.150218524809,4934.27,0.6814337989284739
BAIAP3,133.24,5210.170604756188,4941.47,0.6814325524453568
ACOX2,246.66,5210.219110386799,4932.45,0.6814295866470927
HAS1,222.82,5210.328064258498,4923.77,0.681422924838979
FITM1,329.96,5210.343648980703,4906.14,0.6814219719363679
ENSG00000291236,180.38,5210.502074904152,4933.88,0.681412285239734
LINC02972,94.46,5210.639174269172,4914.9,0.6814039025209921
SLC26A6,259.5,5211.066661141739,4904.86,0.6813777645281724
POMC,203.84,5211.192201066639,4933.49,0.6813700885926848
CD151,233.48,5211.192920630104,4914.14,0.6813700445961417
FERMT2,276.9,5211.33184552445,4954.23,0.6813615502583644
OVCH1-AS1,177.44,5211.68885339353,4947.76,0.6813397215901236
ALDH1A2,266.5,5211.8003243515595,4952.53,0.6813329058788408
NUTM2A-AS1,316.18,5211.875221137592,4934.09,0.6813283264360995
LPL,201.94,5211.939034731221,4941.71,0.6813244246572168
HIP1,235.9,5212.001476146749,4895.06,0.6813206067779426
RAP1GAP,89.48,5212.093148852119,4998.1,0.6813150015987699
SEC14L5,192.98,5212.100223678465,4909.58,0.6813145690199655
LHFPL6,304.2,5212.299704623325,4911.22,0.681302372080506
CITED4,220.3,5212.48320334258,4898.9,0.6812911523483596
ENSG00000296451,348.08,5212.801716331872,4925.82,0.6812716773872289
PGGHG,258.7,5212.832215319187,4895.6,0.6812698125760204
THBS3-AS1,339.86,5212.921527423917,4898.84,0.6812643517319525
ENSG00000307459,269.14,5213.009089820458,4977.17,0.6812589978709594
HMGN5,294.16,5213.027429602187,4951.06,0.6812578765146935
GNAZ,207.12,5213.530691205856,4950.09,0.6812271053986025
INSR,283.24,5213.584376102494,4913.77,0.6812238229225012
SBNO1-AS1,378.88,5213.768789863154,4949.09,0.6812125472416293
KRT19,239.68,5213.875070437381,4965.64,0.6812060488879621
CYB5R3,452.54,5214.143266423818,4909.59,0.6811896504785192
ENSG00000273361,385.76,5214.179055544476,4927.16,0.6811874622106711
CSPG4,276.04,5214.2157265469195,4959.34,0.6811852200215885
TMSB4XP4,318.92,5214.220520600098,4920.75,0.6811849268969674
PF4,144.72,5214.306992193411,4994.67,0.681179639731372
MYL11,244.12,5214.589505911749,4978.69,0.6811623658873892
LILRB5,237.76,5214.732953308473,4914.56,0.681153595028525
VASN,314.7,5214.808006177098,4949.38,0.6811490060423664
RTL8B,338.18,5215.046992480751,4932.79,0.6811343936116936
ENSG00000261253,207.86,5215.34778106999,4946.31,0.6811160023803124
CCDC144A,228.08,5215.4785566112205,4962.0,0.6811080063215396
RENBP,321.26,5215.655602972455,4914.6,0.6810971811083794
MARK3,453.26,5215.670885896752,4920.66,0.6810962466587128
WASHC1,204.82,5215.778359865322,4957.03,0.6810896753368803
SLC12A5-AS1,225.92,5215.831274666467,4899.69,0.6810864399470213
CTRC,275.7,5215.85793345577,4940.24,0.6810848099385038
ENSG00000306963,190.08,5216.070718203591,4962.57,0.6810717995595481
SPX,231.88,5216.071784840499,4956.48,0.6810717343417609
ENSG00000262999,248.14,5216.084852024143,4966.44,0.6810709353699698
CLEC5A,154.38,5216.144187309255,4963.41,0.681067307410012
NPIPB2,218.8,5216.235737052656,4980.33,0.6810617097491498
PARD6A,308.96,5216.883896692709,4913.12,0.6810220790771808
SLC18A2-AS1,187.06,5217.168211113199,4942.8,0.6810046951321799
ENSG00000291208,226.58,5217.403411501799,4951.04,0.6809903141851544
NOS1AP,239.12,5217.72338447016,4981.06,0.680970749955967
ENSG00000260188,236.56,5217.787938667613,4915.13,0.6809668028940622
SETD9,292.18,5217.860783449484,4945.61,0.6809623489177936
PLEKHA6,335.52,5217.935331052503,4958.6,0.6809577908252826
CAV2,266.58,5217.968837992524,4959.75,0.6809557420976751
ENSG00000255108,386.1,5218.111386302966,4958.43,0.6809470262119861
HLA-V,360.46,5218.210934363099,4948.78,0.6809409395069949
ENSG00000278607,248.88,5218.269831816852,4956.64,0.6809373383175266
ZMYND15,185.74,5218.43295119462,4925.22,0.6809273646472259
TEK,253.32,5218.491644034291,4960.91,0.6809237759685545
LTBP2,286.56,5218.575049131436,4951.77,0.6809186762989033
LINC02887,243.46,5218.688446195241,4973.79,0.6809117428190008
DCAF6,386.74,5218.853737416968,4921.16,0.680901636354817
ENSG00000286760,380.82,5219.489478938253,4935.5,0.680862764968618
H3-5,312.38,5219.73875194654,4951.23,0.6808475235740421
CFAP184,388.16,5219.88707851358,4974.34,0.6808384543862074
VSIG2,206.02,5220.020909686969,4966.25,0.6808302714957524
TCAP,189.22,5220.610518692866,4932.14,0.6807942208075288
CXCL5,181.98,5220.700546818947,4937.52,0.6807887161834945
LINC02937,187.58,5220.7489495492,4954.45,0.6807857566769062
NAPRT,299.54,5220.905267992116,4947.81,0.6807761988387577
PIM1,323.52,5220.955673957687,4925.77,0.6807731168475887
ENSG00000233968,269.36,5220.977208773369,4950.3,0.6807718001361438
PPP1R14A,316.66,5221.065879055329,4939.22,0.6807663785352902
ENSG00000272941,262.78,5221.069779684356,4927.14,0.6807661400376426
CCDC80,219.66,5221.133112796581,4947.03,0.6807622676370173
RNF182,114.92,5221.2653462285925,4984.02,0.6807541824378727
COL8A1,237.08,5221.315332030905,4955.62,0.6807511261369059
JPH4,311.14,5221.394500637294,4981.24,0.680746285500624
CDC26,471.98,5221.452945658474,4932.71,0.680742711974413
TMEM45A,186.48,5221.745411455942,5023.13,0.680724829626662
VSIG8,227.02,5222.027545920718,4967.69,0.6807075789715245
PRAM1,281.34,5222.034657090349,4927.84,0.6807071441705687
SMANTIS,157.94,5222.094775174361,4944.86,0.6807034683476392
ENSG00000280254,236.46,5222.133787336608,4955.89,0.6807010830121303
PAK1,306.32,5222.24621298708,4897.18,0.6806942089277237
GFAP,105.22,5222.291175153727,4986.17,0.6806914597888274
ENSG00000236403,224.32,5222.384091472657,4948.91,0.6806857785709167
ENSG00000299376,223.96,5222.591658968942,5017.32,0.6806730871923605
ANPEP,260.82,5222.651423763185,4942.4,0.6806694329707621
HDAC5,357.24,5222.935982569946,4907.35,0.6806520340831583
NECTIN1,233.0,5223.026442372238,4973.17,0.6806465030649809
ZFAT,408.84,5223.2736225450935,4943.38,0.6806313896334397
SAMD4A-AS1,178.2,5223.339875817128,4988.44,0.68062733868437
TFCP2L1,219.12,5223.52379107426,5017.2,0.6806160934836893
SLC7A2,267.32,5223.559600984883,4976.73,0.6806139039446724
ATP1A2,162.14,5223.648034455058,5018.0,0.680608496823292
RAI2,259.62,5223.712818209809,4983.23,0.680604535725478
ENSG00000288703,250.82,5223.716778545894,4950.38,0.6806042935771388
APOD,174.0,5223.772471480345,4991.17,0.680600888322816
ENSG00000275765,377.4,5223.826977062903,4951.64,0.6805975556672025
PGA5,232.14,5223.983633912567,4948.2,0.6805879771377215
SLC24A3,288.62,5224.06658612204,4946.41,0.6805829051591539
LOXHD1,178.2,5224.087059159261,4947.52,0.6805816533684341
TNNT3,172.88,5224.207568022862,4982.24,0.6805742850490455
PEAR1,211.18,5224.239685177043,4935.53,0.6805723212976433
TACC2,244.2,5224.577938199765,4981.5,0.6805516393641231
GAPDHP1,234.44,5224.581292822811,4955.19,0.6805514342511274
CTF1,358.16,5224.599570120771,4973.53,0.6805503167153304
FGGY,326.52,5224.637895920098,4941.0,0.6805479733463713
WASH9P,270.86,5224.737594359948,4910.65,0.6805418774466556
ENSG00000279314,311.72,5224.7394984251,4938.29,0.6805417610256741
CORO2A,287.74,5225.059192164181,4972.73,0.680522213869509
TRPM4,225.3,5225.44112429938,4964.94,0.6804988612473628
XIRP2,199.06,5225.481696746982,4989.1,0.6804963805107318
PI3,90.14,5225.787285282015,4932.28,0.6804776957944351
SAMD14,160.82,5226.139832076419,4949.76,0.6804561398913838
C1QC,108.72,5226.1911728217065,4902.09,0.6804530007446221
KLHL41,146.88,5226.398556755375,4956.34,0.6804403205897049
ATP2C2,136.98,5226.547300495691,4925.68,0.6804312258944853
ENSG00000293707,390.72,5226.568704512589,4986.22,0.6804299171805204
ENSG00000298336,309.84,5226.749468014786,4954.72,0.6804188646887933
ENSG00000254810,250.28,5226.756610948264,4981.47,0.6804184279456885
COL14A1,243.8,5226.942615889105,4982.7,0.6804070549746802
TWIST2,221.3,5227.117691890949,4973.87,0.6803963502359555
EGFR,279.52,5227.276500950782,4979.28,0.6803866401130674
ENSG00000287095,212.34,5227.3658160552295,4943.63,0.6803811790855867
GSK3A,541.08,5227.448697914537,4935.78,0.6803761114084661
ENSG00000308303,265.38,5227.574766110563,4924.42,0.6803684031726955
TMEM63C,149.0,5227.815019434585,5037.72,0.6803537132721134
RPH3A,104.78,5227.850836216813,5008.47,0.6803515233129432
ENSG00000286076,205.92,5227.8873550234985,4935.49,0.680349290429624
