gene,mean_n_neighbors,mean_neighbor_popularity,median_neighbor_popularity,specificity
NPEPPS,258.32,5823.555778306369,5730.53,0.643928108938773
GPATCH1,294.92,5823.593204454314,5576.53,0.6439258205775411
ENSG00000262482,226.2,5823.642342013796,5753.53,0.6439228161410091
C20orf96,266.18,5823.668269395973,5710.36,0.6439212308531964
ZNF567-DT,269.2,5823.699951994586,5625.38,0.6439192936719911
RBBP4,271.74,5823.708071378177,5548.59,0.6439187972254248
ENSG00000288990,212.8,5823.751063292929,5648.81,0.6439161685543914
BDH1,191.9,5823.753855644297,5706.52,0.6439159978205872
CSNK2A1,339.82,5823.812034746005,5596.36,0.6439124405535919
TRIB1,145.26,5823.887301672145,5738.6,0.6439078384792329
SYVN1,285.72,5823.89222866252,5701.91,0.643907537226382
EIF2A,247.94,5824.009323246711,5540.55,0.6439003776675811
FHIT,150.34,5824.072239120212,5644.3,0.6438965307783423
ATP5PB,250.6,5824.111345690055,5744.05,0.6438941396704339
TRAV25,197.5,5824.126095454039,5640.71,0.6438932378199915
CD101,156.12,5824.195375009316,5648.38,0.6438890018337318
ECHDC3,91.68,5824.224867079734,5740.14,0.643887198588827
P2RY8,203.64,5824.230338964714,5637.06,0.6438868640192776
KDSR,249.84,5824.239326681193,5566.28,0.6438863144799025
TRIM68,286.7,5824.260093220928,5570.44,0.6438850447434468
USP16,234.92,5824.271670211123,5521.08,0.6438843368871219
DMWD,196.56,5824.293876208172,5666.61,0.6438829791373786
NF2,254.22,5824.3527896584665,5508.42,0.6438793769698278
PRKCA,194.32,5824.370866519666,5573.28,0.643878271689412
TRGV3,184.76,5824.39968016626,5696.52,0.6438765099256338
RAB22A,276.78,5824.403013114826,5679.72,0.6438763061378889
FBXO38-DT,211.08,5824.56198759836,5780.59,0.6438665859004365
LINC01355,194.5,5824.613843235402,5775.99,0.643863415271452
ENSG00000289137,133.38,5824.629805787453,5705.02,0.6438624392670467
MBTPS2,236.46,5824.633273524666,5518.25,0.6438622272378682
LINC01012,241.42,5824.732074952355,5689.1,0.643856186184509
PHACTR1,122.8,5824.76506532456,5771.19,0.6438541690416044
SMURF2,269.02,5824.781820234964,5574.96,0.6438531445897302
GPATCH4,231.56,5824.847514944937,5610.6,0.6438491277930335
C2orf49,241.3,5824.928361299402,5646.4,0.6438441845735614
RAB11FIP5,160.86,5825.046490657718,5698.2,0.6438369617451716
GORAB,214.88,5825.089997229696,5527.89,0.6438343016062552
ETAA1,195.76,5825.119685757146,5524.97,0.6438324863493032
DOK2,189.38,5825.137099586002,5675.77,0.6438314216089268
DDX46,286.48,5825.151677631274,5571.29,0.6438305302579472
ZNF436,240.12,5825.227803941187,5730.47,0.6438258756379587
LINC02795,192.52,5825.250589124203,5749.98,0.6438244824748272
GABARAPL1,217.14,5825.251679382938,5761.07,0.6438244158127215
HSD17B7,275.88,5825.385572613999,5608.46,0.6438162291278509
GRK5,261.74,5825.49067778341,5670.27,0.6438098026424084
ENSG00000227678,249.52,5825.513814275238,5658.0,0.6438083879990684
CCT7,278.12,5825.622623333975,5628.71,0.6438017350453088
ENSG00000269399,216.84,5825.624698520942,5773.26,0.6438016081613609
BRD2,368.1,5825.740369168248,5633.3,0.6437945356668757
SCAMP3,260.36,5825.7546755561125,5595.24,0.6437936609259485
ZNF853,199.1,5825.825909610331,5608.79,0.6437893054350149
HINFP,319.8,5825.828528029998,5633.12,0.643789145335983
UHMK1,214.72,5825.883685764691,5537.93,0.6437857728055829
ENSG00000226310,215.18,5826.017439584651,5736.59,0.6437775946447784
H2AC20,137.96,5826.080242344648,5776.11,0.6437737546716815
ENSG00000305497,155.34,5826.162731925615,5767.83,0.6437687109797852
LRRC1,276.84,5826.163986882186,5625.5,0.6437686342474971
STT3B,242.58,5826.212139503803,5512.32,0.6437656900333963
MMP25-AS1,158.7,5826.275095518403,5719.09,0.6437618406897949
CHMP4BP1,156.96,5826.2782368225735,5781.16,0.6437616486198365
PAQR8,199.72,5826.292579789554,5695.66,0.6437607716423385
HLA-DMB,157.66,5826.307885167327,5633.89,0.6437598358197905
USP43,208.72,5826.328766839509,5683.62,0.6437585590437476
ELP3,270.16,5826.486881843265,5566.67,0.6437488913577949
CAMKK1,175.06,5826.569095638264,5741.79,0.643743864528385
TRBV9,149.48,5826.570666592169,5649.97,0.6437437684749514
ENSG00000307670,208.36,5826.610726250121,5761.12,0.6437413190920134
MTERF2,225.7,5826.616374056362,5584.54,0.6437409737660433
YAF2,260.22,5826.685215072852,5610.28,0.6437367645935279
TMBIM6,320.46,5826.912443620079,5749.97,0.6437228710718386
FRA10AC1,231.92,5826.969465334983,5521.44,0.6437193845713859
ENPP5,180.6,5827.105051399544,5667.85,0.6437110943809512
CACNA1E,131.7,5827.153169483085,5772.13,0.6437081522786252
CRYZ,185.64,5827.157676701462,5580.88,0.6437078766920536
ATP6V0E2,198.34,5827.186277128644,5602.26,0.6437061279652312
IL23A,213.02,5827.218953756257,5619.99,0.6437041300057318
HIPK3,154.5,5827.376613306052,5705.7,0.6436944901677744
ENSG00000289353,137.12,5827.404886279776,5758.55,0.6436927614625634
DEXI,236.28,5827.454000809874,5552.39,0.6436897584341257
STX11,206.46,5827.677525391417,5749.25,0.6436760913854225
GLUL,176.54,5827.703395739249,5787.92,0.6436745095848824
SMC6,217.0,5827.720019503801,5516.31,0.6436734931517089
TXN,193.96,5827.736425007602,5732.68,0.6436724900637358
LINC01948,125.58,5827.787363962998,5745.15,0.6436693754837666
YTHDC2,222.14,5827.8007536364485,5534.07,0.6436685567938583
UBTD1,215.54,5827.811234468217,5732.1,0.6436679159603658
SPATA1,225.42,5827.904152359478,5769.8,0.6436622346463174
LIN7C,232.88,5827.948988346709,5498.17,0.6436594932224574
DHX58,204.28,5828.053309976363,5633.28,0.6436531146452851
LILRA5,129.8,5828.065623997057,5773.35,0.6436523617244233
VIRMA,288.86,5828.095236249762,5735.82,0.6436505511311671
ZNF763,176.06,5828.146117575278,5767.59,0.6436474400748836
DTL,124.58,5828.173136377117,5749.78,0.6436457880539825
TIMM50,267.02,5828.314853033433,5584.64,0.6436371230184388
NADK,234.32,5828.377473651514,5735.33,0.6436332941821147
PCNP,243.5,5828.472965427238,5572.81,0.6436274554920673
RAD9A,268.92,5828.5034465920335,5695.29,0.643625591770588
HYPK,210.52,5828.551647620778,5708.37,0.6436226445967119
RTKN2,159.1,5828.564484512908,5608.49,0.6436218597057225
BYSL,227.34,5828.669415456799,5631.24,0.6436154438730175
ENSG00000257027,217.46,5828.695703035466,5528.19,0.6436138365615734
USP25,269.3,5828.758590684123,5575.11,0.643609991398097
TLR3,205.34,5828.921793975802,5666.5,0.643600012597016
ENSG00000279133,227.44,5829.029005361314,5739.29,0.6435934573303996
QTRT2,224.5,5829.144319808775,5646.97,0.6435864066151773
ENSG00000223374,216.8,5829.17956140729,5724.92,0.6435842518246842
ABCF3,316.78,5829.287320809534,5688.56,0.6435776630504717
SH3BP5L,274.62,5829.427879510355,5776.67,0.6435690688162425
RPL7AP30,212.4,5829.445324610677,5806.76,0.6435680021638228
ENSG00000304009,217.58,5829.470120143989,5768.64,0.6435664860810768
AAMP,294.26,5829.510530157303,5593.5,0.6435640152762272
ZNF526,318.52,5829.515026320623,5626.7,0.6435637403655994
CASTOR1,217.72,5829.529095999701,5757.66,0.6435628800978477
SLC25A16,248.98,5829.557926917113,5491.12,0.6435611172780732
RAB35,295.56,5829.585897810245,5730.51,0.6435594070430911
PODN,157.12,5829.650857980887,5740.27,0.6435554351586128
CEP85L,185.32,5829.680753139237,5544.16,0.643553607267549
ZC3H12A,208.68,5829.711176354156,5780.32,0.643551747089321
DNTTIP1,270.3,5829.772241790151,5725.81,0.6435480133420879
LIMD1-AS1,258.0,5829.787772277886,5637.04,0.6435470637555558
ENSG00000300601,142.88,5829.79463722062,5721.51,0.643546644009745
SYTL3,153.44,5829.858774974676,5769.17,0.6435427224105976
MKKS,191.04,5829.898805893892,5766.31,0.6435402747848431
MAP3K11,229.92,5829.898875121248,5723.09,0.6435402705520484
OSBP,328.92,5829.923771686619,5585.22,0.6435387482918606
IGF2,109.78,5829.94475620053,5755.48,0.6435374652277267
MYO1D,194.26,5830.030613344632,5721.16,0.6435322156316337
KDELR1,274.52,5830.0402414549635,5750.7,0.6435316269364131
ENG,151.92,5830.127941248717,5696.99,0.6435262646744899
DMAP1,323.52,5830.166786698736,5602.74,0.6435238895323304
CCT5,246.34,5830.189588402114,5776.32,0.6435224953590881
EI24,278.94,5830.234996278345,5528.99,0.6435197189680009
GPR153,141.96,5830.264752129135,5727.07,0.6435178995946723
REC8,178.66,5830.314283971797,5805.52,0.6435148710503334
KPNA6,364.38,5830.407733081016,5622.77,0.6435091572558229
SPNS1,254.58,5830.447198199999,5674.99,0.6435067442250078
ENSG00000259704,170.3,5830.482272550226,5799.03,0.6435045996606403
CC2D2B,170.94,5830.612782406335,5781.65,0.6434966198467542
ENSG00000308526,199.52,5830.62344641044,5753.69,0.6434959678134857
EIF3B,266.7,5830.667840262369,5642.28,0.6434932534232731
HEY2,237.62,5830.682582146226,5733.18,0.6434923520546483
C6orf47,289.42,5830.760282722604,5738.21,0.6434876011786852
DHX33,240.3,5830.801612633866,5540.81,0.6434850741281647
CTNND1,200.54,5830.855643326216,5690.95,0.6434817705089444
GLIS2,181.74,5830.963001649246,5770.18,0.6434752062580712
ITPRIPL2,175.22,5830.976285210968,5754.11,0.6434743940561927
NDRG1,160.74,5831.035641124721,5769.63,0.6434707648349299
SETD2,292.42,5831.084474832548,5629.85,0.6434677789769154
CLK4,160.1,5831.107500729712,5772.0,0.6434663710957069
SIKE1,255.26,5831.139832065333,5574.56,0.6434643942485274
PSMB3,252.48,5831.169765140515,5751.22,0.6434625640391003
JARID2,223.56,5831.293066257966,5640.41,0.64345502499187
EPB41L4A,212.32,5831.3282487175975,5760.3,0.6434528738173282
ENSG00000240731,299.92,5831.328985957683,5643.49,0.6434528287399766
CENPH,204.54,5831.371109557218,5700.19,0.6434502531606715
TRAV1-2,168.78,5831.391954967066,5684.09,0.6434489786018303
LINC02352,178.26,5831.395913030686,5757.06,0.6434487365924375
