n_train,mean_set_size,null_mean,fold_over_null,median_max_set_size,median_n_multi_sets
100,1.0631048608988076,1.0002172205964548,1.0628739827783122,5.0,108.0
200,1.0206762457963925,1.0000064496281986,1.0206696628565535,2.5,10.5
300,1.0074325894221952,1.0000008351190144,1.0074317480967867,2.0,3.0
400,1.0030987465606847,1.0000001965185665,1.0030985494331957,1.0,0.0
500,1.0016802201161723,1.0000000640718525,1.001680155936669,1.0,0.0
600,1.0015530418832161,1.0000000256628798,1.0015530161804815,1.0,0.0
700,1.0010272088046468,1.0000000118449324,1.0010271969475473,1.0,0.0
753,1.0013280342402935,1.0000000082150347,1.0013280260143491,1.0,0.0
