n_train,mean_n_in_range,median_n_in_range,mean_shared_M5,median_shared_M5,max_shared_M5,mean_shared_M10,median_shared_M10,max_shared_M10,mean_shared_M20,median_shared_M20,max_shared_M20,mean_shared_M50,median_shared_M50,max_shared_M50
100,32.00709915161133,31.0,13074.771702843169,14296.0,16049,8428.056166309998,9405.0,15145,2300.485502904311,1120.0,12030,6.846958116783858,0.0,1372
200,65.08231353759766,63.0,15185.430302659739,15923.5,16288,13251.047691837357,14638.5,16094,8622.781326811373,9856.0,15246,1028.6655701620298,91.0,9784
300,97.08051300048828,94.5,15675.196172424336,16147.5,16320,14595.046004280037,15589.0,16212,11678.386560684807,13212.0,15877,3636.3437725466224,2781.0,13151
500,160.67425537109375,157.0,16018.853622745339,16272.0,16340,15499.287642922654,16069.0,16296,14050.130272088045,15255.5,16149,8308.220214001834,9473.5,15122
753,241.2261505126953,235.0,16166.119877713238,16312.0,16348,15872.949532253135,16206.5,16324,15074.018440843778,15846.5,16248,11519.696655457046,12996.0,15791
