k_sd,mean_n_nbr,median_n_nbr,frac_zero_nbr,mean_specificity,p99_specificity,min_specificity,max_specificity
2.0,236.2441944359523,232.24,0.0,0.6534094488825594,0.6828012140827711,0.6036319303686759,0.6942986531505857
1.0,119.59024151635585,116.58,0.0,0.8221074727847626,0.8395690160040032,0.7916703817399191,0.8466314809040586
0.5,60.32074228064812,58.7,0.0,0.9101066854718649,0.9194844103517693,0.8931367072919656,0.923705514046002
0.25,30.6725074900642,29.56,0.0,0.9544292451794212,0.9595334093199959,0.9460211444530049,0.9627859083514267
0.1,12.85659553653317,11.94,0.0,0.9811552270704406,0.9835578579402341,0.9769115808407768,0.9854492939564936
