gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
WASH7P,137.78,2656.631525511937,0.8375645658506917,True
ENSG00000241860,122.88,2695.10585345781,0.8352121153495683,True
CICP27,79.78,2804.832007425877,0.8285030872867089,True
ENSG00000308579,102.04,2809.4488730195135,0.8282207965136341,True
ENSG00000268903,88.82,2790.8459791835794,0.829358240343407,True
ENSG00000269981,102.06,2765.569149095065,0.8309037512017692,True
WASH9P,134.68,2646.902027705476,0.8381594602442387,True
ENSG00000292994,99.72,2807.7028336370777,0.8283275552652353,True
ENSG00000290385,86.3,2721.9451771206577,0.8335710683509228,True
ENSG00000250575,140.2,2696.987567676367,0.8350970609797391,True
LINC00115,127.48,2683.7769391616744,0.8359048034752874,True
MTND1P23,112.96,2508.3421298141216,0.8466314809040586,True
MTND2P28,90.54,2860.05831083779,0.8251263643633269,True
MTCO1P12,90.2,2741.3941191564386,0.8323818942735287,True
MTCO2P12,125.62,2607.3862803296533,0.8405755866505867,True
MTATP6P1,95.48,2863.812319327624,0.8248968315910961,True
MTCO3P12,110.02,2670.9921088573,0.8366865112285355,True
LINC01128,100.04,3057.8188241855223,0.8130346179036673,True
NOC2L,109.72,3216.9959658340017,0.8033019892489146,True
KLHL17,93.18,3231.100853494557,0.8024395687254933,True
PLEKHN1,137.64,2818.173241011724,0.8276873591555045,True
HES4,61.0,2958.255584323301,0.8191222510349556,True
ISG15,66.06,2850.708544702439,0.8256980406785424,True
AGRN,82.54,3031.8940366840607,0.8146197470691494,True
C1orf159,94.54,3182.9818729518242,0.8053817258971676,True
TNFRSF18,53.26,3008.9834596815713,0.8160205772129886,True
TNFRSF4,53.5,3074.2145518164452,0.8120321276786031,True
SDF4,215.56,2880.857340958716,0.8238546413354499,True
B3GALT6,96.56,3008.149147446595,0.8160715898840357,True
C1QTNF12,176.02,2626.7075200941936,0.8393942207218469,True
UBE2J2,142.2,3125.033603009146,0.8089248790578327,True
LINC01786,125.4,3062.9536267942244,0.8127206587102278,True
SCNN1D,80.78,3182.458235630071,0.8054137428535573,True
ACAP3,134.24,2900.494706579917,0.82265394640294,True
PUSL1,170.12,2768.7151579292804,0.830711393584269,True
INTS11,156.0,3075.3976948377294,0.8119597863138044,True
ENSG00000240731,153.18,2994.62583994588,0.8168984506300287,True
CPTP,108.86,3009.9094338543932,0.8159639600211316,True
TAS1R3,142.02,2658.179181232918,0.8374699369469325,True
DVL1,117.74,3197.4988945297855,0.8044941061125169,True
MXRA8,102.54,3002.486848868263,0.8164178019646431,True
AURKAIP1,157.56,2856.1522323626787,0.8253651952086409,True
CCNL2,151.82,3115.4518059981324,0.8095107425253358,True
MRPL20-AS1,135.8,3023.276616033306,0.8151466453052091,True
MRPL20,187.16,2847.2334546087113,0.8259105194369483,True
MRPL20-DT,105.8,3041.4478224817703,0.8140355963019401,True
VWA1,156.18,2736.3613883480284,0.8326896124519702,True
ATAD3C,150.18,2772.2056891799793,0.8304979707013158,True
