holdout,K,set_size,tuple_first5,genes_first10
34,1,63,"(166,)",MTCO2P12;THEM5;C1orf35;ENSG00000300661;CCDC121;MAP4K3-DT;EPCAM;CD28;PECR;PTMA
34,1,48,"(742,)",NCMAP-DT;MMACHC;FCRL3;NPL;CD55;NCL;UBE2F;HEG1;ENSG00000303946;BRD8
34,1,46,"(77,)",CDC42-AS1;FNBP1L;ATXN7L2;MLLT11;DCTN1;MRPS9;ARL5A;ALS2;RPL15;KPNA4
34,1,43,"(83,)",DYNLT5;ENSG00000308734;CNOT11;ZBTB47;FAM131A;NPM1;ENSG00000310496;LRP11;POP7;NFE4
35,1,154,"(464,)",ENSG00000269925;ENSG00000285646;WNT4;RIMS3;BEST4;OMA1;ENSG00000301529;MGST3;LINC02608;DNAH14
35,1,125,"(316,)",VWA1;ENSG00000292993;CLCA4-AS1;RBM15-AS1;ST7L;VANGL1;SRGAP2C;SRGAP2;ENSG00000287126;ALMS1-IT1
35,1,79,"(627,)",SSU72;CENPS;ENSG00000238142;TRNP1;TMEM35B;MANEAL;GNAT2;OLFML3;RPS27P8;ENSG00000296134
35,1,74,"(184,)",ENSG00000291077;ZSCAN20;MYCL;PARS2;PTGFRN;SCCPDH;PKDCC;PDCD1;ZKSCAN7;FOXP1-DT
35,1,64,"(406,)",LINC01134;SGIP1;ENSG00000289062;ENSG00000238279;GGPS1;FTOP1;KRCC1;SCN9A;UBE2E3;LMOD3
36,1,67,"(709,)",TMEM54;ZNF684;KTI12;ENSG00000284738;ENSG00000285280;CFH;AFTPH-DT;IGKJ5;ENSG00000279166;CHROMR
36,1,66,"(362,)",ENSG00000290854;TMCO4;SNHG3;IQCC;EFCAB7;ZNF326;NRAS;LY9;TMCC2;FH
36,1,63,"(650,)",TNFRSF8;TRIT1;DNAJC6;PTGFR;LAMTOR5-AS1;BCAS2;ENSG00000270210;TMEM185B;SH3BP5-AS1;AMT
36,1,63,"(590,)",CNKSR1;GSTM1;FCER1A;ENSG00000287315;TP53I3;FTOP1;ZFP36L2;KLF7;ENSG00000289504;CAP1P1
36,1,59,"(727,)",FBXO44;IFFO2;HP1BP3;CYB561D1;NBPF26;EFNA4;ARHGEF11;NUF2;DARS2;UBE2T
37,1,138,"(68,)",AGTRAP;ZBTB40;CMPK1;ZYG11B;LRP8;USP1;LY9;SUCO;AIDA;FBXO28
37,1,122,"(264,)",IFNLR1;ENSG00000285728;LINC02795;NDUFS2;COLGALT2;ENSG00000299074;LBH;PPP3R1;IGKC;TLK1
37,1,117,"(30,)",INPP5B;SCP2;TYW3;GDAP2;NBPF15;MTMR11;ADAMTSL4;TSEN15;BIRC6;SRSF7
37,1,108,"(749,)",PTP4A2;ZMYM4;CDC20;MKNK1;ZZZ3;HS2ST1;LRRC8B;SLC16A1;S100A11;TSTD1
37,1,100,"(606,)",WRAP73;SDC3;ZRANB2;MTF2;LINC01160;SLAMF7;SELP;ANGEL2;MRPL55;CMPK2
38,1,81,"(15,)",VWA1;ENSG00000287586;FBLIM1;TMEM54;NBPF20;RGS18;PM20D1-AS1;H3-3A-DT;OR2B11;PFN4
38,1,81,"(607,)",TMEM240;MAP7D1;ENSG00000309388;BTF3L4;BCAR3;ENSG00000232811;OLFML3;TRIM33;ENSG00000287064;ENSG00000306750
38,1,80,"(54,)",VPS13D;DRAM2;DENND2C;MSTO1;LINC02803;LINC02818;PKP1;IL10;ENSG00000305204;ENSG00000288999
38,1,60,"(159,)",ENSG00000240731;TNFRSF14-AS1;TMEM59;GBP4;STXBP3;PSMD4;S100A10;TAF5L;SLC35F5;GCA
38,1,58,"(2,)",PTGFR;ENSG00000227193;FLG;FLG2;CRNN;SPRR3;TNNT2;ENSG00000299361;ENSG00000289156;ENSG00000289463
39,1,129,"(418,)",RERE;ENSG00000310107;HPCAL4;H2BP1;ENSG00000307137;PAQR6;NTRK1;LHX4;ENSG00000299361;ENSG00000260698
39,1,97,"(161,)",MST1P2;AZIN2;MANEAL;KTI12;ATG4C;CLCA4-AS1;GNAT2;IQGAP3;TNNT2;OPN3
39,1,82,"(335,)",ENSG00000272449;TP73;PER3;RRAGC;FNBP1L;CRNN;HCN3;NEK7;CDK18;BATF3
39,1,77,"(677,)",WASH7P;ENSG00000269967;ENSG00000260920;FGGY;CACHD1;B3GALNT2;GREM2;SDC1;TTC7A;IGKV1-16
39,1,70,"(439,)",ENSG00000287586;KCNAB2;TMEM54;PSMB2;PODN;ECM1;ENSG00000287338;ENSG00000302155;ENSG00000303165;ENSG00000299074
40,1,143,"(401,)",ENSG00000291077;SFN;PIK3R3;EEF1A1P11;ENSG00000289062;ILF2;ADAMTS4;PM20D1;FCMR;ENSG00000293430
40,1,119,"(9,)",MTCO3P12;PLEKHG5;CAMK2N1;ENSG00000279179;RPL5P4;PALMD;SLC16A4;ENSG00000288803;NES;ILDR2
40,1,100,"(3,)",MMP23B;PNRC2;FOXJ3;ANGPTL3;LINC01781;SLAMF9;FMO3;RAB7B;ERO1B;EDARADD
40,1,77,"(275,)",ENSG00000269925;TRNP1;KDM4A-AS1;GBP6;DCST2;ENSG00000303159;CSRP1-AS1;ENSG00000231563;ZNF670;RNASEH1-DT
40,1,76,"(736,)",CROCC;AGO3;H3-7;GBA1;OR10Z1;ENSG00000298116;ENSG00000234132;OST4;PAIP2B;DGUOK-AS1
41,1,122,"(527,)",ENSG00000285646;COA7;PCSK9;LINC02795;GBP2;ENSG00000232450;ENSG00000289062;ENSG00000287064;ENSG00000302966;SLAMF8
41,1,91,"(461,)",SLC45A1;CLCA4-AS1;LRRC8C-DT;SARS1;MAB21L3;ENSG00000299361;TP53BP2;ENSG00000289341;TRAPPC12;IFT172
41,1,88,"(187,)",ZNF436;MED8-AS1;ENSG00000272491;IL12RB2;ELAPOR1;ADORA3;NOTCH2NLB;ENSG00000291233;H2BC18;MNDA
41,1,79,"(2,)",ENSG00000250575;VWA1;CASP9;PAQR7;BSND;PTGFR;ENSG00000307137;ENSG00000310005;FLG;CRNN
41,1,74,"(572,)",ENSG00000287356;ENSG00000284735;MRTO4;MOB3C;LINC02777;HJV;ARHGAP30;ATF6;KIF14;ELF3-AS1
42,1,66,"(70,)",TIE1;ENSG00000270361;ENSG00000272668;ENSG00000305204;ENSG00000269934;MEIS1;REG1B;PAX8;NIFK-AS1;ENSG00000226266
42,1,63,"(639,)",ENSG00000287356;ENSG00000305448;BEST4;LINC01118;AFTPH-DT;OSBPL6;COPB2-DT;ENSG00000272927;CYTL1;WDFY3-AS2
42,1,58,"(393,)",NOC2L;C1orf159;UBR4;CDC42SE1;RAB13;OR10Z1;LOXL3;RANBP2;ENSG00000289296;CARF
42,1,54,"(352,)",MTHFR;EIF3I;CDC7;ODR4;TRAPPC12;LDAH;SNX17;SLC30A6;STARD7-AS1;CHST10
42,1,52,"(645,)",MMP23B;ADPRS;ENSG00000303159;KIAA1614;RGPD8;MRPL44;PPP2R5CP;ALCAM;RAPGEF2;SETD9
43,1,110,"(160,)",LINC01134;ELOA-AS1;CPT2;ATG4C;LINC01160;PDE4DIPP6;S100A1;OR10Z1;ENSG00000288670;ENSG00000298116
43,1,104,"(2,)",ECE1-AS1;BSND;PTGFR;ENSG00000227193;ENSG00000310005;HORMAD1;KIAA0040;MR1;PTPRC;RPL13AP8
43,1,101,"(381,)",TMEM51;ENSG00000304862;SSBP3-AS1;PIGK;SPATA1;NOTCH2;NOTCH2NLB;COP1-DT;CNIH4;PFN4
43,1,94,"(222,)",LINC00339;ZFP69B;GBP6;NBPF26;TMOD4;LMNA;FCGR3A;NUF2;ENSG00000296134;C2orf81
43,1,68,"(326,)",ENSG00000292993;LINC01359;ENSG00000290074;ENSG00000287064;THBS3-AS1;TPO;INHBB;LINC03124;NEMP2;ENSG00000223374
44,1,97,"(145,)",RCC2;UBR4;NOTCH2NLB;RPRD2;POGK;LINC00862;ITPKB;TTC13;LINC00954;FOSL2
44,1,75,"(185,)",SDF4;PIK3CD;RUNX3;PUM1;PPIEL;CPT2;SLC30A7;ELAPOR1;H3C13;NHLH1
44,1,75,"(347,)",RNF207;ARHGEF10L;MEF2D;ISG20L2;ZNF496;RDH14;SEMA4F;ANKRD36C;ANKAR;SCN5A
44,1,67,"(375,)",ENSG00000310190;ZBTB40;CC2D1B;USP24;OR10Z1;ANAPC1P4;FAHD2B;ZNF142;MFN1;ENSG00000287382
44,1,66,"(710,)",ENSG00000305448;ADGRB2;PPCS;DEPDC1;MAB21L3;SHE;TNNI1;TAF1A;DNAH14;ENSG00000289341
45,1,85,"(412,)",TMEM54;TMEM59;TTC22;PCSK9;CD1A;ILDR2;PKP1;H3-3A-DT;TNNC1;ITIH1
45,1,71,"(645,)",ATAD3A;ENSG00000293791;HDAC1;PAQR6;ATAD2B;EHD3;SPTBN1;CCDC115;ILKAP;NUP210
45,1,70,"(675,)",TAS1R3;ENSG00000286989;ACADM;ENSG00000290578;ADAMTSL4-AS2;GPA33;C4BPA;ENSG00000233461;ZNF512;QPCT
45,1,70,"(136,)",PADI4;GSTM3;RHOC;FLG;AFTPH;GORASP2;DNAJC19P5;ENSG00000243273;MBNL1-AS1;TAPT1-AS1
45,1,66,"(113,)",ENSG00000266993;TTC4;ENSG00000296642;PDE4DIPP2;NOTCH2NLC;TADA1;RC3H1;IARS2;SLC4A5;FAHD2B
46,1,66,"(726,)",RCC2;MYCBP;DPH2;MAN1A2;SLAMF8;FCMR;CCT4;C2orf81;TSN;R3HDM1
46,1,63,"(354,)",LINC01128;LYSMD1;NDUFS2;HHAT;TOGARAM2;SPR;MGAT4A;TMEM182;BCL2L11;STK16
46,1,62,"(412,)",VAMP3;USP24;SRSF11;POMC;MYOSLID;PECR;PDCD1;SRGAP3;BRK1;MBNL1
46,1,61,"(96,)",CNKSR1;SNHG12;S100A12;NEK7;SMYD2;EGLN1;ADCY3;SLC5A6;ENSG00000293670;FAM168B
46,1,60,"(375,)",ISG15;RCAN3;NCDN;SCP2;METTL25B;CCDC121;GCFC2;LY75;GPD1L;TRAK1
47,1,92,"(513,)",MMP23B;FCN3;ENSG00000279179;GJA4;OTUD7B;ENSG00000285280;ARL8A;PPP1R15B;CDK18;CD34
47,1,74,"(570,)",E2F2;ANGPTL3;OLFML2B;INAVA;LGR6;TRAF3IP3;TPO;IDH1;CROCC2;ENSG00000281100
47,1,61,"(134,)",PLEKHN1;ENSG00000288398;MRPL37;SSBP3;CELF3;SNAPIN;CENPL;IL18RAP;CASP10;CRBN
47,1,60,"(730,)",ERRFI1;TMEM69;CELSR2;KHDC4;TADA1;SPRTN;ANKRD36C;AGPS;SPAG16;ENSG00000225963
47,1,58,"(5,)",CELA3B;CELA3A;CDC42-AS1;C8B;RPS27;ACYP2;SEMA4F;REG1B;REG1A;FABP1
48,1,62,"(507,)",C1orf174;SLC45A1;LINC02918;S1PR1;VANGL1;ENSG00000310005;ENSG00000291233;NES;ATP1A4;PRRC2C
48,1,60,"(410,)",ENSG00000292993;TRNP1;ATXN7L2;NFASC;RASGRP3;CDC42EP3-AS1;ENSG00000288886;IGKV3D-11;RN7SL172P;HLTF
48,1,57,"(670,)",SLC25A33;ENSG00000291138;LINC00869;SLAMF9;ENSG00000213062;GPR25;LPGAT1;ENSG00000298780;OTOF;EIF2AK3
48,1,55,"(750,)",SKI;SMPDL3B;INPP5B;CTTNBP2NL;GBA1;TMEM183A;ENSG00000230325;MAT2A;ZC3H8;SNX4
48,1,52,"(241,)",CICP27;ENSG00000310523;BAZ2B-AS1;SCN3A;SCN9A;IL5RA;GPR15;GTF2E1;CPB1;MAP3K13
49,1,69,"(374,)",ENSG00000260920;PODN;GBA1LP;FCER1A;SMG7;RAB7B;SLC30A6;RHOQ-AS1;FOXN2;TIA1
49,1,68,"(174,)",MTCO1P12;ENSG00000296888;C1orf122;CD53;CAPZA1;TAF1B;LINC01126;LOXL3;PTCD3;NUP35
49,1,67,"(349,)",C1orf174;LINC00339;RAD54L;MKNK1;KCNA3;ENSG00000307137;CRTC2;TADA1;LINC00467;MTARC1
49,1,61,"(5,)",MTHFR;CELA3A;ENSG00000269967;SIKE1;PKLR;IQGAP3;LAMC1;WDR26;CLEC4F;REG1B
49,1,58,"(244,)",ENSG00000271806;ENSG00000297367;FCGR3B;OLFML2B;SH2D1B;ZNF281;PPFIA4;ANGEL2;GCSAML;TTC7A
0,2,8,"(3, 5)",FMO3;HUS1B;ENSG00000234426;MAT1A;SAA4;TTR;ENSG00000269480;HAO1
0,2,6,"(247, 569)",MED8;BCL2L15;DZIP1L;PIWIL4;DUT;SNRPD1
0,2,6,"(121, 247)",NIT2;C4orf46;NEIL3;TM7SF3;MSRB3;ATP8B4
0,2,5,"(1, 3)",EFHD2;ADH4;ADH6;CYP2C9;CTXN2-AS1
0,2,5,"(3, 9)",ANGPTL3;ADH1A;ENSG00000284858;CPB2;LINC00469
1,2,11,"(331, 353)",ECHDC2;FABP1;NIT2;BDH1;ALDOB;MGMT;FUOM;NUDT8;APOC3;ZNF575
1,2,10,"(2, 4)",ENSG00000299361;NMRAL2P;ENSG00000293809;ENSG00000307670;ENSG00000289274;TAS2R40;ENSG00000287713;CLEC6A;TBC1D3D;TGFB1
1,2,9,"(353, 587)",AKR7A3;ADI1;HGD;BPHL;ECHS1;MMAB;HPD;CRYL1;SHF
1,2,9,"(0, 2)",MINDY4B;ENSG00000301400;POM121L14P;ENSG00000226816;CYP19A1;ABCC11;ENSG00000267780;RLN3;UMODL1-AS1
1,2,7,"(546, 587)",AGMAT;CAMK2N1;TCEA3;DNPH1;GLYATL1;PEBP1;ATP5PD
2,2,6,"(3, 5)",APCS;CRP;PGC;A1CF;LIPF;SAA4
2,2,6,"(2, 4)",ENSG00000299361;NMRAL2P;ENSG00000251584;ENSG00000287713;TBC1D3D;XKR3
2,2,5,"(227, 234)",MAGI3;ENSG00000280173;RENO1;ZNF382;ENSG00000269564
2,2,5,"(160, 326)",ENSG00000289456;LAMC3;ENSG00000293817;ZC3H12C;CICP25
2,2,4,"(160, 381)",ENSG00000293219;LINC01736;B3GALT9;NAA20
3,2,12,"(408, 686)",CTBS;LBR;RBMS1;SLMAP;CHMP2B;ATP11B;LMNB1;TMEM71;ZNF33A;RTF1
3,2,12,"(22, 634)",RFTN2;HSP90AB1;HSPB1;STIP1;FBXL14;FKBP4;AHSA1;LRRC57;KCTD11;ENGASE
3,2,8,"(339, 408)",ADAM17;PIK3CA;TMEM128;DCP2;ZNF138;ERLIN2;PDE3B;RPS6KA3
3,2,8,"(383, 658)",MARCHF6;RASA1;ST8SIA4;TCP11L2;SPATA13;ATG2B;MTMR4;MED14
3,2,7,"(328, 686)",ZRANB2;ZBTB37;CMTM6;PLAGL1;TMEM65;DENND5A;SLC16A6
4,2,4,"(269, 428)",LINC01359;CUL9;ZNF467;PRADX
4,2,3,"(77, 110)",ENSG00000284735;MIOS;TRDC
4,2,3,"(415, 519)",FBLIM1;KATNAL1;AP1M2
4,2,3,"(176, 671)",MTF2;AP4E1;NFAT5
4,2,3,"(135, 666)",CCDC18-AS1;SH2D2A;ENSG00000269463
5,2,14,"(5, 11)",CELA3B;CELA3A;C8B;REG1A;FABP1;CXCL9;FGG;CLPS;CPA1;PNLIP
5,2,13,"(3, 5)",APCS;CRP;FMO3;HRG;PGC;FGL1;ENSG00000261026;A1CF;MAT1A;LIPF
5,2,8,"(1, 3)",HMGCS2;KNG1;GC;ADH4;BHMT;CYP2C9;GLYAT;CTXN2-AS1
5,2,7,"(544, 749)",ENSG00000301742;IGHV2-70D;TTC23;ENSG00000267506;ENSG00000308413;ZNF772;PRR34
5,2,6,"(2, 9)",ZNG1B;ENSG00000289382;CELF1;ENSG00000261136;ENSG00000267731;ENSG00000280091
6,2,9,"(2, 4)",ENSG00000227193;ENSG00000299361;NMRAL2P;ENSG00000293809;ENSG00000251584;ENSG00000307670;ENSG00000289274;ENSG00000283384;TBC1D3D
6,2,8,"(0, 2)",MINDY4B;ENSG00000285888;POM121L14P;NR2E1;ENSG00000226816;ENSG00000302909;ENSG00000267780;UMODL1-AS1
6,2,7,"(43, 512)",NHLH1;ENSG00000296430;LRRN3;ENSG00000259326;ENSG00000286872;LINC01727;TBC1D8B
6,2,6,"(173, 210)",TMEM167B-DT;INHBB;OTULIN-DT;ENSG00000309059;ZNF232-AS1;GK4P
6,2,6,"(173, 276)",ENSG00000301450;ENSG00000300695;ENSG00000285618;MIR3142HG;LINC00222;SPTLC2
7,2,24,"(3, 5)",APCS;CRP;SLAMF9;FMO3;ENSG00000298780;AHSG;HRG;FGB;FGA;HUS1B
7,2,16,"(5, 11)",CELA3A;REG1A;FABP1;CXCL9;FGG;ENSG00000300652;CLPS;SFTPA2;PNLIP;PLA2G1B
7,2,8,"(1, 3)",HMGCS2;KNG1;GC;ADH6;BHMT;CYP2C9;GLYAT;CLEC4C
7,2,7,"(3, 11)",ENSG00000285639;ENSG00000261655;LINGO2;KRT81;SDS;SULT2A1;ENSG00000297167
7,2,7,"(156, 610)",SUMO4;TRBV15;ENSG00000287277;ENSG00000309149;SOAT2;TRAV24;MAMLD1
8,2,6,"(3, 5)",APCS;ENSG00000298780;HRG;H2BC14;ENSG00000234426;HAO1
8,2,6,"(345, 588)",ALDH1L1;FAM201A;C8G;BRMS1L;ENSG00000300655;LINC00630
8,2,6,"(438, 522)",CXCL10;ENSG00000294584;TRDN;ENSG00000307669;ENSG00000289521;ENSG00000289955
8,2,5,"(9, 11)",IGKV6D-21;HSPA4L;POSTN;CCL18;LINC02086
8,2,5,"(178, 409)",GPAT2;ACTRT3;IL6;RCCD1-AS1;ENSG00000286000
9,2,12,"(2, 9)",ENSG00000289463;TRDN;ENSG00000305497;ENSG00000289382;ENSG00000287935;DNAI7;MYBPC1;ENSG00000294759;ENSG00000257275;GLDN
9,2,11,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;ENSG00000285888;POM121L14P;NR2E1;ENSG00000226816;ENSG00000302909;HRK;ABCC11
9,2,10,"(2, 4)",ENSG00000227193;ENSG00000299361;ENSG00000293809;ENSG00000306991;TAS2R40;ENSG00000283384;ENSG00000285667;FAM169BP;SPATA41;XKR3
9,2,7,"(2, 14)",ENSG00000289156;KCNH7;SPINK8;ENSG00000297825;ENSG00000301756;ENSG00000235081;ENSG00000289564
9,2,6,"(2, 3)",KLHL41;MYL1;LCN8;ANKRD1;MYH1;MYH2
10,2,61,"(383, 749)",RLF;USP33;MFSD14A;PRPF38B;PUM2;SESTD1;SF3B1;PIKFYVE;WDFY1;SETD5
10,2,44,"(444, 749)",PUM1;ZMYM6;ZMYM4;ANKRD13C;ASH1L;GMCL1;PMS1;UBP1;WDR48;CCDC14
10,2,40,"(658, 749)",LYST;ENSG00000259865;PELI1;KDM3A;MARCHF7;SP3;NKTR;SLC25A36;SLC30A5;ZFYVE16
10,2,36,"(383, 658)",CDC14A;ARID4B;CEP170;GLS;CLK1;EAF1;NFKBIZ;DLG1;USP53;FBXW7
10,2,34,"(444, 644)",TRIT1;CLIP4;ZNF621;BRIX1;UTP15;TCERG1;RIOK1;IBTK;PAXIP1-AS2;IARS1
11,2,19,"(3, 5)",APCS;SLAMF9;FMO3;ENSG00000298780;AHSG;HRG;FGB;FGA;H2BC14;ENSG00000261026
11,2,18,"(5, 11)",UTS2;CELA3B;CELA3A;REG1A;FABP1;CPB1;FGG;CLPS;CPA1;PNLIP
11,2,6,"(3, 12)",ENSG00000269967;ENSG00000282917;H2BC17;TRGV9;THBS1-IT1;ENSG00000279570
11,2,6,"(137, 390)",ENSG00000295530;TRBV23-1;ENSG00000261655;EGR2;ENSG00000259118;ENSG00000289340
11,2,5,"(3, 9)",ENSG00000230747;ADH1A;PPP1R9A;ENSG00000284858;SERPIND1
12,2,20,"(3, 5)",APCS;CRP;ENSG00000298780;AHSG;HRG;FGB;FGA;HUS1B;ENSG00000304009;H2BC14
12,2,11,"(382, 586)",ENSG00000287839;BPNT1;TRMT10C;RABL3;ZCCHC4;FAM135A;ASF1A;GGH;RLIG1;ERCC4
12,2,6,"(283, 586)",PIP5K1A;PTCD2;CHMP7;UQCC4;ZNF30;ZNF132
12,2,6,"(129, 272)",PRELP;STON1;SCX;THBS1-IT1;ENSG00000279415;NETO1
12,2,6,"(283, 307)",UTP25;DDX18;HMGN4;GPALPP1;C19orf12;ZNF583
13,2,22,"(3, 5)",APCS;CRP;SLAMF9;FMO3;AHSG;FGB;FGA;HUS1B;ENSG00000304009;H2BC14
13,2,17,"(5, 11)",CELA3B;CELA3A;C8B;PKLR;REG1A;FABP1;CPB1;FGG;CLPS;CPA1
13,2,8,"(1, 3)",HMGCS2;KNG1;GC;ADH4;ADH6;BHMT;CYP2C9;GLYAT
13,2,5,"(200, 405)",FCN3;ENSG00000309937;ENSG00000299400;KRTAP5-1;MDM1
13,2,4,"(405, 417)",IGKV3D-15;ATP2C2-AS1;TBC1D3D;ENSG00000294365
14,2,12,"(5, 11)",CELA3B;CELA3A;C8B;REG1A;CLPS;CPA1;PNLIP;IGHV7-4-1;GP2;MT1H
14,2,6,"(3, 5)",APCS;CRP;A1CF;LIPF;SAA4;TAT
14,2,4,"(77, 251)",LINC02610;PDCD6IP-DT;CPA2;ENSG00000302909
14,2,3,"(70, 745)",LINC01134;CICP25;ENSG00000289548
14,2,3,"(333, 413)",GPR157;UTP3;IGLJ3
15,2,21,"(3, 5)",APCS;CRP;FMO3;ENSG00000298780;AHSG;HRG;FGB;FGA;HUS1B;ENSG00000304009
15,2,18,"(5, 11)",CELA3B;CELA3A;C8B;REG1A;FABP1;CPB1;FGG;CLPS;CPA1;SFTPA2
15,2,7,"(1, 3)",KNG1;GC;ADH4;ADH6;BHMT;CYP2C9;GLYAT
15,2,5,"(1, 5)",FCN3;GSTA2;GSTA1;GLYATL1;ENSG00000276980
15,2,5,"(3, 6)",LINC00278;UTY;TTTY14;BCORP1;ENSG00000260197
16,2,13,"(5, 11)",CELA3B;CELA3A;REG1A;FABP1;CPB1;CLPS;CPA1;SFTPA2;PNLIP;PLA2G1B
16,2,13,"(3, 5)",APCS;CRP;HRG;FGA;FGL1;AMBP;A1CF;MAT1A;LIPF;APOC3
16,2,8,"(286, 433)",POGZ;CEP170;ENSG00000272402;ENSG00000294584;ENSG00000279500;CPB2-AS1;ADNP-AS1;UFD1
16,2,8,"(433, 630)",RBM5;EOGT-DT;TAGAP-AS1;ENSG00000272072;TP53INP1;ADPGK;ENSG00000276523;UTY
16,2,5,"(99, 286)",IARS2;SF3B1;VPS13B;PAN3;ENSG00000279133
17,2,17,"(3, 5)",MMP23B;CRP;SLAMF9;FMO3;ENSG00000298780;ENSG00000279862;HRG;HUS1B;ENSG00000304009;ENSG00000234426
17,2,7,"(3, 9)",ANGPTL3;ENSG00000235151;ADH1A;ADH1C;BAAT;CPB2;SERPIND1
17,2,5,"(470, 619)",ZNF678;KNG1;ATP13A4;GSTA1;LINC01993
17,2,4,"(11, 12)",CD5L;ENSG00000287535;COL13A1;IFNG
17,2,4,"(112, 155)",TOR1AIP2;LDLRAD3;FAM117A;BABAM1
18,2,15,"(3, 5)",APCS;CRP;AHSG;HRG;FGB;FGA;PGC;FGL1;LINC01300;AMBP
18,2,13,"(5, 11)",CELA3B;CELA3A;C8B;REG1A;FABP1;FGG;CLPS;PNLIP;PLA2G1B;GP2
18,2,6,"(0, 2)",MINDY4B;ENSG00000301400;ENSG00000249261;POM121L14P;CYP19A1;ENSG00000267780
18,2,5,"(540, 641)",CD1A;EML6;ENSG00000274256;MSLN;TEAD2
18,2,5,"(2, 4)",NMRAL2P;ENSG00000306991;TAS2R40;ENSG00000287713;TBC1D3D
19,2,10,"(3, 11)",ENSG00000285639;TRBV10-2;ENSG00000261655;LINGO2;KRTAP5-1;TRAV24;RAMP2;ENSG00000305678;SULT2A1;ENSG00000297167
19,2,8,"(3, 5)",SLAMF9;FMO3;HUS1B;ENSG00000304009;H2BC14;A1CF;ENSG00000269480;HAO1
19,2,7,"(5, 11)",C8B;PKLR;ENSG00000305207;MT1H;ENSG00000267506;LIM2;LBP
19,2,6,"(3, 9)",ENSG00000230747;ENSG00000235151;ADH1A;ENSG00000307919;BAAT;LINC00469
19,2,5,"(608, 640)",ENSG00000240731;PTGFR;ENSG00000287201;ENSG00000290537;ENSG00000267731
20,2,26,"(120, 682)",PM20D1;CLIP4;ANKRD36B;CAPN7;NKTR;TBC1D19;SLC9B2;MAN2A1;KIF3A;BTN3A1
20,2,22,"(87, 682)",ZBTB40;SRSF11;LINC00869;IFT172;CHROMR;ITGAV;GPX1;RASSF1-AS1;SLC4A4;NR3C2
20,2,21,"(120, 307)",RFX5;KLHL20;CSRP1-AS1;IPO9;WDPCP;DIS3L2;NUP54;CYP4V2;BCLAF1;SUMF2
20,2,21,"(120, 162)",ITGA4;DLG1;RUFY3;ZNRF2;CCM2;PSIP1;EBLN3P;STX17;TIMM23B;NUP160
20,2,20,"(307, 682)",CCNL2;SLC35D1;RASSF5;GCFC2;MGAT4A;SUCLG2;NUP155;VPS52;ABCC10;ADAT2
21,2,45,"(220, 565)",KLHL17;TNFRSF25;LCK;MMACHC;CD2;SLAMF6;FCMR;CD8A;ENSG00000290104;SATB1-AS1
21,2,25,"(220, 272)",CHRM3-AS2;PASK;SIDT1;CAMK4;USP45;PVRIG;TRBV5-1;TRBV9;TRBC2;EEIG1
21,2,17,"(238, 565)",IL12RB2;HLA-H;RRS1;DDX31;DPH7;SNHG1;SLC29A2;TOP6BL;ITFG2-AS1;RHNO1
21,2,16,"(272, 565)",THEM4;ATP8B2;CD8B;IL7R;CARD11;TTC16;CD6;TRAC;TMIGD2;PBX4
21,2,15,"(99, 565)",CTDSPL;CCNA2;CENPH;PTK7;SRF;SH3BGRL2;GNG11;GIMAP7;TMEM106C;TIMM9
22,2,18,"(3, 5)",APCS;FMO3;AHSG;HRG;FGB;FGA;HUS1B;ENSG00000304009;AMBP;A1CF
22,2,15,"(5, 11)",CELA3B;CELA3A;C8B;REG1A;FABP1;FGG;CLPS;CPA1;SFTPA2;PNLIP
22,2,8,"(1, 3)",HMGCS2;KNG1;GC;ADH4;ADH6;CYP2C9;GLYAT;CTXN2-AS1
22,2,4,"(25, 738)",ENSG00000233478;ENSG00000298780;POM121L14P;ENSG00000275993
22,2,4,"(238, 279)",ENSG00000283849;CCL24;CCL18;SREBF2-AS1
23,2,18,"(3, 5)",APCS;CRP;SLAMF9;AHSG;HRG;FGB;FGA;HUS1B;ENSG00000304009;H2BC14
23,2,6,"(3, 9)",ANGPTL3;ENSG00000235151;ADH1A;BAAT;ENSG00000287277;SERPIND1
23,2,6,"(2, 4)",ENSG00000298116;ENSG00000293809;ENSG00000251584;ENSG00000287713;CLEC6A;TBC1D3D
23,2,6,"(3, 11)",TRBV10-2;ENSG00000261655;LINGO2;KRT81;TRAV24;ENSG00000297167
23,2,5,"(105, 702)",GNL2;MYCL;NCBP2AS2;ENSG00000300010;ADAMTS7P1
24,2,9,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;POM121L14P;NR2E1;ENSG00000226816;CYP19A1;ENSG00000267780;RLN3
24,2,7,"(2, 4)",ENSG00000298116;ENSG00000251584;LINC02217;ENSG00000306991;TAS2R40;TBC1D3D;XKR3
24,2,6,"(2, 3)",ENSG00000310005;MYL1;HLA-V;ANKRD1;MYH1;MYH2
24,2,4,"(185, 347)",PABPC4;GTF3C1;METTL16;RRP1B
24,2,4,"(3, 5)",CRP;ENSG00000234426;FGL1;LIPF
25,2,13,"(3, 5)",APCS;SLAMF9;FMO3;HRG;ENSG00000304009;H2BC14;ENSG00000234426;FGL1;ENSG00000261026;A1CF
25,2,8,"(5, 11)",CELA3B;CXCL9;ENSG00000305207;PLA2G1B;MT1H;CTRB2;LIM2;LBP
