n_train,holdout,set_size,genes_first10
100,36,10,SPC25;NCAPG;CCNA2;CDC25C;HMMR;TTK;PBK;CDK1;CDKN3;SKA1
100,36,9,CDC20;UROD;UBE2T;EXO1;CCNB1;CENPW;E2F8;CCNB2;TUBG1
100,37,28,PRKACB;SUCO;ATF2;CAPN7;CPOX;DLG1;FYTTD1;CNOT6L;OTUD4;PIK3R1
100,37,27,PDIK1L;ZNF644;MTF2;VAMP4;SATB1;EOGT;USP53;TMED7;CCNG1;CCNC
100,37,25,TMED5;UHMK1;STT3B;GOLGA4;EIF4E;DNAJB14;CDKN2AIP;CSNK1G3;CNOT6;TRAM1
100,38,8,HSPB7;ACTN2;TNNC1;FLNC;NRAP;MYL2;MYH7;SRL
100,38,4,ACTA1;MYL1;MYOZ1;CKM
100,38,3,MYL3;LDB3;MB
100,39,13,TNNI1;ACTA1;ACTN2;DES;FLNC;LDB3;MYBPC1;MYL2;MYL11;TCAP
100,39,13,MYL1;MYOZ1;TNNT3;ACTN3;SLN;ATP2A1;ENO3;MYH1;MYH2;CKM
100,39,3,HSPB7;TNNC1;MYH7
100,40,3,KRTCAP2;RCE1;MVD
100,40,3,ILKAP;CPSF4;RRP1
100,40,3,SUMF2;PARP12;PDHA1
100,41,4,RPS12P3;NKTR;PHC3;TAB2
100,41,4,SYTL2;RALGAPA1;ENSG00000214999;TRAPPC10
100,41,3,REV1;QRICH1;DNMT1
100,42,7,HSPB7;ACTN2;TNNC1;FLNC;NRAP;MYL2;MYH7
100,42,4,MYOZ1;MYL11;CKM;TNNC2
100,42,3,ERO1B;NBEAL1;YTHDC1
100,43,3,MMP23B;UBE2D1;OMG
100,43,3,SAMD3;RNF141;ACER3
100,43,3,GRB10;CCPG1;MEF2A
100,44,8,WDR82;ABL1;KDM2B;ABCC1;PRPF8;PTBP1;NOL4L;PHF20
100,44,7,KPNA6;KANSL3;ITPR3;DENND11;HERC2;TRPV3;AKAP8
