gene,mean_train,min_train,max_train,obs_range,union_width,clipped_union_width,cov_observed,cov_zero_to_max,band_to_mean,n_intervals,frac_holdouts_outside
WASH7P,220.60957819103373,14.37750353515625,1078.0549017772364,1063.6773982420802,1382.0727032205798,1063.6773982420802,1.0,1.2820058616144245,0.6213906308340575,1,0.0
ENSG00000241860,59.180929236742195,0.0,553.7555832534731,553.7555832534731,710.0639197895682,548.7488871259436,0.9909586534584198,1.2822695450179278,0.7641710302903731,2,0.0
CICP27,114.44665138431635,0.0,718.9539279502535,718.9539279502535,925.5195106021004,718.9539279502535,1.0,1.287314074826419,0.6733521584486633,1,0.020000000000000018
ENSG00000308579,1978.370093289939,170.97285528337227,7482.332785270874,7311.359929987502,9465.214561022209,7311.359929987502,1.0,1.265008498372951,0.5671749867217545,1,0.0
ENSG00000268903,168.17677838212867,0.0,1513.042234589883,1513.042234589883,1941.00378043583,1513.042234589883,1.0,1.2828483806084554,0.639326196925989,1,0.0
ENSG00000269981,1805.0898328618302,199.02993922731028,8146.753298395458,7947.723359168148,10299.772483946896,7947.723359168148,1.0,1.2642794137359585,0.5678589831861266,1,0.0
WASH9P,235.26848757460587,20.539290764508927,731.4736150855277,710.9343243210188,937.9604826266191,710.9343243210188,1.0,1.2822888799850256,0.6177438044188425,1,0.0
ENSG00000292994,69.48563173527506,1.0200345217918811,538.6794069352441,537.6593724134522,697.6889769111981,537.6593724134522,1.0,1.2951840518289368,0.7374709699048282,1,0.0
ENSG00000290385,539.7610180363979,45.781642621232436,2879.716420325297,2833.9347777040643,3671.46092719564,2833.9347777040643,1.0,1.2749383589585903,0.5858692245717998,1,0.0
ENSG00000250575,21.679642401339315,0.0,742.1372767106461,742.1372767106461,957.7482805067098,742.1372767106461,1.0,1.2905271175054165,1.0254850331749648,1,0.0
LINC00115,448.09559768754826,54.278076751673765,3148.541730372187,3094.263653620513,4008.57171235901,3094.263653620513,1.0,1.2731518447701053,0.5910217139420869,1,0.0
MTND1P23,449.2940020291255,0.0,11558.749083387529,11558.749083387529,14245.257663655419,11002.282139763469,0.9518575116035847,1.2324220865845246,0.5909411356177349,2,0.020000000000000018
MTND2P28,2097.694352331335,28.381047959788095,20323.525967257938,20295.14491929815,25994.88932868798,20284.472221212895,0.9994741255542794,1.2790541055999263,0.5667692846080253,2,0.0
MTCO1P12,894.2955847374066,57.59680738323771,27033.97148043506,26976.37467305182,34575.600473775165,26976.37467305182,1.0,1.278968593230858,0.5757527041470124,1,0.0
MTCO2P12,83.29902080292999,5.362911348665332,3982.5154653990353,3977.15255405037,4744.508665102657,3620.027933897316,0.910205953807491,1.191334649249698,0.7111111647519139,2,0.020000000000000018
MTATP6P1,9795.504498278695,127.36088703389679,122809.37092593707,122682.01003890317,117379.25113679658,82934.9025143765,0.6760151915352329,0.9557841576078486,0.5614565008468314,4,0.0
MTCO3P12,108.61670346407685,8.938185581108886,4122.979359012721,4114.041173431612,5210.316000204273,4041.479372634336,0.9823624028690139,1.263725948279286,0.6789013133092239,2,0.0
LINC01128,305.2571113172898,43.214758587714925,1918.492023746844,1875.2772651591292,2439.0582550325635,1875.2772651591292,1.0,1.2713413581303536,0.6049915960767701,1,0.0
NOC2L,1330.1409205364987,263.6281812526922,4615.173827244663,4351.545645991971,5737.282217620497,4351.545645991971,1.0,1.243134588723769,0.5706389407260068,1,0.0
KLHL17,354.505685665531,40.63766423643653,2136.7222991055296,2096.084634869093,2719.71231627663,2096.084634869093,1.0,1.2728431380227325,0.5989434594895106,1,0.0
PLEKHN1,45.31290389451552,2.322586590085409,426.33770434858127,424.0151177584959,527.614691986262,399.592027658327,0.9424004261232983,1.2375510929591036,0.816517177347958,2,0.0
HES4,127.75328411866079,0.0,6346.965068297197,6346.965068297197,8130.126566442124,6346.965068297197,1.0,1.2809471107776753,0.6624510538645287,1,0.0
ISG15,1625.611344684449,29.715057913789288,27903.592490156716,27873.877432242927,35702.186136292,27873.877432242927,1.0,1.2794834983662524,0.5687200110747488,1,0.0
AGRN,181.00022717639789,11.135453044609191,1599.005738488573,1587.8702854439637,2048.03669215015,1587.8702854439637,1.0,1.280818850647787,0.6340328691051521,1,0.0
C1orf159,450.83289791836194,56.90337145709252,1836.8622144546919,1779.9588429975993,2320.1527678106604,1779.9588429975993,1.0,1.2631065898970777,0.5908382756030031,1,0.0
TNFRSF18,469.3685550704047,7.811341695744899,3567.9450046915995,3560.1336629958546,4573.838398577647,3560.1336629958546,1.0,1.2819251396990055,0.5896510416219055,1,0.0
TNFRSF4,413.4548674768872,5.421618640626474,2590.0227823660875,2584.601163725461,3321.308726784039,2584.601163725461,1.0,1.2823473018835352,0.5935472169889435,1,0.0
SDF4,3043.909402024046,820.9559108690656,7235.459369217023,6414.503458347957,8691.856800503285,6414.503458347957,1.0,1.201286104581341,0.564673709528143,1,0.0
B3GALT6,379.02570794789386,19.86565134690735,1260.555434630107,1240.6897832831996,1611.961285288787,1240.6897832831996,1.0,1.2787706442769773,0.5965010439685442,1,0.0
C1QTNF12,30.348379997231515,0.0,206.9966394640425,206.9966394640425,272.1327153088209,206.9966394640425,1.0,1.3146721416030196,0.9169574732160279,1,0.0
UBE2J2,1683.938988384527,385.5863054142708,3459.7096062043183,3074.1233007900473,4169.597483396606,3074.1233007900473,1.0,1.2051871278211446,0.568420207144876,1,0.0
LINC01786,30.445720165840946,0.0,178.91110574890735,178.91110574890735,234.24104778243085,178.91110574890735,1.0,1.3092594045624886,0.9160378944281086,1,0.0
SCNN1D,209.0865954049534,18.373477589222638,1274.8437517026834,1256.4702741134608,1630.5584941118007,1256.4702741134608,1.0,1.2790261488390433,0.6245985253408007,1,0.0
ACAP3,2182.2285743740813,454.2710323573083,12844.458687057791,12390.187654700483,14464.18852513299,10724.63103852002,0.8655745447448007,1.12610339427595,0.5665085649994719,2,0.0
PUSL1,289.0740008357462,34.81073700238714,787.4062698010016,752.5955327986145,994.5734753564127,752.5955327986145,1.0,1.2631007822782103,0.6074118447912752,1,0.0
INTS11,3282.578280026552,918.2041317158145,8242.010193513128,7323.806061797313,9911.739432380327,7323.806061797313,1.0,1.202587621182677,0.5643351994589778,1,0.0
ENSG00000240731,38.15337697497542,0.0,194.64601986107,194.64601986107,255.08604378370347,194.64601986107,1.0,1.3105125086337392,0.8561308285483035,1,0.0
CPTP,1025.4940360170635,178.69182965122766,3689.817849440455,3511.1260197892275,4616.202400599494,3511.1260197892275,1.0,1.251065117292855,0.5737614800878821,1,0.0
TAS1R3,100.97103344151145,2.9893308019008193,473.64076231630565,470.65143151440486,613.907477367097,470.65143151440486,1.0,1.2961457843383817,0.6870671640404713,1,0.0
DVL1,1047.4663362445758,203.25531531696112,3550.9746866546548,3347.7193713376937,4418.057090246061,3347.7193713376937,1.0,1.2441815220058012,0.5734762016875407,1,0.0
MXRA8,94.76842788338779,9.650725971994632,684.0096640891473,674.3589381171528,884.7389769400787,674.3589381171528,1.0,1.2934597614468357,0.6945736816080696,1,0.0
AURKAIP1,2609.8965015434624,751.7380419810268,7930.126143468731,7178.388101487704,9627.301120055665,7178.388101487704,1.0,1.2140161386946828,0.5654471781714814,1,0.0
CCNL2,4348.799030752239,883.4562715261974,20243.18606555128,19359.729794025083,25295.428415336388,19359.729794025083,1.0,1.249577429828733,0.563275400390085,1,0.0
MRPL20-AS1,447.86805269275607,55.395069052758465,1327.1667251557112,1271.7716561029526,1673.2762675990082,1271.7716561029526,1.0,1.260788291239512,0.5910370610814417,1,0.0
MRPL20,957.304441729853,217.71648210379465,2458.408926760527,2240.6924446567323,3009.15897378653,2240.6924446567323,1.0,1.2240270286325932,0.5747291504055048,1,0.0
MRPL20-DT,53.94507954584258,0.0,507.45982046558487,507.45982046558487,657.4903906291496,507.45982046558487,1.0,1.2956501463030403,0.7811516817436477,1,0.0
VWA1,21.85797858794588,0.0,194.3909717716555,194.3909717716555,259.9668090761834,194.3909717716555,1.0,1.3373399325435629,1.0225449403683589,1,0.0
ATAD3C,22.192676354601982,0.0,323.4988443956263,323.4988443956263,421.47859305136313,323.4988443956263,1.0,1.3028751117760144,1.0171325186909392,1,0.0
ATAD3B,737.09498549659,96.96799013606582,2658.9458208130786,2561.9778306770127,3343.8367113724767,2561.9778306770127,1.0,1.257579859355677,0.5790568504433026,1,0.0
ATAD3A,476.96823895449796,56.60246090075088,2010.3701154890452,1953.7676545882944,2548.645682229658,1953.7676545882944,1.0,1.267749486820078,0.5891903007917586,1,0.0
TMEM240,18.630340707172206,0.0,109.76982319968374,109.76982319968374,146.8509542722185,109.76982319968374,1.0,1.3378080604637577,1.0827807433937298,1,0.0
SSU72,5101.435541105887,1024.4986986878423,10835.594813125716,9811.096114437873,13154.877099630397,9811.096114437873,1.0,1.2140429137951168,0.5627933653484086,1,0.0
