k,mean_uncov,median_uncov,p75_uncov,p95_uncov,mean_holdout_inside,median_holdout_inside,n_tight_unc05_and_all_in,n_tight_unc05_total,n_tight_unc07_and_all_in,n_tight_unc07_total,n_tight_unc09_and_all_in,n_tight_unc09_total,n_genes
2.0,0.02908974615019491,0.009932874052130058,0.03379246506756722,0.10417105301167763,0.9985912564964843,1.0,42,42,1,1,0,0,16355
1.5,0.04307436721691361,0.017070863131405267,0.04686201675001922,0.18896205784359904,0.9982830938550902,1.0,96,103,13,13,0,0,16355
1.0,0.07049050864522273,0.0315507868506647,0.07670869977073486,0.3108853696998332,0.9973806175481505,1.0,200,230,31,35,0,0,16355
0.75,0.09564925333538883,0.04834283855374255,0.1142828304831815,0.3845078701196161,0.9882017731580557,1.0,193,382,33,69,0,0,16355
0.5,0.1377108967079259,0.08180856842521766,0.1860389653999095,0.4727104881005312,0.986871293182513,1.0,314,688,60,136,2,4,16355
0.25,0.2219517710475483,0.16888094276555532,0.30357632276953583,0.5961597964299571,0.9828517273005197,1.0,540,1439,107,378,6,19,16355
0.1,0.34441913066429475,0.3033681535322036,0.4469373771196071,0.7231304035521963,0.969303576887802,0.98,542,3110,108,973,6,93,16355
