gene,mean_train,max_train,uncovered_fraction,covered_within_total,n_clipped_intervals,holdout_inside_rate,holdout_above_rate,tight_and_holdout_all_in
WASH7P,220.60957819103373,1078.0549017772364,0.002585692300915876,1075.2673835177463,1,1.0,0.0,False
ENSG00000241860,59.180929236742195,553.7555832534731,0.009041346541580175,548.7488871259436,2,1.0,0.0,False
CICP27,114.44665138431635,718.9539279502535,0.0,718.9539279502535,1,0.98,0.02,False
ENSG00000308579,1978.370093289939,7482.332785270874,0.015663723728390533,7365.131591678512,1,1.0,0.0,False
ENSG00000268903,168.17677838212867,1513.042234589883,0.0,1513.042234589883,1,1.0,0.0,False
ENSG00000269981,1805.0898328618302,8146.753298395458,0.01686021066670851,8009.397321534808,1,1.0,0.0,False
WASH9P,235.26848757460587,731.4736150855277,0.008657850534497746,725.1406258561885,1,1.0,0.0,False
ENSG00000292994,69.48563173527506,538.6794069352441,0.0,538.6794069352441,1,1.0,0.0,False
ENSG00000290385,539.7610180363979,2879.716420325297,0.007352513957419871,2858.543265151444,1,0.98,0.02,False
ENSG00000250575,21.679642401339315,742.1372767106461,0.0,742.1372767106461,1,1.0,0.0,False
LINC00115,448.09559768754826,3148.541730372187,0.008705028160012507,3121.1335859463225,1,1.0,0.0,False
MTND1P23,449.2940020291255,11558.749083387529,0.04814248839641533,11002.282139763469,2,0.96,0.02,False
MTND2P28,2097.694352331335,20323.525967257938,0.0012917997065120534,20297.272042378143,2,1.0,0.0,False
MTCO1P12,894.2955847374066,27033.97148043506,0.0014010481879658254,26996.095583678874,1,1.0,0.0,False
MTCO2P12,83.29902080292999,3982.5154653990353,0.08967312826675278,3625.390845245981,2,0.98,0.02,False
MTATP6P1,9795.504498278695,122809.37092593707,0.32430290713584586,82981.93491113125,4,1.0,0.0,False
MTCO3P12,108.61670346407685,4122.979359012721,0.017735439517535978,4049.8565079589016,2,1.0,0.0,False
LINC01128,305.2571113172898,1918.492023746844,0.013466553458727604,1892.6565483489146,1,1.0,0.0,False
NOC2L,1330.1409205364987,4615.173827244663,0.038268799405269616,4438.5566658293865,1,1.0,0.0,False
KLHL17,354.505685665531,2136.7222991055296,0.010072683964540419,2115.1997706666534,1,1.0,0.0,False
PLEKHN1,45.31290389451552,426.33770434858127,0.057285785073797,401.9146142484124,2,1.0,0.0,False
HES4,127.75328411866079,6346.965068297197,0.0,6346.965068297197,1,1.0,0.0,False
ISG15,1625.611344684449,27903.592490156716,0.0006389077663362386,27885.764668206073,1,0.98,0.02,False
