gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
WASH7P,34.54,686.5965284423329,0.9580191667109549,True
ENSG00000241860,31.26,690.4230057003426,0.9577852029532044,True
CICP27,20.26,723.2863760106014,0.955775825373855,True
ENSG00000308579,24.2,716.5304144261737,0.95618890770858,True
ENSG00000268903,22.76,727.018379835352,0.9555476380412502,True
ENSG00000269981,25.5,708.6622483128767,0.9566699939888184,True
WASH9P,33.1,656.7670633440673,0.9598430410673148,True
ENSG00000292994,26.1,727.9901567759557,0.9554882203133014,True
ENSG00000290385,21.86,692.3349419571359,0.9576683007057697,True
ENSG00000250575,35.0,648.1097148129667,0.960372380628984,True
LINC00115,32.98,682.7441780663162,0.9582547124386233,True
MTND1P23,29.3,645.4344586486401,0.9605359548365247,True
MTND2P28,23.82,708.2716257636063,0.956693877972265,True
MTCO1P12,22.6,665.103446093262,0.95933332643881,True
MTCO2P12,32.86,661.8662295284275,0.9595312608053544,True
MTATP6P1,23.84,722.4529224456174,0.9558267855429154,True
MTCO3P12,26.6,697.3793021405743,0.9573598714680175,True
LINC01128,26.68,776.3628352567,0.9525305511918862,True
NOC2L,26.8,835.8382873407802,0.9488940209513433,True
KLHL17,23.16,836.3114777174904,0.9488650884917462,True
PLEKHN1,34.14,726.3188400937095,0.9555904102663584,True
HES4,15.24,730.705606038122,0.9553221885638568,True
ISG15,16.24,676.9024038951029,0.9586118982638274,True
AGRN,19.88,765.3512398229385,0.953203837369432,True
C1orf159,23.7,811.4693588694422,0.9503840196350081,True
TNFRSF18,12.62,777.3140509085342,0.9524723906506551,True
TNFRSF4,13.66,776.8477899769684,0.952500899420546,True
SDF4,53.6,739.4042899197921,0.9547903216190895,True
B3GALT6,23.94,780.5647714810219,0.9522736306034227,True
C1QTNF12,44.5,686.5703723872509,0.9580207659806022,True
UBE2J2,35.92,818.0816032364052,0.9499797246568997,True
LINC01786,30.78,793.1809916028157,0.9515022322468472,True
SCNN1D,21.28,830.8747442160502,0.9491975087608652,True
ACAP3,33.04,742.3976613380795,0.9546072967693011,True
PUSL1,43.86,703.4950531562317,0.9569859337721656,True
INTS11,39.4,793.2265300470639,0.9514994478723898,True
ENSG00000240731,39.62,766.9962750728278,0.9531032543520129,True
CPTP,27.66,778.8582484770864,0.9523779731900284,True
TAS1R3,36.04,684.7986475558349,0.9581290952274023,True
DVL1,30.12,828.3036290939089,0.9493547154329619,True
MXRA8,24.96,773.5443398748077,0.9527028835295135,True
AURKAIP1,39.92,736.4819314332307,0.954969004498121,True
CCNL2,37.5,761.951854868916,0.9534116872596199,True
MRPL20-AS1,34.28,789.3515934566356,0.9517363745975765,True
MRPL20,46.9,734.653625203692,0.9550807933229171,True
MRPL20-DT,26.46,783.3191072248914,0.9521052212030027,True
VWA1,39.04,702.0203711337606,0.957076100817257,True
ATAD3C,36.74,716.1144321244369,0.9562143422730396,True
ATAD3B,20.96,829.2568061266215,0.949296434966272,True
ATAD3A,27.14,810.2370286109036,0.950459368473806,True
TMEM240,34.5,731.6188869564743,0.9552663474804969,True
SSU72,44.28,767.8249938548304,0.9530525836835934,True
FNDC10,33.34,725.6111751889848,0.9556336792914103,True
ENSG00000286989,40.52,679.1567742884986,0.9584740584354327,True
ENSG00000272106,38.44,727.9616075772622,0.9554899659078409,True
MIB2,28.4,757.409102636125,0.9536894464912182,True
MMP23B,24.5,782.5062004296409,0.9521549250730883,True
CDK11B,43.66,771.0032394117521,0.9528582550038672,True
SLC35E2B,34.38,723.6675362224996,0.9557525199497096,True
ENSG00000293187,25.1,770.8537210216799,0.9528673970637921,True
ENSG00000310190,28.32,759.4430161449895,0.953565086142159,True
CDK11A,37.66,702.4767958856676,0.9570481934646489,True
ENSG00000293188,20.88,708.4082390368666,0.9566855249748171,True
ENSG00000290854,35.16,732.2218117822829,0.95522948261802,True
NADK,29.6,748.031906998949,0.9542627999389208,True
GNB1,83.38,697.4968054273423,0.9573526869197589,True
PRKCZ,29.66,752.5353456824632,0.9539874444706534,True
ENSG00000271806,29.92,740.8691911661808,0.9547007526037187,True
PRKCZ-AS1,26.6,743.7594666670338,0.9545240313869132,True
FAAP20,44.2,713.675339173347,0.956363476663201,True
SKI,29.78,736.2350565440579,0.9549840992635856,True
ENSG00000287356,38.44,701.8323046153668,0.9570875998400876,True
MORN1,40.24,717.9398899086667,0.956102727611821,True
ENSG00000292993,38.62,710.4488493846866,0.9565607551583806,True
RER1,37.24,815.056754667342,0.9501646741261178,True
PEX10,42.4,725.2404100645658,0.955656349124759,True
PLCH2,13.7,805.4946078984242,0.9507493361113774,True
PANK4,37.64,791.8429807330671,0.9515840427555446,True
ENSG00000272449,33.12,719.9210253716573,0.9559815942909412,True
TNFRSF14-AS1,26.76,794.5558807015025,0.9514181668785385,True
TNFRSF14,38.12,743.5563018426998,0.9545364535712199,True
ENSG00000228037,33.12,739.6258705302201,0.9547767734313531,True
PRXL2B,30.16,756.7143772758836,0.953731924348769,True
TTC34,30.4,723.234281154051,0.9557790106295292,True
MEGF6,24.82,705.5494273815099,0.9568603223857224,True
ENSG00000238260,23.5,777.7259432232332,0.9524472061618323,True
TPRG1L,42.28,761.9851272240005,0.9534096528753286,True
WRAP73,39.9,773.7263064761546,0.9526917574762364,True
TP73,34.16,709.3187907270298,0.9566298507656967,True
GFOD3P,29.7,791.3391669979815,0.9516148476308174,True
SMIM1,13.4,709.070791383808,0.9566450142840839,True
LRRC47,41.78,761.0788784333104,0.9534650639906261,True
CEP104,39.54,779.1561259200647,0.9523597599559728,True
DFFB,31.3,801.6835982670518,0.9509823541261356,True
C1orf174,28.42,835.9463513487832,0.9488874135525048,True
LINC01134,26.36,764.6615154975648,0.9532460094468013,True
ENSG00000300565,19.5,710.470554780705,0.956559428017077,True
ENSG00000287586,54.78,753.3190937856504,0.9539395234615927,True
NPHP4,37.08,779.3363224078163,0.9523487421334261,True
KCNAB2,43.1,717.1570724803466,0.9561505917162735,True
RPL22,23.12,820.4897509068054,0.9498324823658327,True
RNF207,19.1,815.1538292846299,0.9501587386557854,True
ICMT,32.1,750.0848210741985,0.9541372778309876,True
GPR153,17.62,758.060317154148,0.953649629033681,True
ACOT7,21.14,788.3156088199995,0.9517997182011617,True
ESPN,13.86,721.278023159867,0.9558986228578498,True
TNFRSF25,16.44,781.6560195396231,0.9522069080073603,True
PLEKHG5,19.44,776.3282638143924,0.9525326650067629,True
NOL9,26.94,815.6736232688128,0.95012695669405,True
ZBTB48,51.2,694.4225166983837,0.9575406593275216,True
KLHL21,26.34,756.0748671547381,0.9537710261599059,True
PHF13,25.18,765.0155665860981,0.9532243615661206,True
