ensembl_id,symbol,cv,mean_log2cpm,std_log2cpm,mean_cpm,pct_zero_samples
ENSG00000198744,MTCO3P12,1.9189705719723484,0.7185523103823266,1.3788807380464256,4.588651617188929,34.11764705882353
ENSG00000161055,SCGB3A1,1.9153335451239255,0.554495696741771,1.0620442085963775,1.1908559300243986,68.62745098039215
ENSG00000123838,C4BPA,1.846316575055456,0.6835179490763984,1.2619905187276654,1.8558006649015564,69.01960784313725
ENSG00000230387,LINC03125,1.8170799016685504,0.676320031041172,1.2289275355007636,1.8014838975992888,68.23529411764706
ENSG00000148680,HTR7,1.7956567419275462,0.5095963301347317,0.9150600858679666,0.8605970247182875,70.58823529411765
ENSG00000003137,CYP26B1,1.7906018746237575,0.7111280715053327,1.2733472579350265,1.8307773294290253,71.37254901960785
ENSG00000099998,GGT5,1.7586279700272611,0.5061911069009614,0.8902018387750901,0.852691350457142,67.05882352941175
ENSG00000088882,CPXM1,1.746897761403043,0.5060318404211298,0.8839858892303335,0.8227226189869736,70.19607843137254
ENSG00000145358,DDIT4L,1.7415430157599443,0.5001357304887869,0.8710078883647447,0.7922833110057762,70.19607843137254
ENSG00000130508,PXDN,1.741515126095375,0.5457634972149134,0.9504553856704826,0.9523173224888138,69.01960784313725
ENSG00000062370,ZNF112,1.6988117494881194,0.5429535806644017,0.922375922259331,0.9066419665130702,68.23529411764706
ENSG00000078114,NEBL,1.6888537470987188,0.848609572832885,1.433177456902661,2.6078510358017044,63.921568627450974
ENSG00000170558,CDH2,1.6719389417550274,0.5055043340279894,0.8451723812873366,0.7772893327104478,65.88235294117646
ENSG00000110237,ARHGEF17,1.665730326014952,0.5530226207423724,0.921186550342835,0.9134312390519927,65.49019607843137
ENSG00000115112,TFCP2L1,1.660944447588493,0.5689595284472724,0.9450101696770642,0.9611898248897152,67.45098039215686
ENSG00000144668,ITGA9,1.6528661760173766,0.5617037384567374,0.9284211102376522,0.9551175617855332,61.96078431372549
ENSG00000172348,RCAN2,1.6413196067852265,0.5611153042179527,0.9209695504801828,0.93165841762212,65.88235294117646
ENSG00000180537,RNF182,1.628497085970366,0.5039454987042997,0.820673776127835,0.7858914123282348,60.3921568627451
ENSG00000284690,CD300H,1.624903925016135,0.6450531736046118,1.048149433634248,1.238887567805813,63.921568627450974
ENSG00000188659,SAXO2,1.6228734210346876,0.5118847717982739,0.8307241907838251,0.813848326645133,61.1764705882353
