ensembl_id,symbol,cv,mean_log2cpm,std_log2cpm,mean_cpm,pct_zero_samples
ENSG00000078114,NEBL,1.8157472803818049,0.5346838619408206,0.9708507681830854,0.9810968209676438,70.703125
ENSG00000143839,REN,1.7558005574972586,0.5496457807142743,0.9650683682041388,1.003538665610809,69.140625
ENSG00000130147,SH3BP4,1.6365932324055663,0.5243617013817852,0.8581668118140982,0.8132655595026239,65.234375
ENSG00000140465,CYP1A1,1.6063169171230882,0.5365199065715494,0.8618210022991785,0.8275399957126455,66.40625
ENSG00000228695,LOC107987423,1.5914597745796988,0.5007472796725121,0.7969191528290135,0.738030049912119,62.890625
ENSG00000159167,STC1,1.5904143637126402,0.5804734352837166,0.9231932892288426,0.9835995262038394,62.5
ENSG00000102854,MSLN,1.5762840148113486,0.5859586915006356,0.9236373187522264,1.0029495420744858,62.109375
ENSG00000181126,HLA-V,1.5589697059867258,0.9635284754690304,1.5021117041117924,3.676167092972008,43.359375
ENSG00000281990,IGHV1-69-2,1.556796095011622,0.5855107497526683,0.911520848802281,1.039184581283524,57.421875
ENSG00000186340,THBS2,1.5536780876526055,0.539921004374154,0.8388634335595098,0.8377554154358273,58.59375
ENSG00000049247,UTS2,1.5499292731372143,0.751180367665315,1.1642764412504472,1.8974392841598635,48.828125
ENSG00000091129,NRCAM,1.5448434254781465,0.5733802492807478,0.885782708400384,0.920776846913724,59.765625
ENSG00000178752,ERFE,1.5367208927160645,0.577198246189137,0.8869926041579173,0.919998729123251,62.109375
ENSG00000003096,KLHL13,1.4929988299231762,0.5251607534658114,0.7840643904460299,0.7214132630193646,61.71875
ENSG00000167419,LPO,1.491617552340651,0.5048763174768688,0.7530823769096084,0.6809392697201242,58.59375
ENSG00000223553,SMPD4P1,1.489851052873555,0.525547074654088,0.7829868625080098,0.7383934170816356,58.984375
ENSG00000261770,,1.487677779648176,0.5372662078075731,0.7992789991111657,0.7624171610272962,58.59375
ENSG00000244649,LINC02086,1.4772628906925769,0.5382038859164426,0.7950686282909017,0.7613147719132091,58.59375
ENSG00000176728,TTTY14,1.4724034007680418,0.549807248624139,0.8095380626411025,0.7707218723558853,61.71875
ENSG00000158966,CACHD1,1.471393075125354,0.568334616649313,0.8362436192918218,0.8317703889322878,57.8125
ENSG00000065361,ERBB3,1.469239429222912,0.6256867331757174,0.9192836187234396,0.9793912914712112,58.984375
ENSG00000164142,FHIP1A,1.4654715433872312,0.6088430177098787,0.8922421168438353,0.966928559714892,57.03125
ENSG00000134765,DSC1,1.4611181187101765,0.5732885508020216,0.8376422888259331,0.8338477013237181,60.9375
ENSG00000172940,SLC22A13,1.4603064564742625,0.5206482071981473,0.7603059385232039,0.6942111293381632,60.15625
ENSG00000010327,STAB1,1.4587470659513888,0.7298751208949523,1.0647031911164269,1.4037684224398816,56.25
