geneid,chrm_probe,s1,s2,log2FC,mean_expr
C6orf132,6,42068857,42110715,0.001434750287490516,42089786.0
FBXO3,11,33762490,33796071,0.0014342266622264788,33779280.5
RYBP,3,72423744,72495774,0.0014341385115343996,72459759.0
CTNNB1,3,41240942,41281939,0.001433449033942935,41261440.5
NPTN,15,73852344,73925753,0.0014333221185616196,73889048.5
PREPL,2,44544748,44589001,0.0014325345488970243,44566874.5
FAM129A,1,184760166,184943682,0.0014322688003858275,184851924.0
PGR,11,100900355,101000544,0.0014318131776498433,100950449.5
MEP1A,6,46761094,46807519,0.0014316151365356689,46784306.5
LOC283480,13,102944670,103046869,0.0014315345364721566,102995769.5
GARNL3,9,130026756,130155828,0.0014313913352630436,130091292.0
SPIN1,9,91003297,91093622,0.001431231670917299,91048459.5
CD59,11,33724556,33758025,0.0014310526401324353,33741290.5
CNN1,19,11649579,11661138,0.001430767823542567,11655358.5
LAMB4,7,107663996,107770801,0.0014304750874174488,107717398.5
ARHGEF4,2,131674224,131804836,0.0014303474339492084,131739530.0
HEPHL1,11,93754378,93847374,0.0014303158275552619,93800876.0
NCRNA00113,21,29094698,29123552,0.0014300507036253407,29109125.0
BRD7,16,50352929,50402845,0.0014294678560666796,50377887.0
C14orf93,14,23456110,23479360,0.001429309689022773,23467735.0
CD96,3,111260926,111371206,0.0014292673682234636,111316066.0
HIF3A,19,46800305,46846690,0.0014291844285061472,46823497.5
DDX11,12,31226779,31257725,0.0014290148788411727,31242252.0
C9orf72,9,27546544,27573842,0.00142897007350129,27560193.0
MTFR1,8,66556888,66622798,0.001427966071045006,66589843.0
FAM53B,10,126307863,126432930,0.0014278150498512332,126370396.5
FAM20A,17,66531257,66597095,0.0014269561816355747,66564176.0
RPS6KB1,17,57970443,58027786,0.0014263746568445868,57999114.5
RNF135,17,29297956,29326929,0.0014259884824241453,29312442.5
SESN1,6,109307640,109415708,0.0014256290456948761,109361674.0
FAM149B1,10,74927877,75001939,0.0014253187289163805,74964908.0
SEPT7P2,7,45763386,45808617,0.001425207293458186,45786001.5
DHX30,3,47844399,47891686,0.001425183085796533,47868042.5
LGALS9C,17,18380099,18398259,0.0014247151896782384,18389179.0
PPA2,4,106290234,106395227,0.0014243840702192756,106342730.5
PTP4A2,1,32372022,32403988,0.0014238972729820887,32388005.0
GABARAPL1,12,10365489,10375724,0.001423830276291227,10370606.5
SON,21,34915350,34949812,0.0014232603971677804,34932581.0
KITLG,12,88886570,88974250,0.001422410062090762,88930410.0
HTATIP2,11,20385231,20405329,0.0014216664765811515,20395280.0
EP400,12,132434508,132565005,0.001420888562524425,132499756.5
LOC100499227,11,119252488,119369944,0.001420262123453142,119311216.0
MYLK3,16,46736194,46782221,0.0014201038071171013,46759207.5
LOC100129534,1,2281853,2284100,0.0014199596879862497,2282976.5
RNFT2,12,117176096,117291436,0.0014193901953056809,117233766.0
PAPSS2,10,89419476,89507462,0.0014188693563887966,89463469.0
R3HDM2,12,57647548,57704246,0.0014182341819051203,57675897.0
ARL5B,10,18948313,18966940,0.0014175340605611098,18957626.5
YLPM1,14,75230069,75304013,0.0014173355010242972,75267041.0
TDP1,14,90422246,90511108,0.0014171049480893316,90466677.0
CUL9,6,43149922,43192325,0.001417025927523241,43171123.5
USP16,21,30396938,30426807,0.0014169420256280318,30411872.5
CARD8,19,48711343,48759203,0.0014167846928714312,48735273.0
IRAK3,12,66582978,66648394,0.001416713549446058,66615686.0
ABHD6,3,58223259,58280461,0.0014166937664086277,58251860.0
PAPSS1,4,108534822,108641419,0.001416241237983229,108588120.5
TLN1,9,35697334,35732392,0.0014161612600496198,35714863.0
DNASE1L2,16,2286468,2288712,0.0014152039990342757,2287590.0
PES1,22,30972612,31003000,0.001414770022801548,30987806.0
WAPAL,10,88195013,88281541,0.0014147321245481237,88238277.0
NARG2,15,60711808,60771344,0.0014140610611867999,60741576.0
HOOK2,19,12873817,12886434,0.0014132225165965906,12880125.5
KIF27,9,86451615,86536342,0.0014132224371010693,86493978.5
TMEM161A,19,19230430,19249267,0.0014124875902012946,19239848.5
ZFAND6,15,80352021,80430710,0.0014121446627761713,80391365.5
ZCCHC14,16,87439852,87525460,0.0014117797875812244,87482656.0
DIDO1,20,61509090,61569304,0.0014116278558375939,61539197.0
PLEKHM3,2,208686012,208890284,0.0014114892359131659,208788148.0
PKD1L3,16,71963441,72033877,0.0014113828785760063,71998659.0
PGM5P2,9,69080244,69147854,0.0014112994317798666,69114049.0
C3AR1,12,8210919,8218955,0.0014112703313244879,8214937.0
ERN2,16,23701626,23724821,0.0014111667580856135,23713223.5
IGF2BP2,3,185361527,185542827,0.0014103939601319837,185452177.0
XPO1,2,61705069,61765418,0.001410299913136015,61735243.5
LDLRAP1,1,25870076,25895377,0.0014102698464100172,25882726.5
ZBTB46,20,62375878,62436856,0.0014096744935159222,62406367.0
LOC283688,15,80555410,80634147,0.0014094397822539406,80594778.5
HMGCL,1,24128367,24151949,0.0014093377413075814,24140158.0
APIP,11,34903843,34937939,0.0014086161951993859,34920891.0
ZYG11A,1,53308183,53360247,0.0014083357027985244,53334215.0
EBF3,10,131633547,131762091,0.0014081463615660539,131697819.0
CCDC122,13,44410489,44453826,0.0014071357785461203,44432157.5
RANGAP1,22,41641615,41682216,0.0014059570685098777,41661915.5
FGFR2,10,123237844,123357972,0.0014056044014587599,123297908.0
PHLPP2,16,71678852,71748704,0.0014052409923017706,71713778.0
LNPEP,5,96271346,96365115,0.0014045116886656217,96318230.5
GGT3P,22,18761202,18779474,0.0014043926361040349,18770338.0
SGSM3,22,40766595,40806293,0.0014041947577076996,40786444.0
APCDD1L,20,57034426,57089949,0.0014037800718966764,57062187.5
CYTL1,4,5016314,5021197,0.0014036704989344173,5018755.5
CELA2A,1,15783223,15798586,0.0014036006777082832,15790904.5
NPIP,16,15031300,15045931,0.0014035914013916795,15038615.5
EAF1,3,15469064,15484120,0.0014034883677993548,15476592.0
DZIP3,3,108308337,108413693,0.0014026870207786146,108361015.0
VRK3,19,50479724,50528805,0.0014020384253399243,50504264.5
CD209,19,7804881,7812464,0.001401000740369085,7808672.5
C14orf43,14,74181825,74253896,0.0014009630614673085,74217860.5
MAPRE1,20,31407699,31438211,0.001400871214865873,31422955.0
C10orf113,10,21414692,21435488,0.0014003342354911297,21425090.0
NCRNA00235,16,576847,577407,0.001399878859260184,577127.0
DHX8,17,41561334,41601680,0.0013998284690970308,41581507.0
GFPT1,2,69546905,69614382,0.0013990778844181762,69580643.5
CPNE2,16,57126455,57181878,0.001398996731371227,57154166.5
C13orf18,13,46916137,46961635,0.0013984086182006195,46938886.0
C1orf135,1,26160497,26185848,0.0013973760133012547,26173172.5
GDPD1,17,57297828,57353330,0.0013968016793626248,57325579.0
GCKR,2,27719706,27746550,0.0013964420928225252,27733128.0
FAM131C,1,16384264,16400127,0.0013961199903604893,16392195.5
CELA2B,1,15802596,15817895,0.0013960435817885752,15810245.5
C10orf79,10,105889646,105992120,0.001395483382474083,105940883.0
SFTA1P,10,10826402,10836877,0.001395193251759963,10831639.5
C4orf48,4,2043720,2045697,0.00139492104772998,2044708.5
SEMA5B,3,122628043,122746576,0.0013938441056922102,122687309.5
UMOD,16,20344373,20364037,0.0013937737237483816,20354205.0
SEC24B,4,110354971,110461615,0.0013935074651385548,110408293.0
MRGPRX3,11,18142502,18160027,0.0013929184472374345,18151264.5
KLF3,4,38665790,38703129,0.001392517657418324,38684459.5
HDHD2,18,44633781,44676871,0.0013921235899942985,44655326.0
CTDP1,18,77439801,77514507,0.001391093724016912,77477154.0
DNAJC17,15,41060067,41099676,0.001391039183523901,41079871.5
ZNF625,19,12255709,12267529,0.0013907343975638753,12261619.0
LOC728276,16,19297105,19315716,0.0013907296798905122,19306410.5
C18orf10,18,34376034,34409158,0.0013894802485623359,34392596.0
FUCA1,1,24171572,24194859,0.0013892296755990685,24183215.5
SULT2B1,19,49055429,49102684,0.0013890763779222937,49079056.5
LRRC37A2,17,44590076,44633014,0.0013885742594048622,44611545.0
SLC16A9,10,61410522,61469649,0.001388380797052946,61440085.5
STOX1,10,70587294,70655209,0.0013874101320041632,70621251.5
ST8SIA4,5,100142639,100238987,0.0013873606467704747,100190813.0
C3orf35,3,37440968,37476988,0.0013872743135081578,37458978.0
CAD,2,27440258,27466654,0.0013871251709041132,27453456.0
RPAP2,1,92764522,92853732,0.0013867475891728986,92809127.0
CAT,11,34460472,34493607,0.0013865373351684696,34477039.5
LRRC37A,17,44372497,44415160,0.001386447259893231,44393828.5
RNF121,11,71639768,71708643,0.0013863512892520191,71674205.5
PTBP2,1,97187175,97280605,0.001386255416242932,97233890.0
TTC37,5,94799599,94890709,0.0013858794925631912,94845154.0
LOC255167,5,6582287,6588613,0.0013858564174960009,6585450.0
CD36,7,80231504,80308593,0.0013855220875989005,80270048.5
PLCG1,20,39766161,39804357,0.0013850653235500943,39785259.0
CAPSL,5,35904398,35938881,0.0013849160623742307,35921639.5
FAM3B,21,42688661,42729654,0.0013847241301050417,42709157.5
LYPD6,2,150186499,150330659,0.0013841401472554082,150258579.0
MYH7,14,23881947,23904870,0.001384101375691671,23893408.5
GPD2,2,157291965,157442915,0.0013838620729664797,157367440.0
LRRC8C,1,90098644,90185094,0.0013836078155975429,90141869.0
AHCY,20,32868071,32899608,0.0013836059383578458,32883839.5
PGM2,4,37828282,37864559,0.001382869236540074,37846420.5
ABCA12,2,215796266,216003151,0.0013824566372235836,215899708.5
ZNF793,19,37997841,38034239,0.0013812910741997086,38016040.0
LAPTM4A,2,20232411,20251789,0.0013811089391069231,20242100.0
PDXK,21,45138978,45182188,0.0013803820046405235,45160583.0
LAMA5,20,60884121,60942368,0.0013795466611590257,60913244.5
BMP8A,1,39957318,39995541,0.0013794162224911588,39976429.5
FLRT3,20,14304639,14318313,0.0013784330918369392,14311476.0
MTMR2,11,95566044,95657371,0.0013780427322558353,95611707.5
IL22RA1,1,24446261,24469611,0.0013773415052718008,24457936.0
CCDC147,10,106113522,106214848,0.0013769476724476704,106164185.0
CCPG1,15,55647438,55700574,0.001376927109124182,55674006.0
C20orf186,20,31669318,31699557,0.001376879651907359,31684437.5
GAB1,4,144257983,144395718,0.0013768028227083562,144326850.5
MLL5,7,104654637,104754532,0.0013764252191350579,104704584.5
SLA2,20,35240924,35274558,0.0013762540064270468,35257741.0
EPC2,2,149402560,149545136,0.0013761183318763415,149473848.0
CRY1,12,107385143,107487598,0.0013758034597799451,107436370.5
GRAMD1C,3,113557681,113666021,0.001375750767397932,113611851.0
CRHR2,7,30692863,30722140,0.0013754875021696478,30707501.5
CPS1,2,211342409,211543831,0.0013743201534595073,211443120.0
CYP2R1,11,14899556,14913751,0.0013738198368358212,14906653.5
POM121,7,72349936,72418838,0.0013732875825844815,72384387.0
PRKAA1,5,40759481,40798297,0.0013732510849457924,40778889.0
S1PR2,19,10332109,10341948,0.00137318729514746,10337028.5
ZNF322A,6,26634611,26659963,0.0013725677237950151,26647287.0
BCL6B,17,6926369,6932961,0.0013723960760465559,6929665.0
POSTN,13,38136719,38172981,0.0013711234650202186,38154850.0
PBMUCL1,6,30973729,31003179,0.0013710710053764785,30988454.0
PVRL2,19,45349393,45392485,0.0013702299175513133,45370939.0
POR,7,75544420,75616173,0.0013696387612611716,75580296.5
TC2N,14,92246267,92333880,0.0013695822740942276,92290073.5
EDEM2,20,33703160,33735161,0.001369182548287995,33719160.5
C7orf46,7,23719749,23742269,0.0013690734089699674,23731009.0
SAA2-SAA4+SAA4+SAA2,11,18252902,18270221,0.001368231074749815,18261561.5
PIK3R2,19,18264016,18281343,0.0013680302047944792,18272679.5
OSBPL2,20,60813580,60871269,0.0013679211465564833,60842424.5
NFASC,1,204797782,204991950,0.0013671656872809024,204894866.0
KIAA1683,19,18367906,18385319,0.0013670446204194775,18376612.5
TNFAIP8L3,15,51348799,51397473,0.0013668961596273732,51373136.0
CDH17,8,95139394,95229531,0.0013661915803986346,95184462.5
SEC24D,4,119643978,119757326,0.0013661296376845655,119700652.0
AFAP1L2,10,116054583,116164515,0.0013659372814949222,116109549.0
UCMA,10,13263767,13276328,0.0013656087060773814,13270047.5
UXS1,2,106709759,106810795,0.0013653406469238405,106760277.0
NSD1,5,176560080,176727214,0.0013650273512908484,176643647.0
COBLL1,2,165541258,165697928,0.0013647361610544806,165619593.0
PTPN14,1,214522039,214725024,0.0013644611627263714,214623531.5
RPH3A,12,113229549,113336684,0.0013643969916827814,113283116.5
LRP12,8,105501459,105601252,0.0013639888838348213,105551355.5
POLQ,3,121150273,121264853,0.0013638093584269484,121207563.0
ART4,12,14982245,14996413,0.0013636436625965587,14989329.0
MIER1,1,67390578,67454302,0.0013635564697125346,67422440.0
ALG14,1,95448279,95538507,0.0013631466259695912,95493393.0
C9orf102,9,98637900,98731122,0.0013628372312659565,98684511.0
CREB3L1,11,46299228,46342972,0.0013624299767585057,46321100.0
AZI2,3,28363845,28390618,0.0013611361571221892,28377231.5
SLC11A2,12,51373566,51422058,0.0013611313211328024,51397812.0
USP10,16,84733555,84813527,0.0013609814293964462,84773541.0
FAM189A2,9,71939488,72007370,0.0013606831302226396,71973429.0
EIF3H,8,117657055,117768062,0.001360511239862916,117712558.5
PPP4R2,3,73046119,73115011,0.0013600079960660594,73080565.0
DHX29,5,54552073,54603521,0.0013599628911364903,54577797.0
RASEF,9,85597317,85678043,0.0013599505163490733,85637680.0
PLEKHA9,12,45566817,45609789,0.0013598991506107438,45588303.0
L3MBTL3,6,130339728,130462594,0.0013593297735141618,130401161.0
CMPK1,1,47799469,47844511,0.0013588283021412906,47821990.0
TIMP2,17,76849059,76921472,0.0013587763751665705,76885265.5
BMPR2,2,203241050,203432474,0.0013581728745393207,203336762.0
ABCA6,17,67074847,67138015,0.0013580243257749203,67106431.0
ZNF568,19,37407234,37442450,0.0013575461708335013,37424842.0
WDR76,15,44119112,44160617,0.0013565755447118022,44139864.5
PAPD4,5,78908243,78982471,0.0013564872982705367,78945357.0
LCA5L,21,40777770,40816128,0.0013564470004538975,40796949.0
SEZ6L2,16,29882480,29910580,0.0013560012575872804,29896530.0
OCM,7,5920429,5925994,0.001355446642026692,5923211.5
FLI1,11,128562389,128683162,0.0013546482646091818,128622775.5
TAB1,22,39795759,39833132,0.001354228187555151,39814445.5
C9orf5,9,111777415,111882225,0.0013521337774839992,111829820.0
LMX1A,1,165171104,165325952,0.0013518937771515027,165248528.0
ZEB2,2,145141942,145277958,0.0013513510725502442,145209950.0
MYO1B,2,192110107,192290115,0.001351178546155296,192200111.0
TMEM50A,1,25664811,25688852,0.001350783201619521,25676831.5
NEURL,10,105253735,105352309,0.00135050473665288,105303022.0
NDFIP2,13,80055259,80130212,0.001350114055490792,80092735.5
ATP13A1,19,19756010,19774503,0.0013498312044468719,19765256.5
LBH,2,30454397,30482899,0.00134957401800051,30468648.0
LPAR3,1,85279086,85358896,0.0013495412558235387,85318991.0
PPIEL,1,39987952,40025370,0.0013493444410634936,40006661.0
S100Z,5,76145826,76217056,0.0013489266224340213,76181441.0
POLR3F,20,18448033,18465286,0.0013486090483709745,18456659.5
SNRPD1,18,19192260,19210208,0.0013485326584010693,19201234.0
PPP5C,19,46850294,46894105,0.0013484734312427804,46872199.5
IBTK,6,82879956,82957448,0.0013482764225756227,82918702.0
CYP2C19,10,96522463,96612671,0.0013476848015088194,96567567.0
CDH26,20,58533471,58588168,0.0013475066728005913,58560819.5
LOC399959,11,121959811,122073770,0.0013474218924649506,122016790.5
MED9,17,17380300,17396534,0.0013469145378834924,17388417.0
FSD1L,9,108210315,108311385,0.0013468691316056436,108260850.0
LOC100192378,8,77523114,77595510,0.0013466514042441702,77559312.0
GALNT2,1,230202956,230417875,0.0013462812612026198,230310415.5
PCDP1,2,120302025,120414237,0.0013450500183438407,120358131.0
IMPG2,3,100945288,101039419,0.0013446793809066548,100992353.5
CHRNB3,8,42552562,42592209,0.0013435595023558733,42572385.5
MICALL1,22,38302346,38338026,0.001343296231247848,38320186.0
CCDC85C,14,99977603,100070727,0.0013431708362574568,100024165.0
KIAA0494,1,47140831,47184736,0.0013430405141718893,47162783.5
MRPL45P2,17,45527593,45569986,0.00134273983155353,45548789.5
MED24,17,38175350,38210889,0.001342439216443836,38193119.5
PNOC,8,28174649,28200868,0.0013419308478326286,28187758.5
XKR9,8,71581600,71648177,0.001341205932529732,71614888.5
ARAP1,11,72396114,72463434,0.0013409159029471596,72429774.0
NMNAT2,1,183217379,183387737,0.0013408141206951996,183302558.0
TMEM150C,4,83405604,83483126,0.0013403015489821257,83444365.0
FGD3,9,95709601,95798518,0.001339683387826085,95754059.5
TIMM13,19,2425622,2427875,0.0013394015989689478,2426748.5
MRS2,6,24403153,24425816,0.0013391967674003524,24414484.5
OPN5,6,47749775,47794116,0.0013390818270444527,47771945.5
IL17D,13,21277482,21297237,0.0013388434220473755,21287359.5
SAMM50,22,44351261,44392412,0.0013379736163230405,44371836.5
PIP4K2B,17,36921944,36956158,0.0013362652527675323,36939051.0
POM121C,7,75046065,75115568,0.0013355161002017724,75080816.5
ITGB2,21,46305868,46348753,0.0013354969076218026,46327310.5
POLR1A,2,86253451,86333278,0.0013345872486780763,86293364.5
TMEM52,1,1849029,1850740,0.0013343806364964905,1849884.5
UBE2H,7,129472995,129592789,0.001334226527671234,129532892.0
KCNIP3,2,95963072,96051825,0.0013336831959342987,96007448.5
NRG4,15,76234328,76304785,0.001332746315259925,76269556.5
CREB3L2,7,137559725,137686846,0.0013326004195697294,137623285.5
KHDRBS1,1,32479491,32509472,0.0013311011519974159,32494481.5
SLTM,15,59171244,59225852,0.001330821408803473,59198548.0
ALOX5AP,13,31309669,31338556,0.0013304489718350965,31324112.5
PRCP,11,82535409,82611557,0.0013304313253748035,82573483.0
C7orf41,7,30174552,30202381,0.0013299371071440191,30188466.5
GPATCH2,1,217603834,217804409,0.0013291828146009266,217704121.5
ZFPM1,16,88520014,88601574,0.0013286490466981604,88560794.0
GDPD4,11,76927603,76998463,0.0013282919410251282,76963033.0
TGS1,8,56685791,56738005,0.0013282729993946418,56711898.0
RSPRY1,16,57220241,57272947,0.0013282657282296384,57246594.0
TMEM39B,1,32538503,32568467,0.0013279351175263798,32553485.0
MEGF9,9,123363196,123476765,0.0013275439087614416,123419980.5
SCN2A,2,166095912,166248820,0.0013275349738357534,166172366.0
SEC14L2,22,30792933,30821278,0.0013273948275127623,30807105.5
PGM2L1,11,74041361,74109502,0.001327115973481341,74075431.5
GRIA2,4,158141736,158287226,0.0013266656353856376,158214481.0
DMGDH,5,78293429,78365449,0.001326485982342973,78329439.0
RLN1,9,5334969,5339873,0.0013255419897895138,5337421.0
TMPRSS11D,4,68686594,68749716,0.0013252073116483132,68718155.0
SLC8A2,19,47931279,47975307,0.001324601011191362,47953293.0
CUL5,11,107879408,107978488,0.0013244105127867556,107928948.0
RPAP3,12,48055715,48099844,0.0013242020173755975,48077779.5
DNAJC13,3,132136553,132257876,0.0013240226132538169,132197214.5
KCNMB4,12,70760062,70824978,0.001322936328779889,70792520.0
CA12,15,63615730,63674075,0.00132255755648103,63644902.5
SAMD8,10,76871393,76941881,0.001322287617892215,76906637.0
CYP4F8,19,15726029,15740447,0.0013220913096958498,15733238.0
NAA35,9,88556057,88637217,0.0013215979787695176,88596637.0
ZCCHC2,18,60190658,60245818,0.0013215109797499736,60218238.0
SUZ12P,17,29058724,29085353,0.001321459711480344,29072038.5
VMAC,19,5904852,5910263,0.0013214297263459684,5907557.5
MLXIP,12,122516760,122628967,0.0013206878571239145,122572863.5
SLC39A8,4,103172198,103266655,0.0013202229298059365,103219426.5
WARS2,1,119573839,119683295,0.0013200161303643654,119628567.0
MAGOHB,12,10756364,10766208,0.0013197204918711236,10761286.0
FLVCR2,14,76044940,76114512,0.0013192895182108089,76079726.0
CDADC1,13,49822047,49867622,0.001319110202885554,49844834.5
ZNF37BP,10,43008961,43048280,0.001318316234225847,43028620.5
C20orf43,20,55043647,55093942,0.0013176310007629866,55068794.5
IL7,8,79645007,79717758,0.0013172150080826839,79681382.5
NLRP11,19,56296763,56348128,0.0013157105295711347,56322445.5
C5orf28,5,43444354,43483992,0.0013156939320673189,43464173.0
SNN,16,11762289,11773015,0.0013149901751816628,11767652.0
SLC39A9,14,69865407,69929107,0.0013147823404615622,69897257.0
TUBGCP3,13,113139328,113242481,0.0013147552022410025,113190904.5
AP3S2+C15orf38+C15orf38-AP3S2,15,90373831,90456222,0.0013146608326728426,90415026.5
ATR,3,142168077,142297668,0.0013144662086652659,142232872.5
DCTN6,8,30013813,30041155,0.001313668811537383,30027484.0
DDR2,1,162602228,162750247,0.0013127073379592957,162676237.5
APAF1,12,99039078,99129211,0.0013123637533638544,99084144.5
RUFY2,10,70103275,70167051,0.0013118857933775985,70135163.0
EMB,5,49692031,49737234,0.001311769670920171,49714632.5
ZNF443,19,12540520,12551926,0.00131158034239931,12546223.0
USP50,15,50792759,50838902,0.0013100303563042814,50815830.5
FLJ35776,18,3594112,3597377,0.001309992498676138,3595744.5
LOC386597,2,7052407,7058813,0.0013098660154042818,7055610.0
GKAP1,9,86354336,86432752,0.0013094772542707744,86393544.0
MAP3K8,10,30722866,30750761,0.0013093087745907894,30736813.5
SLC6A2,16,55689542,55740104,0.0013092664828988632,55714823.0
C8orf75,8,29578776,29605625,0.0013089570848592302,29592200.5
LOC284788,20,22380971,22401281,0.0013086048902088976,22391126.0
PRKD2,19,47177573,47220384,0.0013085711234452901,47198978.5
SLC26A5,7,102993177,103086624,0.001308381809021597,103039900.5
EXOC1,4,56719816,56771244,0.0013075025351589886,56745530.0
FBXO33,14,39865577,39901704,0.001306807637060814,39883640.5
ARHGEF40,14,21538527,21558036,0.0013061616152114652,21548281.5
HTR1E,6,87647024,87726397,0.0013059110022517473,87686710.5
SESTD1,2,179966419,180129350,0.0013055402516677361,180047884.5
BAG4,8,38034106,38068537,0.0013054325862675853,38051321.5
CATSPERG,19,38826443,38861589,0.0013053480891613845,38844016.0
NUDC,1,27248224,27272887,0.001305226113796465,27260555.5
ATP1B2,17,7554254,7561089,0.001304743130450703,7557671.5
CCDC34,11,27360061,27384795,0.0013036337246248308,27372428.0
CHCHD4,3,14153577,14166371,0.0013035221890476123,14159974.0
ASRGL1,11,62104774,62160887,0.0013029174814214173,62132830.5
RAD51,15,40987327,41024356,0.0013027791905315667,41005841.5
BPI,20,36932552,36965905,0.0013022791440349124,36949228.5
KIFAP3,1,169890470,170043879,0.0013021480053510004,169967174.5
EGF,4,110834040,110934118,0.0013020989496688173,110884079.0
POLR2B,4,57845109,57897334,0.001301938171838657,57871221.5
MX1,21,42792520,42831141,0.0013014703412714823,42811830.5
LOC338739,11,33183203,33213142,0.0013010610284496238,33198172.5
ELMO2,20,44994690,45035271,0.0013005894808451046,45014980.5
FXN,9,71650479,71715094,0.0013004481219276443,71682786.5
OCLN,5,68788119,68850133,0.0013000353276737542,68819126.0
ASH2L,8,37963011,37997228,0.0012997509987613398,37980119.5
RCBTB2,13,49063099,49107316,0.0012996104709799283,49085207.5
LOC400680,19,21666517,21686040,0.0012993806057579604,21676278.5
SH3BGRL2,6,80341000,80413369,0.0012989557150824282,80377184.5
ZNF799,19,12500828,12512088,0.0012989086085646306,12506458.0
ATP2A1,16,28889809,28915830,0.001298847985946594,28902819.5
SLC13A2,17,26800664,26824798,0.0012985623571495353,26812731.0
CBX5,12,54624731,54673915,0.001298415286541399,54649323.0
GPR110,6,46967813,47010082,0.0012977792170723035,46988947.5
ZNF705A,12,8325150,8332642,0.0012977314973596776,8328896.0
SEC1,19,49141296,49185502,0.0012972207226198407,49163399.0
MPV17L,16,15489611,15503543,0.001297036588564282,15496577.0
MAPK6,15,52311411,52358462,0.0012970350626879679,52334936.5
LPPR2,19,11466062,11476374,0.0012969042142358944,11471218.0
ZFYVE16,5,79703838,79775498,0.0012965132020816839,79739668.0
ALKBH3,11,43902357,43941825,0.0012963929793059492,43922091.0
SGPL1,10,72575704,72640932,0.0012960514683726387,72608318.0
COL11A2,6,33130469,33160245,0.001296039416033068,33145357.0
BCRP2,22,21457305,21476575,0.0012950487591467663,21466940.0
INO80C,18,33048291,33077955,0.0012943758298114005,33063123.0
SLC6A20,3,45796941,45838035,0.0012939625299992485,45817488.0
RHOQ,2,46769867,46811827,0.0012937463320277232,46790847.0
PPAN+P2RY11+PPAN-P2RY11,19,10216899,10226064,0.0012935795698538755,10221481.5
SYNGR1,22,39745954,39781593,0.0012930415346801283,39763773.5
TRMT1,19,13215714,13227563,0.001292917923198189,13221638.5
ABCG8,2,44066103,44105605,0.0012926899868013209,44085854.0
ADAMDEC1,8,24241798,24263526,0.0012925129065237684,24252662.0
APOBEC3A+APOBEC3B,22,39353527,39388783,0.0012919016083863255,39371155.0
COL6A6,3,130279178,130395888,0.0012918531163315095,130337533.0
GCLC,6,53362140,53409927,0.001291387778991293,53386033.5
NFS1,20,34256610,34287287,0.0012913639104290553,34271948.5
REV1,2,100016938,100106480,0.0012910213904184786,100061709.0
PRR11,17,57232860,57284070,0.0012902968439405527,57258465.0
POLE2,14,50110270,50155098,0.0012900393745560734,50132684.0
ZNF565,19,36673187,36705986,0.0012897108150227155,36689586.5
BSDC1,1,32830705,32860062,0.0012894719236697938,32845383.5
MEIG1,10,15001438,15014850,0.0012892617426132347,15008144.0
C11orf42,11,6226798,6232365,0.0012892491314033805,6229581.5
SLC34A2,4,25657435,25680368,0.0012889264577431447,25668901.5
CYP4Z2P,1,47323906,47366147,0.001287165484583852,47345026.5
ZNF366,5,71739234,71803249,0.0012867845943347334,71771241.5
NR1H4,12,100867679,100957643,0.0012861678869882098,100912661.0
TBX15,1,119425666,119532179,0.0012861330062712284,119478922.5
RDH8,19,10123925,10132954,0.001286090823835906,10128439.5
LTBP4,19,41099072,41135725,0.0012860517804718086,41117398.5
AGPAT4,6,161551057,161695107,0.0012858326331830483,161623082.0
GALNT7,4,174089904,174245118,0.001285696053905383,174167511.0
MYBPC1,12,101988747,102079658,0.0012854205064556368,102034202.5
IFT80,3,159974774,160117320,0.0012849453233165775,160046047.0
ZNF710,15,90544752,90625432,0.0012849425853467267,90585092.0
IL10RB,21,34638672,34669520,0.0012842423670740288,34654096.0
ZBTB38,3,141043055,141168632,0.0012839250404503844,141105843.5
TGM4,3,44916098,44956088,0.0012838983845071539,44936093.0
CENPE,4,104026963,104119566,0.0012836908407152237,104073264.5
SLC12A3,16,56899119,56949762,0.0012834980519720318,56924440.5
CEP350,1,179923908,180084015,0.001283225029784063,180003961.5
WHAMML1,15,23187729,23208357,0.0012828631269243829,23198043.0
VEZT,12,95611522,95696566,0.00128266990841297,95654044.0
HIATL1,9,97136833,97223202,0.0012821991404372568,97180017.5
RLN2,9,5299868,5304580,0.001282099397908354,5302224.0
SPTLC1,9,94793427,94877690,0.0012818590502234883,94835558.5
DSCR8,21,39493545,39528605,0.001280169931398234,39511075.0
SLC9A2,2,103236166,103327809,0.0012801158481430264,103281987.5
UPP2,2,158851691,158992666,0.0012797706862954783,158922178.5
SCOC,4,141178440,141303710,0.0012795599179611372,141241075.0
RASA2,3,141205926,141331197,0.0012793211675123928,141268561.5
ARHGEF26,3,153839149,153975616,0.0012792126834142437,153907382.5
ZMPSTE24,1,40723733,40759856,0.001279140394686351,40741794.5
ATG4D,19,10654647,10664094,0.0012786064303469402,10659370.5
ITGAX,16,31366509,31394318,0.00127850156401621,31380413.5
C4orf45,4,159814684,159956333,0.0012781416142892965,159885508.5
KCNJ16,17,68071426,68131746,0.001277846440725483,68101586.0
FANK1,10,127585108,127698161,0.0012778041622638625,127641634.5
NAV1,1,201617450,201796102,0.0012777972814141947,201706776.0
FBXL12,19,9920943,9929731,0.0012773776417098759,9925337.0
TMEM50B,21,34821448,34852281,0.001276883510069382,34836864.5
