geneid	chrm_probe	s1	s2
C12orf62	12	50505900	50514234
C12orf64	12	80603233	80772870
C12orf65	12	123717844	123742506
C12orf66	12	64586419	64616076
C12orf68	12	48577366	48579709
C12orf69	12	14957584	14967116
C12orf70	12	27619743	27655118
C12orf71	12	27233990	27235455
C12orf72	12	31800094	31822016
C12orf73	12	104343981	104350993
C12orf74	12	93096619	93102325
C12orf75	12	105724414	105765296
C12orf76	12	110478983	110505500
C13orf1	13	50486842	50510625
C13orf15	13	42031542	42045013
C13orf16	13	111973015	111996594
C13orf18	13	46916137	46961635
C13orf23	13	39584002	39612252
C13orf26	13	31506834	31549153
C13orf27	13	103418463	103426149
C13orf29	13	111516334	111522655
C13orf30	13	43355686	43365685
C13orf31	13	44453420	44468068
C13orf33	13	31480312	31499709
C13orf34	13	73302042	73330328
C13orf35	13	113301358	113338811
C13orf36	13	37248049	37271975
C13orf38-SOHLH2+C13orf38+SOHLH2	13	36742345	36871992
C13orf40	13	103381717	103411422
C14orf1	14	76117233	76127538
C14orf101	14	57046511	57116232
C14orf102	14	90744398	90798279
C14orf104	14	50091892	50101948
C14orf105	14	57936595	57960576
C14orf106	14	45672393	45722605
C14orf109	14	93651296	93653431
C14orf118	14	76618259	76669134
C14orf119	14	23564788	23569665
C14orf126	14	31915243	31926680
C14orf128	14	32544625	32545905
C14orf129	14	96846022	96853563
C14orf132	14	96505662	96560135
C14orf135	14	60558629	60601532
C14orf138	14	50575350	50583297
C14orf139	14	95873604	95876427
C14orf142	14	93669237	93673459
C14orf143	14	90263469	90421089
C14orf145	14	80962821	81405884
C14orf147	14	34902144	34931468
C14orf148	14	77860424	77889379
C14orf149	14	59939406	59951073
C14orf153	14	104029299	104057236
C14orf156	14	78174425	78183941
C14orf159	14	91580357	91691703
C14orf162	14	70036531	70037918
C14orf165	14	24391457	24403777
C14orf166	14	52456228	52471420
C14orf166B	14	77292725	77336645
C14orf167	14	24407940	24424298
C14orf169	14	73957644	73960105
C14orf176	14	21567096	21571883
C14orf178	14	78227173	78236085
C14orf179	14	76452096	76550092
C14orf180	14	105046056	105056183
C14orf181	14	69261464	69263190
C14orf182	14	50448430	50474238
C14orf183	14	50550369	50559361
C14orf184	14	92038788	92041383
C14orf19	14	35409128	35409702
C14orf2	14	104378625	104387903
C14orf21	14	24769098	24774374
C14orf23	14	29241910	29264000
C14orf28	14	45366507	45376460
C14orf33	14	56042875	56046810
C14orf34	14	56247853	56263392
C14orf37	14	58470808	58618847
C14orf38	14	59971785	60043549
C14orf39	14	60902674	60952764
C14orf4	14	77490886	77495034
C14orf43	14	74181825	74253896
C14orf45	14	74486059	74532796
C14orf48	14	94463616	94478041
C14orf49	14	95883831	95942173
C14orf50	14	65016620	65056096
C14orf64	14	98391947	98444461
C14orf70	14	101123605	101139081
C14orf73	14	103566481	103576894
C14orf79	14	105452616	105461855
C14orf80	14	105956192	105965585
C14orf82	14	52116236	52118462
C14orf93	14	23456110	23479360
C15orf17	15	75192328	75199462
C15orf2	15	24920541	24928593
C15orf23	15	40674922	40686489
C15orf24	15	34376224	34394053
C15orf26	15	81426644	81441516
C15orf27	15	76352299	76497304
C15orf28	15	69096160	69099440
C15orf29	15	34432875	34502297
C15orf33	15	49620592	49913118
C15orf34	15	72668454	72671129
C15orf37	15	80215113	80217196
C15orf39	15	75494221	75504510
C15orf40	15	83657715	83680393
C15orf41	15	36871812	37102449
C15orf42	15	90118818	90171253
C15orf44	15	65871118	65903469
C15orf5	15	77516250	77517746
C15orf50	15	70127573	70135306
C15orf51	15	100330361	100347132
C15orf52	15	40623653	40633168
C15orf54	15	39542885	39547048
C15orf55	15	34638066	34649931
C15orf56	15	40542868	40545110
C15orf57	15	40845298	40857252
C15orf58	15	90777487	90785312
C15orf59	15	74032141	74043816
C15orf60	15	73735499	73852353
C15orf61	15	67813522	67819641
C15orf62	15	41062159	41064648
C15orf63+SERF2+SERF2-C15ORF63	15	44069294	44094769
C16orf13	16	684429	686347
C16orf3	16	90095316	90096309
C16orf42	16	1399241	1401873
C16orf45	16	15528325	15682116
C16orf46	16	81087102	81110872
C16orf48	16	67696850	67700628
C16orf5	16	4560677	4588816
C16orf52	16	22019456	22095972
C16orf54	16	29753786	29757340
C16orf55	16	89724210	89737675
C16orf57	16	58035277	58055527
C16orf58	16	31500813	31519706
C16orf59	16	2510115	2514964
C16orf61	16	81009699	81040502
C16orf62	16	19566737	19712485
C16orf63	16	15959577	15982447
C16orf68	16	8715527	8740079
C16orf7	16	89773541	89787394
C16orf70	16	67143915	67182442
C16orf71	16	4784289	4799397
C16orf72	16	9185537	9213555
C16orf73	16	1883984	1922179
C16orf74	16	85741124	85784689
C16orf75	16	11439311	11445617
C16orf79	16	2259254	2261069
C16orf80	16	58147497	58163296
C16orf81	16	89225628	89230083
C16orf82	16	27078219	27080487
C16orf86	16	67700717	67702661
C16orf87	16	46835959	46865074
C16orf88	16	19717674	19729492
C16orf89	16	5094123	5116111
C16orf90	16	3543484	3545421
C16orf91	16	1469944	1479345
C16orf93	16	30768744	30773565
C17orf100	17	6555059	6556617
C17orf101	17	80347086	80376513
C17orf102	17	32901142	32906388
C17orf103	17	21142184	21156578
C17orf104	17	42733762	42753165
C17orf105	17	41857803	41862054
C17orf106	17	73975301	73996667
C17orf107	17	4802948	4806227
C17orf108	17	26205340	26220409
C17orf28	17	72946839	72968900
C17orf37	17	37885409	37886788
C17orf39	17	17942611	17971718
C17orf42	17	29226001	29233286
C17orf44	17	8123948	8127361
C17orf46	17	43331760	43339479
C17orf47	17	56618948	56621683
C17orf48	17	10600927	10614875
C17orf49	17	6918073	6920839
C17orf50	17	34087916	34092098
C17orf51	17	21431571	21454941
C17orf53	17	42219274	42239844
C17orf54	17	71745409	71824676
C17orf55	17	79276624	79283048
C17orf56	17	79202077	79212891
C17orf57	17	45401327	45518677
C17orf58	17	65987217	65989765
C17orf59	17	8091651	8093564
C17orf60	17	62461569	62464760
C17orf61	17	7306295	7307418
C17orf62	17	80400463	80408707
C17orf63	17	27082996	27169841
C17orf64	17	58499865	58508787
C17orf65	17	42253352	42264082
C17orf66	17	34181960	34195895
C17orf67	17	54869274	54893250
C17orf68	17	8128139	8151413
C17orf69	17	43716341	43723595
C17orf70	17	79506911	79519429
C17orf71	17	57287371	57292611
C17orf72	17	62075711	62081644
C17orf73	17	48834759	48844918
C17orf75	17	30658390	30669189
C17orf76	17	16345328	16395480
C17orf78	17	35732985	35749662
C17orf79	17	30178884	30186326
C17orf80	17	71228776	71245095
C17orf81	17	7155372	7163259
C17orf82	17	59489112	59490641
C17orf85	17	3714460	3749540
C17orf86	17	75084725	75091068
C17orf87	17	5113901	5138083
C17orf88	17	41994576	41995355
C17orf89	17	79213111	79215098
C17orf90	17	79632066	79633618
C17orf95	17	74722950	74729962
C17orf96	17	36827959	36831187
C17orf97	17	260118	264457
C17orf98	17	36991341	36997642
C17orf99	17	76142434	76162364
C18orf1	18	13218786	13652753
C18orf10	18	34376034	34409158
C18orf16	18	24445272	24515910
C18orf18	18	5236723	5238028
C18orf19	18	13663346	13726591
C18orf2	18	1268312	1359630
C18orf20	18	61747243	61816260
C18orf21	18	33552588	33559241
C18orf25	18	43753988	43846955
C18orf32+RPL17+RPL17-C18ORF32+SNORD58B	18	47007548	47018935
C18orf34	18	30517366	31020685
C18orf45	18	20875979	21017925
C18orf54	18	51885171	51908404
C18orf55	18	71815746	71826204
C18orf56	18	649620	658340
C18orf62	18	73121827	73139589
C18orf8	18	21083462	21111744
C19orf10	19	4657557	4670415
C19orf12	19	30189793	30206452
C19orf18	19	58469805	58485902
C19orf2	19	30433425	30506613
C19orf20	19	507497	519654
C19orf21	19	751146	764318
C19orf22	19	896503	913225
C19orf23	19	1267470	1270259
C19orf24	19	1275520	1279243
C19orf25	19	1473200	1479228
C19orf26	19	1229947	1237990
C19orf28	19	3538263	3557571
C19orf29	19	3610627	3626813
C19orf30	19	4769117	4772568
C19orf34	19	1952526	1954548
C19orf35	19	2274631	2282181
C19orf38	19	10959106	10980360
C19orf39	19	11485383	11487627
C19orf40	19	33463148	33467960
C19orf42	19	16756959	16770968
C19orf43	19	12841454	12845529
C19orf44	19	16607205	16632163
C19orf45	19	7562445	7573336
C19orf46	19	36494002	36499672
C19orf47	19	40826971	40854293
C19orf48	19	51300961	51307974
C19orf50	19	18668572	18680197
C19orf51	19	55670031	55678018
C19orf52	19	11039424	11040916
C19orf53	19	13885257	13889586
C19orf54	19	41246761	41255828
C19orf55	19	36249044	36260077
C19orf56	19	12778881	12780465
C19orf57	19	13993168	14016909
C19orf59	19	7741943	7744719
C19orf6	19	1009650	1021141
C19orf60	19	18699495	18703147
C19orf61	19	44235301	44259142
C19orf62	19	17378232	17390162
C19orf63	19	50979736	50986608
C19orf66	19	10196806	10203928
C19orf69	19	41949063	41950670
C19orf70	19	5678433	5680911
C19orf71	19	3539155	3544028
C19orf73	19	49621654	49622397
C19orf76	19	50191942	50194247
C19orf77	19	3474405	3480540
C1D	2	68269332	68290159
C1GALT1	7	7222246	7288251
C1orf100	1	244515937	244552393
C1orf101	1	244624673	244803662
C1orf103	1	111489812	111506566
C1orf104	1	155290251	155293938
C1orf105	1	172389828	172437969
C1orf106	1	200860639	200884864
C1orf107	1	210001312	210030910
C1orf109	1	38147242	38156192
C1orf110	1	162824087	162838605
C1orf111	1	162343515	162346644
C1orf112	1	169764550	169822229
C1orf113	1	36771994	36786948
C1orf114	1	169364114	169396670
C1orf115	1	220863628	220872499
C1orf116	1	207191866	207206101
C1orf122	1	38273473	38275126
C1orf123	1	53679772	53686289
C1orf124	1	231473682	231489989
C1orf125	1	179334855	179523870
C1orf126	1	15438311	15478960
C1orf127	1	11006530	11042094
C1orf128	1	24104876	24114722
C1orf129	1	170904612	171033906
C1orf130	1	24882567	24935818
C1orf131	1	231359509	231376924
C1orf133	1	210404804	210407466
C1orf135	1	26160497	26185848
C1orf14	1	182869000	182922553
C1orf141	1	67557859	67594220
C1orf144	1	16693583	16724640
C1orf146	1	92683573	92711367
C1orf150	1	247712451	247739848
C1orf151	1	19923471	19956314
C1orf152	1	144610815	144612727
C1orf156	1	169761673	169764031
C1orf158	1	12806163	12821102
C1orf159	1	1017198	1051736
C1orf161	1	116654376	116677861
C1orf162	1	112016604	112021134
C1orf163	1	53152014	53164038
C1orf168	1	57184477	57285369
C1orf170	1	910579	917473
C1orf172	1	27276047	27286901
C1orf173	1	75033795	75139422
C1orf174	1	3805697	3816857
C1orf175+TTC4+C1orf175-TTC4	1	55107427	55208328
C1orf177	1	55271736	55307937
C1orf180	1	85093913	85100703
C1orf182	1	156307105	156316785
C1orf183	1	112264686	112298419
C1orf186	1	206238872	206288647
C1orf187	1	11751781	11780336
C1orf189	1	154171848	154178809
C1orf190	1	46669006	46686928
C1orf192	1	161334521	161337664
C1orf194	1	109648573	109656479
C1orf198	1	230972865	231005335
C1orf200	1	9712668	9714644
C1orf201	1	24683489	24741587
C1orf21	1	184356150	184598155
C1orf210	1	43747557	43751288
C1orf212	1	35315963	35325417
C1orf213	1	23695464	23698330
C1orf216	1	36179477	36184790
C1orf220	1	178511931	178518024
C1orf223	1	47137500	47139251
C1orf226	1	162348696	162356608
C1orf227	1	213003485	213020991
C1orf228	1	45140394	45191263
C1orf229	1	247273462	247275719
C1orf230	1	151694013	151702082
C1orf25	1	185087218	185126116
C1orf26	1	185126192	185260913
C1orf27	1	186344890	186390503
C1orf31	1	234509429	234519791
C1orf35	1	228288428	228291022
C1orf38	1	28199055	28213193
C1orf43	1	154179183	154193273
C1orf49	1	178482212	178492635
C1orf50	1	43232916	43241415
C1orf51	1	150255229	150259501
C1orf52	1	85715637	85725355
C1orf53	1	197871682	197876497
C1orf54	1	150245183	150253335
C1orf55	1	226170403	226187066
C1orf56	1	151020259	151023871
C1orf59	1	109190910	109204148
C1orf61	1	156374055	156399184
C1orf63	1	25568740	25573985
C1orf65	1	223566715	223568812
C1orf66	1	156698263	156706752
C1orf69	1	228353429	228369958
C1orf70	1	1470158	1475740
C1orf74	1	209955662	209957890
C1orf77	1	153606525	153617979
C1orf83	1	54519274	54565416
C1orf84	1	43855556	43872565
C1orf85	1	156262484	156265449
C1orf87	1	60456066	60539442
C1orf88	1	111889195	111895639
C1orf89	1	16558182	16563659
C1orf9	1	172502260	172580973
C1orf91	1	32681798	32687926
C1orf92	1	156890424	156902880
C1orf93	1	2517899	2522908
C1orf94	1	34632624	34684731
C1orf95	1	226736501	226796915
C1orf96	1	229456752	229478688
C1orf97	1	211556097	211605877
C1QA	1	22963118	22966175
C1QB	1	22979682	22988029
C1QBP	17	5336099	5342471
C1QC	1	22970118	22974603
C1QL1	17	43037061	43045644
C1QL2	2	119913819	119916471
C1QL3	10	16555742	16564004
C1QL4	12	49726200	49730971
C1QTNF1	17	77020251	77045870
C1QTNF2	5	159774775	159797648
C1QTNF3	5	34017963	34043317
C1QTNF4	11	47611216	47615961
C1QTNF5+MFRP	11	119209652	119217383
C1QTNF6	22	37576206	37584330
C1QTNF7	4	15341560	15447791
C1QTNF8	16	1138226	1146244
C1QTNF9	13	24883716	24896669
C1QTNF9B	13	24465428	24471125
C1R	12	7187515	7245043
C1RL	12	7247146	7261869
C1S	12	7167980	7178335
C2	6	31868776	31913449
C20orf103	20	9495005	9511171
C20orf106	20	55099785	55101208
C20orf107	20	55108302	55111576
C20orf108	20	54933983	54943718
C20orf11	20	61569441	61579827
C20orf111	20	42825136	42839431
C20orf112	20	31030862	31071288
C20orf114	20	31870941	31897684
C20orf117	20	35405845	35492087
C20orf118	20	35504570	35522632
C20orf12	20	18364011	18447829
C20orf123	20	45169585	45179213
C20orf132	20	35729629	35807974
C20orf134	20	32254304	32256331
C20orf144	20	32250092	32251721
C20orf151	20	60985293	61002629
C20orf152	20	34556529	34618622
C20orf160	20	30598245	30619984
C20orf165	20	44515130	44516238
C20orf173	20	34108570	34117481
C20orf177	20	58508819	58523702
C20orf186	20	31669318	31699557
C20orf191	20	26084052	26094677
C20orf194	20	3229948	3388255
C20orf195	20	62184373	62188035
C20orf196	20	5731043	5844559
C20orf197	20	58630980	58648008
C20orf20	20	61427805	61431945
C20orf200	20	61141438	61148768
C20orf202	20	1184098	1188918
C20orf203	20	31219427	31239783
C20orf26	20	20033158	20341346
C20orf27	20	3734158	3748452
C20orf29	20	3801203	3805954
C20orf3	20	24943580	24973425
C20orf30	20	5080484	5093733
C20orf4	20	34824447	34844853
C20orf43	20	55043647	55093942
C20orf46	20	1161215	1165117
C20orf54	20	740724	749228
C20orf7	20	13765672	13799067
C20orf70	20	31755960	31769223
C20orf72	20	17949762	17971762
C20orf94	20	10415951	10604027
C20orf96	20	251524	271390
C21orf119	21	33765442	33766266
C21orf121	21	43442113	43445060
C21orf122	21	46490871	46493126
C21orf125	21	44869904	44873771
C21orf128	21	43522244	43528644
C21orf129	21	43131680	43135935
C21orf130	21	42513427	42519991
C21orf15	21	15215454	15220685
C21orf2	21	45748827	45759285
C21orf29	21	45917775	46131495
C21orf33	21	45553494	45565605
C21orf34	21	17442842	17982094
C21orf37	21	18811208	18821503
C21orf45	21	33640530	33651376
C21orf49	21	34144411	34170016
C21orf54	21	34537776	34542541
C21orf56	21	47581062	47604373
C21orf58	21	47721047	47743785
C21orf59	21	33973984	33984918
C21orf62	21	34162984	34186053
C21orf63	21	33784752	33887697
C21orf67	21	46353199	46359828
C21orf7	21	30452873	30548202
C21orf70	21	46359955	46396888
C21orf71	21	26955087	26955536
C21orf81	21	15316096	15352765
C21orf82	21	35552978	35562220
C21orf84	21	44881974	44898103
C21orf88	21	40969075	40984749
C21orf90	21	45937098	45938860
C21orf91	21	19161284	19191703
C22orf13	22	24936406	24951275
C22orf15	22	24105208	24108050
C22orf23	22	38339533	38349603
C22orf24	22	32329507	32341336
C22orf25	22	20008631	20053447
C22orf26	22	46446339	46450024
C22orf27	22	31318295	31322640
C22orf28	22	32783562	32808274
C22orf30	22	32077334	32146120
C22orf31	22	29454660	29457907
C22orf32	22	42475699	42480288
C22orf34	22	50013290	50051190
C22orf36	22	24981591	24989035
C22orf39	22	19428410	19435755
C22orf40	22	46639910	46646193
C22orf41	22	50989541	51001328
C22orf42	22	32545519	32555243
C22orf43	22	23950639	23974508
C22orf45	22	24825178	24890783
C22orf46	22	42086547	42094140
C22orf9	22	45588123	45636650
C2CD2	21	43305219	43373999
C2CD2L	11	118978093	118987827
C2CD3	11	73745480	73882064
C2CD4A	15	62359176	62363116
C2CD4B	15	62455737	62457482
C2CD4C	19	405443	409170
C2CD4D	1	151810339	151813033
C2orf14	2	131437623	131443435
C2orf15	2	99758185	99767928
C2orf16	2	27799389	27805589
C2orf18	2	26987142	27004099
C2orf24	2	220036619	220041702
C2orf27A	2	132480064	132524977
C2orf27B	2	132552534	132559234
C2orf28	2	27434899	27440046
C2orf29	2	101869345	101886778
C2orf3	2	75889832	75938111
C2orf34	2	44589043	44999729
C2orf39	2	26624784	26679579
C2orf40	2	106682113	106694609
C2orf42	2	70377017	70418151
C2orf43	2	20884818	21022827
C2orf44	2	24252206	24270296
C2orf46	2	8147901	8468549
C2orf47	2	200820040	200828847
C2orf48	2	10281509	10351856
C2orf49	2	105954013	105961984
C2orf50	2	11273179	11286916
C2orf52	2	232373137	232379050
C2orf54	2	241825465	241835573
C2orf55	2	99410309	99552684
C2orf56	2	37458774	37476303
C2orf57	2	232457575	232458994
C2orf58	2	38358247	38408993
C2orf60	2	200793634	200820459
C2orf61	2	47314130	47382517
C2orf62	2	219221579	219232817
C2orf63	2	55399687	55459699
C2orf64	2	99215865	99224955
C2orf65	2	74785010	74875164
C2orf66	2	197670009	197675000
C2orf67	2	210885435	211036051
C2orf68	2	85832376	85839179
C2orf69	2	200775979	200792996
C2orf7	2	73455134	73460356
C2orf70	2	26785481	26802395
C2orf71	2	29284558	29297127
C2orf72	2	231902281	231914427
C2orf73	2	54558071	54588714
C2orf74	2	61372243	61391964
C2orf76	2	120060020	120124258
C2orf77	2	170501935	170550931
C2orf78	2	74011316	74044274
C2orf79	2	25013136	25016251
C2orf80	2	209030071	209054773
C2orf81	2	74641303	74644844
C2orf82	2	233734994	233741107
C2orf84	2	24397972	24414567
C2orf86	2	63348535	63815851
C2orf88	2	191002486	191068210
C2orf89	2	85048796	85108252
C3	19	6677846	6720662
C3AR1	12	8210919	8218955
C3orf1	3	119217368	119243125
C3orf10	3	10157333	10168874
C3orf14	3	62305396	62319320
C3orf15	3	119421869	119485949
C3orf16	3	149478890	149510610
C3orf17	3	112721292	112738555
C3orf18	3	50595456	50608458
C3orf19	3	14693253	14714166
C3orf20	3	14716606	14814543
C3orf21	3	194789013	194991895
C3orf23	3	44379611	44450940
C3orf25	3	129120164	129147494
C3orf26	3	99536678	99897476
C3orf27	3	128290843	128294929
C3orf30	3	118864997	118870302
C3orf31	3	11831919	11888352
C3orf32	3	8661320	8693737
C3orf33	3	155480401	155524055
C3orf34	3	196433148	196439123
C3orf35	3	37440968	37476988
C3orf36	3	133646990	133648656
C3orf37	3	128997684	129024135
C3orf38	3	88198893	88207115
C3orf39	3	43120729	43147565
C3orf42	3	10326103	10327430
C3orf43	3	196233750	196242237
C3orf45	3	50316518	50325545
C3orf47	3	129035114	129043412
C3orf48	3	20021453	20053765
C3orf49	3	63805041	63834312
C3orf51	3	55691243	55693497
C3orf52	3	111805182	111837073
C3orf54	3	49840687	49842463
C3orf55	3	157261159	157319021
C3orf57	3	161062580	161089871
C3orf58	3	143690640	143711210
C3orf59	3	192514605	192635950
C3orf62	3	49306030	49314508
C3orf63	3	56654160	56717135
C3orf64	3	69024368	69062774
C3orf65	3	185431040	185435955
C3orf66	3	108897012	108904108
C3orf67	3	58727737	59035715
C3orf70	3	184795838	184870802
C3orf71	3	48955221	48956818
C3orf72	3	138666076	138672830
C3orf75	3	47537130	47555199
C3orf78	3	52570621	52574586
C3orf79	3	153202284	153220486
C3P1	19	10152032	10184813
C4A+C4B	6	31949834	32003195
C4BPA	1	207277607	207318317
C4BPB	1	207262212	207273337
C4orf10	4	2937278	2952794
C4orf11	4	83534266	83542590
C4orf14	4	57829516	57843826
C4orf17	4	100432161	100463460
C4orf19	4	37455552	37595132
C4orf21	4	113460489	113558151
C4orf22	4	81256874	81884902
C4orf23	4	8442532	8478282
C4orf26	4	76481258	76489927
C4orf27	4	170650619	170679093
C4orf29	4	128886461	128952455
C4orf3	4	120217574	120225600
C4orf31	4	121956782	121993673
C4orf32	4	113066553	113110237
C4orf33	4	130014829	130033843
C4orf34	4	39552546	39640481
C4orf36	4	87797358	87813575
C4orf37	4	98480025	99064391
C4orf38	4	184018174	184020352
C4orf39	4	165878100	165880273
C4orf40	4	71019904	71032326
C4orf41	4	184580446	184634745
C4orf42	4	1243228	1246795
C4orf43	4	164415673	164441691
C4orf44	4	3250767	3258342
C4orf45	4	159814684	159956333
C4orf46	4	159587831	159593202
C4orf47	4	186350545	186370821
C4orf48	4	2043720	2045697
C4orf49	4	140187317	140201492
C4orf51	4	146601356	146653948
C4orf52	4	25915814	25931501
C4orf6	4	5526883	5529527
C4orf7	4	71091815	71100968
C5	9	123714614	123812554
C5AR1	19	47813104	47825327
C5orf13	5	111065000	111312628
C5orf15	5	133291198	133304406
C5orf20	5	134779904	134783038
C5orf22	5	31532373	31555165
C5orf23	5	32788945	32791819
C5orf24	5	134181370	134195425
C5orf25	5	175665370	175772990
C5orf27	5	95187936	95195836
C5orf28	5	43444354	43483992
C5orf30	5	102594442	102614361
C5orf32	5	139554653	139623374
C5orf33	5	36192694	36242258
C5orf34	5	43486803	43515273
C5orf35	5	56205087	56221359
C5orf36	5	93486556	93954309
C5orf38	5	2752262	2755511
C5orf39	5	43039182	43040447
C5orf4	5	154198052	154230213
C5orf40	5	156768607	156772729
C5orf41	5	172483355	172566291
C5orf42	5	37106330	37249530
C5orf43	5	60453536	60458302
C5orf44	5	64920558	64961954
C5orf45	5	179264266	179285840
C5orf46	5	147272271	147286101
C5orf47	5	173416162	173433143
C5orf48	5	125967414	125971974
C5orf49	5	7831511	7851264
C5orf51	5	41904470	41921738
C5orf53	5	139505521	139508391
C5orf54	5	159820155	159827060
C5orf55	5	441643	443258
C5orf56	5	131746673	131798059
C5orf58	5	169659950	169673235
C5orf60	5	179068558	179072047
C5orf62	5	150157508	150176298
C6	5	41142336	41261540
C6orf1	6	34214157	34216904
C6orf10	6	32260475	32339656
C6orf103	6	146920136	147136597
C6orf105	6	11713888	11779280
C6orf106	6	34555066	34664625
C6orf108	6	43193367	43197211
C6orf112	6	105585562	105617819
C6orf114	6	13469509	13486415
C6orf115	6	139349819	139364439
C6orf118	6	165693153	165723111
C6orf120	6	170102257	170106402
C6orf123	6	168185219	168197539
C6orf124	6	168224570	168227476
C6orf125	6	33665346	33679504
C6orf126	6	35744392	35747329
C6orf127	6	35748831	35755841
C6orf129	6	37450697	37467700
C6orf130	6	41034531	41040188
C6orf132	6	42068857	42110715
C6orf136	6	30614816	30620987
C6orf138	6	47845764	48036425
C6orf141	6	49518113	49519808
C6orf142	6	53883714	54131078
C6orf145	6	3722836	3752246
C6orf146	6	4068601	4079391
C6orf147	6	73983862	74020088
C6orf150	6	74134856	74162043
C6orf154	6	43474707	43478424
C6orf155	6	72124149	72130448
C6orf162	6	88032306	88052043
C6orf163	6	88054571	88075181
C6orf164	6	88106842	88109459
C6orf165	6	88117690	88174191
C6orf168	6	99720793	99797531
C6orf170	6	121400627	121655644
C6orf174+KIAA0408	6	127759551	127840500
C6orf176	6	166337536	166401527
C6orf186	6	110567149	110679475
C6orf191	6	130152389	130182416
C6orf192	6	133090507	133119747
C6orf195	6	2622972	2635298
C6orf201	6	4079440	4130999
C6orf203	6	107349407	107372547
C6orf204	6	118781935	119031238
C6orf208	6	170190169	170202969
C6orf211	6	151773422	151791232
C6orf218	6	10428018	10435055
C6orf222	6	36283535	36304662
C6orf223	6	43968337	43973694
C6orf225	6	112408674	112423993
C6orf226	6	42858003	42858554
C6orf227	6	33553883	33561115
C6orf25	6	31691161	31692851
C6orf26	6	31730773	31732624
C6orf27	6	31733371	31745108
C6orf35	6	157710054	157745253
C6orf47	6	31626075	31628549
C6orf48	6	31802693	31807541
C6orf52	6	10671651	10695030
C6orf57	6	71276625	71298606
C6orf58	6	127898319	127912960
C6orf62	6	24705090	24719403
C6orf64	6	39071840	39082865
C6orf70	6	170151721	170181617
C6orf72	6	149887528	149912067
C6orf81	6	35704859	35716685
C6orf89	6	36853640	36896740
C6orf94	6	144185573	144259483
C6orf97	6	151815175	151942328
C6orf99	6	159309619	159331385
C7	5	40909599	40983042
C7orf10	7	40174575	40900366
C7orf11	7	40172342	40174251
C7orf13	7	156431060	156433348
C7orf16	7	31726631	31748069
C7orf23	7	86825478	86849031
C7orf25	7	42948872	42951689
C7orf26	7	6629915	6648355
C7orf27	7	2577444	2595392
C7orf28B	7	6838566	6865926
C7orf29	7	150026938	150029811
C7orf30	7	23338940	23349180
C7orf31	7	25174316	25219817
C7orf34	7	142636603	142637957
C7orf36	7	39606003	39612480
C7orf40	7	45022627	45026259
C7orf41	7	30174552	30202381
C7orf42	7	66386203	66423538
C7orf43	7	99752043	99756302
C7orf44	7	43678859	43769083
C7orf45	7	129847704	129856684
C7orf46	7	23719749	23742269
C7orf47	7	100032912	100034094
C7orf49	7	134850532	134855532
C7orf50	7	1036623	1177893
C7orf51	7	100081550	100092422
C7orf52	7	100813774	100823557
C7orf53	7	112120908	112130943
C7orf54	7	127637562	127640130
C7orf55	7	139025897	139030541
C7orf57	7	48075117	48100894
C7orf58	7	120628751	120937498
C7orf59	7	99746530	99751833
C7orf60	7	112459202	112579932
C7orf61	7	100054238	100061894
C7orf63	7	89874488	89940377
C7orf64	7	92158087	92166823
C7orf65	7	47694842	47701246
C7orf68	7	128095884	128098472
C7orf70	7	6369040	6388590
C7orf71	7	26677490	26686924
C8A	1	57320443	57383894
C8B	1	57394883	57431688
C8G	9	139839698	139841426
C8orf12+TDH	8	11197146	11296166
C8orf30A	8	145192672	145440828
C8orf31	8	144120679	144135720
C8orf33	8	146277824	146281416
C8orf34	8	69242957	69731258
C8orf37	8	96257141	96281462
C8orf38	8	96037221	96070938
C8orf39	8	94752339	94753047
C8orf4	8	40010989	40012821
C8orf40	8	42396298	42408140
C8orf41	8	33356236	33370703
C8orf42	8	441646	495331
C8orf44	8	67588454	67593235
C8orf45	8	67782984	67834283
C8orf46	8	67405491	67430759
C8orf47	8	99076750	99105838
C8orf48	8	13424352	13425797
C8orf51	8	144448793	144450805
C8orf55	8	143808621	143818350
C8orf56	8	104145191	104153570
C8orf58	8	22457114	22461662
C8orf59	8	86126288	86132643
C8orf73	8	144648363	144654928
C8orf74	8	10530147	10558103
C8orf75	8	29578776	29605625
C8orf76	8	124232231	124253617
C8orf77	8	146228197	146231432
C8orf79	8	12803183	12887284
C8orf80	8	27879481	27941388
C8orf82+LRRC24	8	145747761	145754458
C8orf83	8	93895758	93978372
C8orf84	8	73976778	74005507
C8orf85	8	117950464	117956239
C8orf86	8	38368352	38386180
C8ORFK29	8	145576886	145578505
C9	5	39284378	39364655
C9orf100	9	35659341	35665278
C9orf102	9	98637900	98731122
C9orf103	9	86238033	86259045
C9orf106	9	132083295	132084882
C9orf11	9	27284654	27297137
C9orf114	9	131584345	131592085
C9orf116	9	138387026	138391761
C9orf117	9	130469271	130476303
C9orf119	9	131038425	131051268
C9orf123	9	7796491	7799799
C9orf125	9	104237608	104249475
C9orf128	9	35817014	35828744
C9orf129	9	96080481	96108696
C9orf130	9	98568370	98638259
C9orf131	9	35041102	35045988
C9orf135	9	72435731	72521148
C9orf139	9	139921916	139931234
C9orf140	9	139956579	139965028
C9orf142	9	139886870	139888428
C9orf144	9	34830264	34838583
C9orf144B	9	34723050	34729535
