geneid	chrm_probe	s1	s2
ACTN4	19	39138267	39221171
ACTR10	14	58666833	58702353
ACTR1A	10	104238986	104262512
ACTR1B	2	98272402	98280561
ACTR2	2	65454829	65498390
ACTR3	2	114647537	114716167
ACTR3B	7	152456851	152552463
ACTR3C	7	149944301	150020758
ACTR5	20	37377097	37401089
ACTR6	12	100594574	100618201
ACTR8	3	53901094	53916229
ACTRT2	1	2938046	2939467
ACVR1	2	158592958	158732374
ACVR1B	12	52345451	52390863
ACVR1C	2	158383279	158485399
ACVR2A	2	148602570	148688393
ACVR2B	3	38495790	38534633
ACVRL1	12	52301202	52317145
ACY3	11	67410026	67418130
ACYP1	14	75519928	75530736
ACYP2	2	54342410	54532435
ADA	20	43248163	43280376
ADAD1	4	123300121	123350947
ADAD2	16	84224723	84230772
ADAL	15	43622872	43646096
ADAM1	12	112336867	112339706
ADAM10	15	58888510	59042177
ADAM11	17	42836568	42859214
ADAM12	10	127702902	128077127
ADAM15	1	155023762	155035252
ADAM17	2	9629411	9695917
ADAM19	5	156904312	157002783
ADAM2	8	39601255	39695779
ADAM20	14	70989078	71001732
ADAM21	14	70924217	70926622
ADAM21P1	14	70712470	70714518
ADAM22	7	87563566	87832204
ADAM23	2	207308368	207482679
ADAM28	8	24151580	24212726
ADAM29	4	175839509	175899331
ADAM30	1	120436156	120439113
ADAM32	8	38965050	39142436
ADAM33	20	3648620	3662738
ADAM7	8	24298509	24366275
ADAM8	10	135075920	135090407
ADAM9	8	38854505	38962779
ADAMDEC1	8	24241798	24263526
ADAMTS1	21	28208606	28217728
ADAMTS10	19	8645126	8675588
ADAMTS12	5	33527287	33892124
ADAMTS13	9	136279459	136324508
ADAMTS14	10	72432559	72522195
ADAMTS15	11	130318869	130346539
ADAMTS16	5	5140443	5320412
ADAMTS17	15	100511643	100882183
ADAMTS18	16	77316025	77469011
ADAMTS19	5	128796103	129074376
ADAMTS2	5	178537852	178772431
ADAMTS3	4	73146687	73434516
ADAMTS4	1	161159538	161168845
ADAMTS5	21	28290231	28339439
ADAMTS6	5	64444563	64777704
ADAMTS7	15	79051545	79103773
ADAMTS8	11	130274818	130298539
ADAMTS9	3	64501331	64673365
ADAMTSL1	9	18474104	18910947
ADAMTSL2	9	136397286	136440641
ADAMTSL3	15	84322838	84708593
ADAMTSL4	1	150521898	150533412
ADAMTSL5	19	1505017	1513188
ADAP1	7	937537	994289
ADAP2	17	29248754	29286211
ADAR	1	154554534	154600456
ADARB1	21	46494493	46646478
ADARB2	10	1228073	1779718
ADAT1	16	75632247	75657221
ADAT2	6	143743969	143771841
ADC	1	33546714	33585995
ADCK1	14	78266426	78400297
ADCK2	7	140372953	140394908
ADCK3	1	227127938	227175246
ADCK4	19	41197434	41222790
ADCK5	8	145597731	145618453
ADCY1	7	45614125	45762714
ADCY10	1	167778625	167883453
ADCY2	5	7396343	7830194
ADCY3	2	25042039	25142055
ADCY4	14	24787555	24804277
ADCY5	3	123001143	123167392
ADCY6	12	49159975	49182820
ADCY7	16	50321823	50352043
ADCY8	8	131792547	132052835
ADCY9	16	4012650	4166186
ADCYAP1	18	904944	912173
ADCYAP1R1	7	31092076	31151093
ADD1	4	2845584	2931789
ADD2	2	70889216	70995375
ADD3	10	111765726	111895323
ADH1A	4	100197523	100212185
ADH1B	4	100227527	100242572
ADH1C	4	100257649	100273917
ADH4	4	100044833	100065449
ADH5	4	99992130	100009931
ADH6	4	100123795	100140403
ADH7	4	100333418	100356667
ADHFE1	8	67344718	67381044
ADI1	2	3501690	3523350
ADIPOR1	1	202909961	202927700
ADIPOR2	12	1800247	1897845
ADK	10	75910965	76469060
ADM	11	10326642	10328923
ADM2	22	50920012	50924866
ADNP	20	49506883	49547527
ADNP2	18	77866915	77898228
ADO	10	64564516	64568239
ADORA1	1	203096836	203136533
ADORA2A	22	24823530	24838325
ADORA2B	17	15848231	15879210
ADORA3	1	112025970	112106597
ADPGK	15	73043708	73076126
ADPRH	3	119298523	119308792
ADPRHL1	13	114076260	114107839
ADPRHL2	1	36554453	36559533
ADRA1A	8	26605667	26722922
ADRA1B	5	159343740	159400017
ADRA1D	20	4201278	4229659
ADRA2A	10	112836790	112840662
ADRA2B	2	96778623	96781888
ADRA2C	4	3768296	3770253
ADRB1	10	115803806	115806667
ADRB2	5	148206156	148208197
ADRBK1	11	67033905	67054029
ADRBK2	22	25960861	26125258
ADRM1	20	60878027	60883918
ADSL	22	40742504	40762575
ADSS	1	244571794	244615436
ADSSL1	14	105190534	105213647
AEBP1	7	44143960	44154159
AEBP2	12	19592608	19675173
