gene,mean_cpm,mean_log2cpm,cv
TMED4,44.046715995464545,5.49335002912258,0.1622499510184711
C9orf78,43.85429416224958,5.487174204224165,0.1660078700669974
CIAO1,59.836365020946495,5.9268620493481805,0.16685280885554557
PTCD3,53.92160956097588,5.779302001355828,0.17082927349927304
ENSA,78.87196032480877,6.319617217563344,0.1717670849399812
SMIM7,38.86296927505804,5.316977271167069,0.17647657918310944
EIF4E2,43.68162517686041,5.4816097559090515,0.17811671043901986
SMAD4,51.03200391723662,5.701327366026441,0.17834785313717322
ARAF,66.35342435685949,6.073679391385197,0.1789235572039396
OCIAD1,77.7401008162674,6.299026654565367,0.1792749942472441
TMEM248,70.42172698901533,6.1582911138346565,0.18001884175084712
LRRC47,43.981865912424226,5.491271602307395,0.18178341811692728
SECISBP2,42.78288439819493,5.452295096685714,0.1836045070022895
GGNBP2,41.34874975682994,5.4042474730340615,0.18382040249636453
AKT2,149.23011205767466,7.231030204771968,0.18384026264876385
SETD2,47.90567590649498,5.611930006423912,0.1842209167887028
CUL4A,57.213116440185885,5.863272349244375,0.18558000991774115
UBAC2,41.80912172144171,5.419846332171358,0.18733796923814333
TXN2,78.08001028291594,6.305241153550726,0.18806737828682143
ARFGAP2,80.79176457468158,6.353883683709738,0.1886079458250345
YY1,62.7535508388497,5.994433791916691,0.18897857310093358
TRPC4AP,82.78612496218834,6.388639447337014,0.18903786618164256
AK2,124.85081098452747,6.975570703052212,0.19045442116413266
SURF1,38.30124642021618,5.296503162479383,0.190903224947525
WIPI2,48.19428784213574,5.620418902723258,0.19091519614646263
CREBBP,53.723853708377895,5.77409792471279,0.19202178865222494
PDS5A,57.022080257479644,5.858530116092846,0.19268214182122503
LSM14A,51.342482946152714,5.709910457353898,0.19289981813136758
ADNP,45.42397429581429,5.536798130095137,0.1932688622487766
GID8,44.29645679450687,5.501326298251229,0.19354522407102337
STAT5B,53.01254057917369,5.7552225045875955,0.19376716940301167
NDUFA10,94.48519769601018,6.577205195933782,0.19439562342822977
PUM1,40.57685215390795,5.377708628604098,0.19453752772854668
NUDCD3,52.07996435403321,5.730095496750766,0.19507025360244593
NUMB,63.394220607813054,6.008859306913586,0.1952873751885732
DELE1,56.80241455875429,5.853057854035165,0.19531205127817414
TTC17,56.73127895637434,5.851281281493762,0.19584476255552524
SEPHS1,40.32196346576428,5.368836902212812,0.1959395106938136
ASCC2,59.41107972428079,5.916741266910351,0.19658178359117806
UBR2,40.85652243423795,5.387380548017296,0.19671319872987578
RAB5B,85.96117970991286,6.442299606895829,0.19747534977210493
PUM2,76.45204234815603,6.275231377113412,0.19799064803513214
AP2A2,77.71930955305895,6.29864566174406,0.19813761429155313
UBE2R2,55.517645773657506,5.8206294667622025,0.19828958261548493
PPP4R3A,51.16968854156491,5.705139915240156,0.19836361889070758
PAFAH1B1,49.52445308235362,5.658909894676009,0.19891904725645473
API5,50.47445436159589,5.685784727000999,0.20039951657466468
POLDIP2,159.50600749238882,7.326483485983859,0.20091333677251538
ATXN7L3B,46.97206469436028,5.584122628656744,0.20111039350578272
LMF2,65.79609698562012,6.061691900820257,0.20133127656311503
RAB14,109.54861046718779,6.788537081191224,0.20187868886025104
DCAF5,59.69993295189999,5.923623017793117,0.2021622835615813
PPIG,45.30662648612113,5.533146753051365,0.20222880314660716
NDUFA11,75.22009333090409,6.252099469607242,0.20275039684403084
MKRN1,41.06835767262771,5.394663592009882,0.2029113611815902
VPS26B,45.263837605541234,5.5318130380091,0.20337607377603714
RAB11B,79.83514055473606,6.336910690871397,0.20359333478181724
ANAPC5,68.4797166970525,6.118519966371035,0.20364173496373042
