gene,mean_cpm,std_cpm,cv
PDAP1,58.99426339417637,10.76543809166487,0.18248279531408781
GNB1,297.9854206386823,56.61641123716539,0.18999725260322303
GSK3A,126.01182275829133,24.23128458130034,0.19229373919762596
KCMF1,55.08026656420164,10.724533092476586,0.19470735639915712
NRBP1,120.67847353793529,23.663831746576935,0.19608991606227277
TMEM183A,39.46670402225355,7.7394934296516755,0.19610184385520799
PAFAH1B1,102.81575403397923,20.469640629825697,0.19909050730747696
TOX4,89.10358600267254,18.211683189448944,0.20438776940922118
USF2,161.76052796920132,33.50229855378157,0.20711046739511324
TBC1D20,42.41731195595933,9.153322187357285,0.21579213215728793
DEDD,49.304218857573595,10.704284117049792,0.21710685951584674
ADD1,241.82934164274403,53.000416347216934,0.21916453970054128
ARF1,577.2882595864093,128.04563369633505,0.22180536598487502
RBM8A,40.00664031332948,8.903873109588,0.2225598810560804
WIPI2,87.13417438777216,19.502557957210236,0.22382214664040126
RAB11B,113.87247531318627,25.50392933032306,0.2239692187262899
SMG7,106.89937018024801,24.009703371806225,0.2246009806355486
SPPL3,33.921675812197606,7.639943161083117,0.22522304627225803
MAX,143.11848533194296,32.41259589759958,0.22647386060873392
METTL22,16.457990280667687,3.74255086400669,0.2274002353982954
CAPZB,518.8188981308189,118.38797875802057,0.22818748350251755
EIF4EBP2,173.43143532976927,39.79802262944453,0.22947410055028966
INPP5K,86.9973430269286,20.109470373610122,0.23115039694241657
RBM22,60.59989064871253,14.061634078653569,0.23204058502624236
IK,114.079403722745,26.533092998204257,0.232584429198889
CHMP4B,168.22239402263676,39.16952989920455,0.23284373122126487
TAF10,93.6461122437064,21.975414663427884,0.23466446323194554
UBE2D2,70.5703074796634,16.577836728377406,0.2349123494063665
ATG13,79.93680267484784,18.804754133248984,0.23524526255746667
MRFAP1,99.47671949992035,23.471265597353238,0.2359473223015967
DNM2,388.3956611336017,92.24667664548029,0.23750697002186374
HNRNPK,356.6039493233754,84.70506242347751,0.2375325976736879
GNAI2,1358.398880022169,323.13485902109284,0.23787921484138688
SNW1,46.48531138474811,11.091751896442846,0.2386076712413303
TRPC4AP,160.34630329722654,38.517911618652555,0.2402170229472249
VTI1A,22.380069858724852,5.39213667854708,0.24093475635175282
TFE3,260.39059407383127,62.76649220921947,0.24104746345569852
GID8,46.48737113255458,11.22497762216218,0.24146294678946592
IST1,164.72479575648,39.80266729438773,0.2416313045743871
ZNF592,100.21458774186064,24.395885429531003,0.2434364694726035
NKIRAS2,43.21229410124024,10.524287921408396,0.24354846555361054
TLK2,24.215240864490898,5.901365677386775,0.24370460365895047
STARD3,95.83916001393577,23.390218111793885,0.24405700246530504
KXD1,50.966518420466755,12.457300374451183,0.2444212545907133
PPP2R2D,31.945198342050805,7.826608268371292,0.24500108543914717
ENSA,118.53006520733169,29.112425587948465,0.24561216208752842
GBA2,82.52621587204378,20.318048128305726,0.24620113637354576
AP2M1,297.1900789342823,73.52354076027628,0.2473956769483363
VRK3,63.3701452641428,15.715226871825488,0.2479910185832847
FLII,301.42148440783706,74.76658735884632,0.2480466430776504
NR1H2,136.27074894143925,33.859346278507175,0.24847112488578038
PPP2R2A,53.56692555021337,13.371803933116736,0.24962798958066154
ERP44,75.93351144170475,18.974591972182328,0.24988429498284687
ACTR1A,145.98036618496823,36.48504573287381,0.24993118380484453
YWHAZ,700.4627488638275,175.21433673115817,0.2501408347772402
BRAP,18.888904148475806,4.728841298113587,0.2503502194167876
ARHGEF2,221.21208967052465,55.52943808682936,0.2510235230340956
RAB5C,168.63262021408755,42.40218724783042,0.2514471233027081
ZNF672,55.11274154046602,13.919845377203053,0.2525703673620108
DDX39B,249.2527553474409,62.99180061654659,0.2527225848666765
SAP30BP,66.66501893041736,16.847977655201984,0.25272591121270543
R3HCC1L,20.874148905459805,5.275605312581802,0.2527339120016493
MMP24OS,39.28580725950364,9.934275321811883,0.252871864289073
DHX16,57.93085609758151,14.698461236233102,0.2537242192912584
ARF4,83.15590845812974,21.184015650929442,0.25475057688289116
LMAN2,186.8209149286295,47.66689023269378,0.255147504501323
EIF4H,153.03936928479305,39.072821687934635,0.2553122237143012
KLC1,67.19899267360611,17.18358665667246,0.2557119678881986
PPP1R12C,133.7716932902763,34.330228106352536,0.25663297863665424
SZRD1,82.4341957622149,21.177465267576846,0.2569014602709801
SNF8,19.990894476704742,5.140033342343249,0.2571187271451458
RBM4,94.59408908448454,24.33261062188571,0.25723182978329223
RNF41,43.87326149864256,11.292903151275457,0.2573983051527833
CTDNEP1,163.22233975559763,42.01617941134947,0.25741684302689666
SMAD2,44.76541741868366,11.527626400103454,0.2575118711010207
CASC3,267.24465105468227,68.894716734988,0.2577964290888318
UBAC2,49.1712563048934,12.682695401700977,0.25792904950526613
EWSR1,116.27122655792836,30.021189736981245,0.25819964771786563
PPP1R11,103.14303995979719,26.720853863782274,0.25906599101788597
CCDC174,22.163992807087027,5.743324087276585,0.2591285846943667
TPM3,630.2772952832646,163.34911868542096,0.25917024126976873
GDI1,261.9651420554441,67.89548954921591,0.2591775723155031
UBE2A,48.83075499506515,12.666656848137267,0.25939916041472966
TRAF7,58.22361429274637,15.129250609419366,0.2598473281536595
HADHA,186.1911204254466,48.40099692281564,0.2599533039611094
DGUOK,22.822197250074066,5.936918554792635,0.2601379038897479
TMBIM1,188.49990797171412,49.07225972988893,0.2603304174411194
E2F4,84.39665570466201,21.99729056186728,0.2606417325213061
TMEM248,68.94992675275249,17.97500035364679,0.26069643870838816
ZNF143,24.27543329733705,6.33337867757247,0.2608966274668813
USP4,153.38270080757178,40.03888566666394,0.26103912276844854
EXOC7,88.50183829444987,23.102615083331074,0.26104107585277003
PSMD9,37.51761980718453,9.798130668399752,0.26116077509062646
ARAF,130.10174901878287,33.978881136880695,0.2611715937191217
WDTC1,214.0116515736978,55.89414151172707,0.26117335715471157
ZDHHC5,73.19045024523855,19.146690298299863,0.26160093610771934
MAP2K2,188.79806227298008,49.42149710634337,0.26176909080181987
DCTN3,39.92526468892142,10.464416260207697,0.262100109836251
ARNT,55.080182956035436,14.439373572425847,0.2621518810849129
SLC35A2,13.761917403449859,3.607764684481008,0.2621556705155495
LAPTM5,1773.6823756499691,465.42693727913854,0.2624071500448788
PRR14,101.5847355500704,26.71647249539135,0.26299691927851687
SAP18,54.5047765005148,14.338088399701872,0.2630611355605953
ACIN1,172.7529798951873,45.46434957423654,0.26317548676625246
