gene,mean_cpm,mean_log2cpm,cv
PDAP1,58.99426339417637,5.9067526528011625,0.18248279531408781
GNB1,297.9854206386823,8.22393132608743,0.18999725260322303
GSK3A,126.01182275829133,6.988818984731872,0.19229373919762596
KCMF1,55.08026656420164,5.809421301759754,0.19470735639915712
NRBP1,120.67847353793529,6.9269301493874424,0.19608991606227277
PAFAH1B1,102.81575403397923,6.697881578962831,0.19909050730747696
TOX4,89.10358600267254,6.493512619409213,0.20438776940922118
USF2,161.76052796920132,7.346607055179258,0.20711046739511324
DEDD,49.304218857573595,5.652607494315055,0.21710685951584674
ADD1,241.82934164274403,7.923798946149603,0.21916453970054128
ARF1,577.2882595864093,9.175645002585387,0.22180536598487502
WIPI2,87.13417438777216,6.461629633440153,0.22382214664040126
RAB11B,113.87247531318627,6.843889343840313,0.2239692187262899
SMG7,106.89937018024801,6.753542633465486,0.2246009806355486
MAX,143.11848533194296,7.1711115841792825,0.22647386060873392
CAPZB,518.8188981308189,9.02186527403503,0.22818748350251755
EIF4EBP2,173.43143532976927,7.446516250001838,0.22947410055028966
INPP5K,86.9973430269286,6.459388058867494,0.23115039694241657
RBM22,60.59989064871253,5.944855884757212,0.23204058502624236
IK,114.079403722745,6.84648584074326,0.232584429198889
CHMP4B,168.22239402263676,7.402776689719518,0.23284373122126487
TAF10,93.6461122437064,6.564471340785492,0.23466446323194554
UBE2D2,70.5703074796634,6.161289272647819,0.2349123494063665
ATG13,79.93680267484784,6.338723952836493,0.23524526255746667
MRFAP1,99.47671949992035,6.6507174568233465,0.2359473223015967
DNM2,388.3956611336017,8.60509299859947,0.23750697002186374
HNRNPK,356.6039493233754,8.482218859287528,0.2375325976736879
GNAI2,1358.398880022169,10.40875312398628,0.23787921484138688
SNW1,46.48531138474811,5.56940940897146,0.2386076712413303
TRPC4AP,160.34630329722654,7.33401671351929,0.2402170229472249
TFE3,260.39059407383127,8.03006341764416,0.24104746345569852
GID8,46.48737113255458,5.569471986712081,0.24146294678946592
IST1,164.72479575648,7.372645664625081,0.2416313045743871
ZNF592,100.21458774186064,6.661273425915095,0.2434364694726035
STARD3,95.83916001393577,6.597518660294172,0.24405700246530504
KXD1,50.966518420466755,5.699510501482547,0.2444212545907133
ENSA,118.53006520733169,6.901229732416316,0.24561216208752842
GBA2,82.52621587204378,6.384157173582604,0.24620113637354576
AP2M1,297.1900789342823,8.220088448367196,0.2473956769483363
VRK3,63.3701452641428,6.0083198194693646,0.2479910185832847
FLII,301.42148440783706,8.240416823869554,0.2480466430776504
NR1H2,136.27074894143925,7.100880423759015,0.24847112488578038
PPP2R2A,53.56692555021337,5.7699548555044196,0.24962798958066154
ERP44,75.93351144170475,6.265540253016601,0.24988429498284687
ACTR1A,145.98036618496823,7.199479640758947,0.24993118380484453
YWHAZ,700.4627488638275,9.454222681422634,0.2501408347772402
ARHGEF2,221.21208967052465,7.7957934999006335,0.2510235230340956
RAB5C,168.63262021408755,7.406269815430016,0.2514471233027081
ZNF672,55.11274154046602,5.8102564962038565,0.2525703673620108
DDX39B,249.2527553474409,7.967242143368282,0.2527225848666765
SAP30BP,66.66501893041736,6.080338285283836,0.25272591121270543
DHX16,57.93085609758151,5.880951319481161,0.2537242192912584
ARF4,83.15590845812974,6.394992659419461,0.25475057688289116
LMAN2,186.8209149286295,7.553213914021663,0.255147504501323
EIF4H,153.03936928479305,7.267155310910056,0.2553122237143012
KLC1,67.19899267360611,6.091678525111508,0.2557119678881986
PPP1R12C,133.7716932902763,7.074373702332093,0.25663297863665424
SZRD1,82.4341957622149,6.382566892769865,0.2569014602709801
RBM4,94.59408908448454,6.578849508991473,0.25723182978329223
CTDNEP1,163.22233975559763,7.359506585236189,0.25741684302689666
CASC3,267.24465105468227,8.067405592913753,0.2577964290888318
UBAC2,49.1712563048934,5.648789159004063,0.25792904950526613
EWSR1,116.27122655792836,6.873705269685595,0.25819964771786563
PPP1R11,103.14303995979719,6.702422614837274,0.25906599101788597
TPM3,630.2772952832646,9.302130053387446,0.25917024126976873
GDI1,261.9651420554441,8.038727762232565,0.2591775723155031
UBE2A,48.83075499506515,5.638964527616109,0.25939916041472966
TRAF7,58.22361429274637,5.888100632736648,0.2598473281536595
HADHA,186.1911204254466,7.548368190817796,0.2599533039611094
