gene,mean_cpm_blood,mean_log2cpm_blood,cv_blood,mean_cpm_liver,mean_log2cpm_liver,cv_liver
PAFAH1B1,102.81575403397923,6.697881578962831,0.19909050730747696,49.52445308235362,5.658909894676009,0.19891904725645473
WIPI2,87.13417438777216,6.461629633440153,0.22382214664040126,48.19428784213574,5.620418902723258,0.19091519614646263
RAB11B,113.87247531318627,6.843889343840313,0.2239692187262899,79.83514055473606,6.336910690871397,0.20359333478181724
SPPL3,33.921675812197606,5.126050887186227,0.22522304627225803,24.589712764740558,4.677492048626188,0.19288498273520222
TRPC4AP,160.34630329722654,7.33401671351929,0.2402170229472249,82.78612496218834,6.388639447337014,0.18903786618164256
GID8,46.48737113255458,5.569471986712081,0.24146294678946592,44.29645679450687,5.501326298251229,0.19354522407102337
TLK2,24.215240864490898,4.656224101358362,0.24370460365895047,14.398145231560425,3.944684677860613,0.19182442008450493
ENSA,118.53006520733169,6.901229732416316,0.24561216208752842,78.87196032480877,6.319617217563344,0.1717670849399812
UBAC2,49.1712563048934,5.648789159004063,0.25792904950526613,41.80912172144171,5.419846332171358,0.18733796923814333
TMEM248,68.94992675275249,6.128250641576947,0.26069643870838816,70.42172698901533,6.1582911138346565,0.18001884175084712
ARAF,130.10174901878287,7.034543122351119,0.2611715937191217,66.35342435685949,6.073679391385197,0.1789235572039396
POLDIP2,47.94315809498271,5.6130352903171685,0.2680472694144392,159.50600749238882,7.326483485983859,0.20091333677251538
AKT2,132.61112425207182,7.0618963191074675,0.2722981147472943,149.23011205767466,7.231030204771968,0.18384026264876385
SECISBP2,45.464259849442755,5.5380495215683005,0.27535001614674776,42.78288439819493,5.452295096685714,0.1836045070022895
RNF114,40.09282273389402,5.360814529903017,0.2796489360180463,37.18334623784831,5.254871635272148,0.19435851111502347
APH1A,118.71766575610422,6.903492244464079,0.28203241514583616,105.1851890830743,6.730438740036092,0.20773915584228714
ANAPC16,71.99483052048654,6.189722391119219,0.28206869023922626,67.32147926701366,6.094267306790744,0.21001785199060097
