gene,train_std,hdr90_coverage
GJA4,0.5233519119378729,0.88
DLGAP3,0.48013866442800435,0.94
GPR199P,0.5207878383128809,0.88
TMEM35B,0.5618835445387477,0.92
ZMYM6,0.6766893041441576,0.88
ZMYM1,0.6532445531288233,0.94
SFPQ,0.5118147761666056,0.9
ZMYM4,0.611303931785322,0.88
RPL5P4,0.3168427331962269,0.88
KIAA0319L,0.7684530103610749,0.96
NCDN,0.680276866030042,0.92
TFAP2E-AS1,0.4915606122053223,0.92
TFAP2E,0.46036645896176587,0.94
PSMB2,0.5435313687495034,0.92
C1orf216,0.5850491582934614,0.92
CLSPN,0.8032044400298147,0.92
AGO4,0.9787812880984261,0.88
AGO1,0.5930133228615737,0.88
AGO3,0.5767025868204034,0.88
ADPRS,0.5180897239509079,0.86
COL8A2,0.8226736968051512,0.96
TRAPPC3,0.4944610294765154,0.86
MAP7D1,0.5025835569194382,0.92
THRAP3,0.42891898603566214,0.9
SH3D21,1.2584683848769793,0.88
STK40,0.6147657942823338,0.96
LSM10,0.49277253905671337,0.92
ENSG00000297367,0.38627481986164075,0.96
MRPS15,0.5367397875154485,0.9
CSF3R,0.9156205024571158,0.92
LITATS1,0.5654580372549538,0.94
ZC3H12A,0.7951824679561564,0.92
MEAF6,0.662266263699332,0.92
SNIP1,0.5577293570020728,0.96
GNL2,0.5695593715857076,0.86
AIRIM,0.6248992243566105,0.86
CDCA8,0.9290276979186513,0.9
MANEAL,0.3425616126498811,0.9
YRDC,0.4683512406770691,0.92
C1orf122,0.53078196774851,0.86
MTF1,0.6339352353873468,0.92
INPP5B,0.6760771353886231,0.84
SF3A3,0.5747116816217067,0.84
FHL3,0.7700627608014073,0.92
UTP11,0.5399318018114503,0.88
RRAGC,0.587107465804233,0.9
MYCBP,0.7704103216863205,0.9
AKIRIN1,0.5930669197718681,0.86
NDUFS5,0.6752657312972459,0.86
MACF1,0.7462034893382264,0.84
BMP8A,0.6979416915774863,0.92
PPIEL,0.8659984604826809,0.96
PABPC4,0.8053196469963055,0.86
HPCAL4,0.8482243242031771,0.82
PPIE,0.7516915775790631,0.86
BMP8B,0.5971252452158596,0.86
ENSG00000284719,0.31858310774468795,0.82
TRIT1,0.5777127240636276,0.84
MYCL,0.9033386580113368,0.96
MFSD2A,1.045219776252357,0.88
CAP1,0.7085183770247793,0.9
PPT1,0.9903918325414783,0.96
RLF,1.316844781030709,0.86
ZMPSTE24-DT,0.5616668475309069,0.96
ZMPSTE24,1.0803872236023133,0.92
COL9A2,1.3102662042142315,0.88
SMAP2,0.9679093071709705,0.92
ENSG00000296912,1.1354838880750842,0.88
ZFP69B,0.3129695091459891,0.86
ENSG00000260920,0.37539978885367176,0.84
ZFP69,0.5262164623420765,0.84
EXO5,0.45361740401004447,0.76
ZNF684,0.43562557786170913,0.86
RIMS3,0.6092552986136015,0.84
NFYC-AS1,0.42496724539816966,0.88
NFYC,0.4940774952246831,0.96
KCNQ4,0.35208497077142037,0.92
CITED4,0.7872195394680646,0.94
CTPS1,0.850264140163936,0.86
SCMH1,0.8050597233198552,0.86
HIVEP3,1.1863258232402492,0.88
FOXJ3,0.7400547103828873,0.84
PPCS,0.7308836348216114,0.86
CCDC30,0.6212491691533012,0.9
ENSG00000285728,0.5112792010481064,0.74
PPIH,0.6798972602634383,0.82
YBX1,0.8043245988171326,0.92
P3H1,0.5482630957765712,0.98
C1orf50,0.3925150011490252,0.94
SVBP,0.48148633030176663,0.84
ERMAP,0.7263592077706406,0.86
ZNF691,0.6400311469286456,0.98
SLC2A1,0.9645292466653488,0.92
ATP6V0CP4,0.7742363058342037,0.92
EBNA1BP2,0.6835464419072788,0.9
TIE1,0.8467197740759967,0.82
MPL,0.513515513879162,0.96
CDC20,1.3573074073828557,0.9
ELOVL1,0.5552675013935642,0.82
MED8-AS1,0.4047486144883817,0.96
MED8,0.4219370697157973,0.86
SZT2,0.5191794982514147,0.9
PTPRF,0.8767509143151961,0.88
KDM4A,0.5420733348268729,0.94
KDM4A-AS1,0.47003929899772323,0.84
ST3GAL3,0.6938901149675452,0.98
LINC02918,0.39710670167414786,0.78
IPO13,0.5390313186435486,0.94
