n,nn_mse_mean,nn_mse_sd,nn_mse_min,nn_mse_max,nn_mse_median,drop_pct
100,0.10168672580479299,0.03152596729571981,0.054068978995101685,0.1742956334265997,0.09114523120645222,
200,0.0939563410598862,0.031030437709078786,0.054068978995101685,0.1742956334265997,0.08624872868546746,-7.602157197731718
300,0.08905014239953368,0.02736058791644553,0.054068978995101685,0.1742956334265997,0.08252808976707475,-5.221785570838044
400,0.08704544456207255,0.027100422764143414,0.05066492537070262,0.1742956334265997,0.07861480042464351,-2.2512011586312997
500,0.08589838793991339,0.02661851587129549,0.05066492537070262,0.1727377457803712,0.07753616961270435,-1.3177675499620123
600,0.08549916033971999,0.026498021751758246,0.05066492537070262,0.1727377457803712,0.07753616961270435,-0.46476727883724145
700,0.08498680409353276,0.026549786235303508,0.05066492537070262,0.1727377457803712,0.07753616961270435,-0.5992529565804428
