n,pca_mse,pca_mse_sd,mean_z2,mean_z2_sd
100,0.13259314825852808,0.0382408248010683,1.0164991183009036,0.44779981127593976
200,0.11616819151371822,0.03337390430337821,1.027879144782132,0.47086501503579486
300,0.10867647873612384,0.029992561400790974,1.032703502048287,0.46593655612720214
400,0.10490451082800296,0.028315180604295342,1.022403305611758,0.4547916625769409
500,0.1021564294726792,0.02685210667194173,1.0252375416789965,0.45366264118954114
600,0.10055957425621834,0.02609219988665894,1.0249474108687502,0.4565295204505689
700,0.09887916342585411,0.025082412805970077,1.0169621629266383,0.4514661085943853
