n,pca_mse,pca_mse_sd,drop_pct
100,0.0364399396700444,0.010353521026771402,
200,0.03211859499602546,0.009067964134201027,-11.85881401876009
300,0.03019387430289358,0.008390369724551986,-5.992543239734028
400,0.029159325304077013,0.007922372837559607,-3.426353930066617
500,0.028426626830814185,0.007695173713229085,-2.512741517926631
600,0.027942095991508865,0.007496601250845979,-1.7044964293128628
700,0.027482203004069304,0.007211260641293326,-1.6458786326527308
